c_1,c_2,c_3,c_4,c_5,lev_1,lev_2,lev_3,lev_4,lev_5,code,def,source,type,list,ifc,par_1,par_2,sect,sect_parts
,,,,0013,,,,,Пожарный риск,XPF_0013,"Мера опасности, обусловленная возникновением и развитием пожаров",Федеральный закон от 22 июля 2008 г. N 123-ФЗ,Текстовый,,,,,,
,,,,0014,,,,,Ветровая нагрузка,XPF_0014,,СП 20.13330.2016,Числовой,,,,,,
,,,,0015,,,,,Расчетные нагрузки,XPF_0015,,ГОСТ 33390-2015,Числовой,,,,,"<CCo>
<CEn>",
,,,U,,,,,Пользовательские,,XPFU,,,,,,,,,
,,P,,,,,Давление,,,XPP_,,,,,,,,,
,,,,0001,,,,,Давление,XPP_0001,"Физическая величина, характеризующая напряженное состояние сред - жидких и газообразных, подчиняющихся закону Паскаля, - в которых при равновесии касательное напряжение отсутствует",ГОСТ 8.271-77,Числовой,,,,,"<Com>
<CPr>",
,,,,0002,,,,,Потеря давления,XPP_0002,"Часть статического давления, идущая на преодоление сил гидравлического сопротивления при прохождении среды через сужающее устройство",ГОСТ 8.586.1-2005 (ИСО 5167-1:2003),Числовой,,,,,"<Com>
<CPr>",
,,,,0003,,,,,Свободный напор,XPP_0003,"Геометрический напор водного потока, равный превышению свободной поверхности воды в данном сечении над плоскостью сравнения.",ГОСТ Р 51657.1-2000,Числовой,,,,,"<Com>
<CPr>",
,,,,0004,,,,,Напор,XPP_0004,"Давление воды, выражаемое высотой водяного столба в метрах над рассматриваемым уровнем.",ГОСТ Р 70214-2022,Числовой,,,,,"<Com>
<CPr>",
,,,,0005,,,,,Номинальное давление,XPP_0005,"Внутреннее давление, выраженное в барах, соответствующее максимальному допустимому рабочему давлению",ГОСТ Р 50193.1-92,Числовой,,,,,"<Com>
<CPr>",
,,,U,,,,,Пользовательские,,XPPU,,,,,,,,,
,,U,,,,,Пользовательские,,,XPU_,,,,,,,,,
,F,,,,,Функциональные,,,,XF__,,,,,,,,,
,,,,0001,,,,,Номинальная мощность,XF__0001,"Величина мощности, как правило, указываемая разработчиком, для определенных условий эксплуатации узла, устройства, машины или оборудования.",ГОСТ Р 54433-2011,Числовой,,,,,,
,,,,0002,,,,,Назначение,XF__0002,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,"ПР 40 41 29
ПР 50 10 17
ПР 60 10 14",,,
,,,,0003,,,,,Категория технического состояния,XF__0003,"Степень эксплуатационной пригодности несущей строительной конструкции или здания и сооружения в целом, а также грунтов их основания, установленная в зависимости от доли снижения несущей способности и эксплуатационных характеристик",ГОСТ 31937-2011,Текстовый,,,,,,
,,,,0004,,,,,Надежность,XF__0004,Способность строительного объекта выполнять требуемые функции в течение расчетного срока эксплуатации,ГОСТ 27751-2014,Текстовый,,,,,,
,,,,0006,,,,,Огнестойкость,XF__0006,"Способность компонента или узла обеспечить выполнение требований в части устойчивости, целостности и/или других ожидаемых качеств, характеризующих их огнестойкость в условиях стандартного испытания (испытательного воздействия) на огнестойкость в течение определенного периода времени.",ГОСТ Р 55230-2012,Текстовый,,,,,,
,,,,0007,,,,,Устойчивость к агрессивным средам,XF__0007,"Относительная величина, характеризующая способность геосинтетического материала сохранять свои прочностные качества после воздействия на него при определенных условиях определенных химических реагентов, создающих кислотную или щелочную среду",ГОСТ Р 55029-2020  ,Числовой,,,,,,
,,,,0008,,,,,Эксплуатационная надежность,XF__0008,"Вероятность того, что сооружение будет обеспечивать беспрепятственный пропуск транспортных средств в течение определенного (установленного) промежутка времени",СП 122.13330.2012,Текстовый,,,,,,
,,,,0009,,,,,Физический износ,XF__0009,"Утрата конструкцией, элементом, системой инженерного оборудования и зданием в целом
первоначальных технико-эксплуатационных качеств в результате воздействия природно-климатических факторов и жизнедеятельности человека",ВСН 53-86(р)/Госгражданстрой,Текстовый,,,,,,
,,,,0010,,,,,Дефект,XF__0010,Каждое отдельное несоответствие продукции установленным требованиям,ГОСТ 15467-79,Текстовый,,,,,,
,,,,0011,,,,,Категория пожарной (взрывопожарной) опасности наружной установки ,XF__0011,"Классификационная характеристика пожарной (взрывопожарной) опасности здания (или частей здания между противопожарными стенами - пожарных отсеков), сооружения, строения, помещения, наружной установки.","СП 12.13130.2009
Федеральный закон от 22 июля 2008 г. N 123-ФЗ",Из списка,"Повышенная взрывопожароопасность (АН);
взрывопожароопасность (БН);
Пожароопасность (ВН);
Умеренная пожароопасность (ГН);
Пониженная пожароопасность (ДН)",,,,,
,,,,0012,,,,,Категория по функциональному назначению,XF__0012,Группа объектов капитального строительства по их назначению и функционально-технологическим особенностям для целей архитектурно-строительного проектирования и ведения единого государственного реестра заключений экспертизы проектной документации объектов капитального строительства, Приказ Минстроя России от 02.11.2022 N 928/пр ,Текстовый,,,,,,
,,,,0014,,,,,Класс конструктивной пожарной опасности,XF__0014,"Классификационная характеристика зданий, сооружений, строений и пожарных отсеков, определяемая степенью участия строительных конструкций в развитии пожара и образования опасных факторов пожара. ","СП 19.13330.2019  
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Текстовый,,,ПР 10 30 15,,,
,,,,0015,,,,,Класс функциональной пожарной опасности,XF__0015,"Классификационная характеристика зданий и сооружений, определяемая назначением и особенностями эксплуатации указанных зданий и сооружений, в том числе особенностями осуществления в указанных зданиях и сооружениях технологических процессов производства.","СП 350.1326000.2018 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Текстовый,,,ПР 10 30 16,,,
,,,,0016,,,,,Пропускная способность,XF__0016,Пропускная способность в соответствии с Паспортом изделия,СП 333.1325800.2020,Числовой,,,,,,
,,,,0017,,,,,График сервисного обслуживания,XF__0017,"Планирование периодического обслуживания, во время которого требуется разборка машины согласно инструкции по применению и рекомендациям сервисного центра",ГОСТ IEC 60745-1-2011,Ссылка,,,,,,
,,,,0018,,,,,"Лицо, ответственное за гарантийное обслуживание",XF__0018,"Лицо, ответственное за гарантийное обслуживание инженерного оборудования или трубопроводной арматуры",СП 333.1325800.2020,Текстовый,,,,,,
,,,,0019,,,,,"Лицо, ответственное за эксплуатацию",XF__0019,"Лицо, ответственное за эксплуатацию инженерного оборудования или трубопроводной арматуры",СП 333.1325800.2020,Текстовый,,,,,,
,,,,0020,,,,,Марка элемента,XF__0020,Марка элемента конструкции для занесения или группировки в спецификацию или марка элемента инженерного оборудования,СП 333.1325800.2020,Текстовый,,,,,,
,,,,0021,,,,,Описание,XF__0021,Указывается описание элемента,"СП 333.1325800.2020 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Текстовый,,,"ПР 40 10 13
ПР 50 10 14
ПР 60 15 10 14",,,
,,,,0022,,,,,Ответственный исполнитель,XF__0022,Указывается ответственный исполнитель ,СП 333.1325800.2020,Текстовый,,,,,,
,,,,0023,,,,,Отметка о соблюдении графика сервисного обслуживания,XF__0023,Указывается отметка о соблюдении графика сервисного обслуживания ,СП 333.1325800.2020,Текстовый,,,,,,
,,,,0024,,,,,Отметка о соблюдении проектных решений,XF__0024,Указывается отметка о соблюдении проектных решений ,СП 333.1325800.2020,Текстовый,,,,,,
,,,,0025,,,,,Отчет о выполнении предписаний уполномоченных лиц,XF__0025,Указывается отчет о выполнении предписаний уполномоченных лиц ,СП 333.1325800.2020,Ссылка,,,,,,
,,,,0026,,,,,Предписания уполномоченных лиц,XF__0026,Указывается предписания уполномоченных лиц ,СП 333.1325800.2020,Ссылка,,,,,,
,,,,0027,,,,,Рабочая температура до,XF__0027,Верхняя граница рабочей температуры инженерного оборудования в соответствии с Паспортом изделия,СП 333.1325800.2020,Числовой,,,,,,
,,,,0028,,,,,Рабочая температура от,XF__0028,Нижняя граница рабочей температуры инженерного оборудования в соответствии с Паспортом изделия,СП 333.1325800.2020,Числовой,,,,,,
,,,,0029,,,,,Срок выполнения,XF__0029,Указывается срок выполнения ,СП 333.1325800.2020,Текстовый,,,,,,
,,,,0030,,,,,Тип исполнения,XF__0030,Тип исполнения инженерного оборудования,СП 333.1325800.2020,Текстовый,,,,,,
,,,,0031,,,,,Размер присоединения,XF__0031,Размер присоединения дождеприемного устройства или емкости неочищенных производственно-дождевых стоков в соответствии с Паспортом изделия,СП 333.1325800.2020,Числовой,,,,,,
,,,,0032,,,,,Климатическое исполнение,XF__0032,"Климатическое исполнение КТП, кабельных муфт, телекоммуникационных стоек в соответствии с Паспортом изделия",СП 333.1325800.2020,Текстовый,,,,,,
,,,,0033,,,,,Производительность,XF__0033,Указывается производительность в соответствии с Паспортом изделия,СП 333.1325800.2020,Текстовый,,,,,,
,,,,0034,,,,,"Лицо, ответственное за выполнение работ",XF__0034,"Указывается лицо, ответственное за выполнение работ",СП 333.1325800.2020,Текстовый,,,,,,
,,,,0035,,,,,"Лицо, ответственное за пожарную безопасность",XF__0035,"Указывается лицо, ответственное за пожарную безопасность",СП 333.1325800.2020,Текстовый,,,,,,
,,,,0036,,,,,Коэффициент надежности по нагрузке,XF__0036,Коэффициент надежности по нагрузке учитывает возможное отклонение нагрузок в неблагоприятную (большую или меньшую) сторону от их нормативных значений.,ГОСТ 27751-2014,Числовой,,,,,,
,,,,0046,,,,,Доступность,XF__0046,"Характеристика зданий, сооружений и используемых на них информационных средств, обеспечивающая возможность воспользоваться ими маломобильными группами населения.",СП 59.13330.2020,Логический,,,,,"<RZo>
<CEn>",
,,,,0056,,,,,Маломобильные группы населения,XF__0056,"МГН: Люди, испытывающие затруднения при самостоятельном передвижении, получении услуги, необходимой информации или при ориентировании в пространстве. К маломобильным группам населения отнесены: инвалиды, люди с временным нарушением здоровья, люди с нарушением интеллекта, люди старших возрастов, беременные женщины, люди с детскими колясками, с малолетними детьми, тележками, багажом и т.д.",СП 59.13330.2020,Текстовый,,,,,"<RZo>
<CEn>",
,,,,0066,,,,,Устойчивость,XF__0066,"Способность системы незначительно отклоняться от исходного состояния равновесия или движения при достаточно малых возмущениях. В качестве возмущающих факторов могут выступать различные дополнительные нагрузки и воздействия, дефекты и отклонения от проектных размеров конструкции и т.п. Нагрузки, при которых происходит потеря устойчивости, называются критическими, а соответствующие состояния критическими состояниями.",СП 52-117-2008,Текстовый,,,,,"<CEn> 
<FnS> 
<TeS> 
<Com>",
,,,,0067,,,,,Классификация МГН по группам мобильности,XF__0067,,СП 59.13330.2020,Из списка,"М1 
М2 
М3 
М4 
НМ 
НТ
НО",,,,,
,,,,0068,,,,,Направление движения,XF__0068,,,Из списка,"одностороннее 
двустороннее 
реверсивное 
круговое",,,,,
,,U,,,,,Пользовательские,,,XFU_,,,,,,,,,
,U,,,,,Пользовательские,,,,XU__,,,,,,,,,
Z,,,,,Помещения и зоны,,,,,Z___,,,,,,,,,
,N,,,,,Идентификация,,,,ZN__,,,,,,,,,
,,,,0001,,,,,Номер помещения,ZN__0001,Номер помещения части здания,"СП 333.1325800.2020 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Текстовый,,,ПР 60 15 10 15,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,,,0002,,,,,Нормативная сейсмичность площадки,ZN__0002,,СП 90.13330.2012,Числовой,,,,,<RZo>,
,,,,0003,,,,,Наличие зон возможного затопления,ZN__0003,,СП 90.13330.2012,Логический,,,,,<RZo>,
,,,,0004,,,,,Зона радиации,ZN__0004,,СТО ГК «Росатом» 95 12038-2018,Логический,,,,,<RZo>,
,,,,0005,,,,,Полная пожарная нагрузка в помещении,ZN__0005,,СТО ГК «Росатом» 95 12038-2018,Логический,,,,,<RZo>,
,,,,0006,,,,,Отапливаемое помещение,ZN__0006,"Помещение, в котором заданная температура воздуха поддерживается системой отопления",ГОСТ Р 54860-2011,Логический,,,,,<RZo>,
,,,,0007,,,,,Неотапливаемое помещение,ZN__0007,"Помещение, не оборудованное отопительными системами, а также такое, в котором температура воздуха поддерживается на низком уровне по технологическим требованиям","ГОСТ 33875-2016 
ГОСТ Р 54860-2011",Логический,,,,,<RZo>,
,,,,0008,,,,,Тип этажа,ZN__0008,,СП 333.1325800.2020,Из списка,"мансарда
чердак
подвал
технический
цокольный 
жилой
нежилой",,,,<RZo>,SA
,,U,,,,,Пользовательские,,,ZNU_,,,,,,,,,
,L,,,,,Расположение,,,,ZL__,,,,,,,,,
,,,,0001,,,,,Код смежного пространства,ZL__0001,Код(-ы) смежного пространства,,Текстовый,,,,,<RZo>,
,,,,0002,,,,,Верхний этаж,ZL__0002,,"ГОСТ 33984.1-2016 
СП 54.13330.2022",Логический,,,,,<RZo>,SA
,,U,,,,,Пользовательские,,,ZLU_,,,,,,,,,
,H,,,,,Время и стоимость,,,,ZH__,,,,,,,,,
,,M,,,,,Эксплуатационные,,,ZHM_,,,,,,,,,
,,,,0001,,,,,Стоимость аренды помещения,ZHM_0001,"Плата за пользование зданием или сооружением, которая включает плату за пользование земельным участком, на котором оно расположено, или передаваемой вместе с ним соответствующей частью участка, если иное не предусмотрено законом или договором",Гражданский кодекс Российской Федерации (часть вторая) от 26.01.1996 N 14-ФЗ,Числовой,,,,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,,,0002,,,,,Дата последнего ремонта помещения,ZHM_0002,,,Дата,,,,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,U,,,,,Пользовательские,,,ZHU_,,,,,,,,,
,Q,,,,,Количества,,,,ZQ__,,,,,,,,,
,,,,0001,,,,,Количество окон в помещении,ZQ__0001,Суммарное количество окон в помещении,СП 54.13330.2022,Числовой,,,,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,,,0002,,,,,Количество дверей в помещении,ZQ__0002,Суммарное количество дверей в помещении,,Числовой,,,,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,,,0003,,,,,Вместимость помещения,ZQ__0003,"Показатель вместимости помещения, выраженный в местах/койках","СП 118.13330.2022 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,"ПР 20 10 22
ПР 20 30 10 10",,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,,,0004,,,,,Количество комнат в квартире,ZQ__0004,Суммарное количество комнат в квартире,"СП 54.13330.2022 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,ПР 60 15 10 18,,<RZo>,SU
,,,,0005,,,,,Численность населения,ZQ__0005,Численность населения субъекта Российской Федерации,Постановление Правительства РФ от 03.04.2021 N 542,Числовой,,,,,<RZo>,RK_
,,U,,,,,Пользовательские,,,ZQU_,,,,,,,,,
,P,,,,,Физические,,,,ZP__,,,,,,,,,
,,G,,,,,Геометрические,,,ZPG_,,,,,,,,,
,,,,0001,,,,,Форма помещения,ZPG_0001,Внешнее очертание помещения,,Из списка,"Квадратная
Прямоугольная
Круглая
Овальная
Сложной формы
Неправильной формы",,,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,,,0002,,,,,Площадь остекления в помещении,ZPG_0002,"Площадь окон, которая составляет 0,2 от площади фасадов (из них 10% приходится на окна МОП, и 90% на площадь окон квартир, при этом если в здании есть нежилые помещения, то их площадь и количество определяются исходя из количества и площади окон одного этажа пропорционально доле площади нежилого помещения в площади этажа)","Решение Правления Госкорпорации ""Фонд содействия реформированию ЖКХ"" от 28.12.2020, протокол N 1036",Числовой,,,,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,,,0003,,,,,Площадь дверных проемов,ZPG_0003,"Площадь дверных проемов, которая подсчитывается один раз при исчислении объема стен и перегородок с последующим использованием этих данных при определении объема отделочных и других работ",Письмо Казначейства России от 27.06.2018 N 07-04-05/21-13279,Числовой,,,,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,,,0004,,,,,Площадь стен,ZPG_0004,"Разность площади фасадов и площади окон, витрин и входных дверей","Решение Правления Госкорпорации ""Фонд содействия реформированию ЖКХ"" от 28.12.2020, протокол N 1036",Числовой,,,,,<RZo>,"A__
B__
C__
D__
E__
Q__
S__"
,,,,0005,,,,,Общая площадь,ZPG_0005,"Сумма площадей всех надземных и подземных этажей (включая технический, мансардный, цокольный и иные), а также эксплуатируемой кровли","Приказ Росреестра от 23.10.2020 N П/0393 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,"ПР 20 10 16
ПР 20 10 17
ПР 20 10 18",,<RZo>,
,,,,0006,,,,,"Площадь жилого помещения
",ZPG_0006,"Суммы площадей всех частей жилого помещения, включая площадь помещений вспомогательного использования, предназначенных для удовлетворения гражданами бытовых и иных нужд, связанных с их проживанием в жилом помещении, рассчитанных по их размерам, измеряемым между поверхностями стен и перегородок, за исключением балконов, лоджий, веранд и террас, эксплуатируемой кровли
","Приказ Росреестра от 23.10.2020 N П/0393 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,ПР 20 20 10,,<RZo>,SU
,,,,0007,,,,,Ширина незаваливаемой части дороги или проезда в пределах «желтых линий»,ZPG_0007,,СП 90.13330.2012,Числовой,,,,,<RZo>,
,,,,0008,,,,,Глубина шахты ,ZPG_0008,"Расстояние по горизонтали между внутренними поверхностями передней и задней стен шахты, измеренное перпендикулярно к ширине шахты",ГОСТ 5746-2015,Числовой,,,,,<RZo>,EAE020
,,,,0009,,,,,Глубина машинного помещения,ZPG_0009,"Расстояние по горизонтали между внутренними поверхностями стен машинного помещения, измеренное перпендикулярно к ширине машинного помещения",ГОСТ 5746-2015,Числовой,,,,,<RZo>,"DAC020
DAC030"
,,T,,,,,Теплотехнические,,,ZPT_,,,,,,,,,
,,,,0001,,,,,Категория по микроклимату (пребыванию людей),ZPT_0001,"Параметры микроклимата обслуживаемой зоны помещений жилых (в том числе общежитий), детских дошкольных учреждений, общественных, административных и бытовых зданий, а также качества воздуха в обслуживаемой зоне указанных помещений",ГОСТ 30494-2011,Из списка,"помещения 1 категории
помещения 2 категории
помещения 3а категории
помещения 3б категории
помещения 3в категории
помещения 4 категории
помещения 5 категории
помещения 6 категории",,,,<RZo>,"A__
B__ 
Q__ 
S__"
,,,,0002,,,,,Температура внутри помещения,ZPT_0002,Температура внутреннего воздуха внутри помещения,,Числовой,,,,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,,,0003,,,,,Влажностный режим помещения,ZPT_0003,Совокупность состояний влажности воздуха в помещении,СП 50.13330.2012,Из списка,"сухой
нормальный
влажный
мокрый",,,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,,,0004,,,,,Температура воздуха в рабочей зоне,ZPT_0004,,СП 90.13330.2012,Числовой,,,,,<RZo>,
,,M,,,,,Физико-механические,,,ZPM_,,,,,,,,,
,,C,,,,,Физико-химические,,,ZPC_,,,,,,,,,
,,E,,,,,Электротехнические,,,ZPE_,,,,,,,,,
,,,,0001,,,,,Тип помещения по опасности поражения людей электрическим током,ZPE_0001,"Тип помещения по опасности поражения людей электрическим током, согласно 1 Главе ПУЭ","Правила устройства электроустановок (ПУЭ) 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Из списка,"Помещения без повышенной опасности
Помещения с повышенной опасностью
Особо опасные помещения",,ПР 60 15 10 19,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,,,0002,,,,,Класс помещения по условиям окружающей среды,ZPE_0002,На электрические сети и электрооборудование влияют температура окружающей среды и резкие ее изменения,Правила устройства электроустановок (ПУЭ),Из списка,"Сухиe
Влажные
Сырыe
Особо сырые
Жаркиe
Пыльные
С химически активной или органической средой",,,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,L,,,,,"Оптические, световые",,,ZPL_,,,,,,,,,
,,,,0001,,,,,Помещение без естественного света,ZPL_0001,"Помещение, в котором коэффициент естественной освещенности ниже 0,1%",СП 52.13330.2016,Логический,,,,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,,,0002,,,,,Тип освещения помещения,ZPL_0002,Тип освещения помещения по способу проникновения света,СП 52.13330.2016,Из списка,"Естественное
Совмещенное
Искусственное",,,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,A,,,,,Акустические,,,ZPA_,,,,,,,,,
,,,,0001,,,,,Акустическая классификация помещений,ZPA_0001,"Группа помещений по акустическим свойствам в зависимости от соотношения их размеров (длины D, ширины G и высоты H)",СП 254.1325800.2016,Из списка,"Соразмерное
Плоское
Длинное",,,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,,,0002,,,,,Кривая спада,ZPA_0002,Графическое изображение зависимости спада уровня звукового давления в помещении от времени после прекращения работы источника звука,ГОСТ Р ИСО 3382-1-2013,Ссылка,,,,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,,,0003,,,,,Степень заполненности помещения,ZPA_0003,"Состояние помещения, характеризующееся степенью заполненности",ГОСТ Р ИСО 3382-1-2013,Из списка,"Помещение не заполнено
Репетиционное заполнение
Полное заполнение",,,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,,,0004,,,,,Время реверберации,ZPA_0004,"Время, за которое уровень звукового давления в помещении после выключения источника звука снижается на 60 дБ",СП 51.13330.2011,Числовой,,,,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,,,0005,,,,,Уровень звука ,ZPA_0005,"Энергетическая сумма октавных уровней звукового давления в нормируемом диапазоне частот, откорректированных по частотной характеристике A шумомера по ГОСТ 17187",СП 51.13330.2011,Числовой,,,,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,W,,,,,Весовые,,,ZPW_,,,,,,,,,
,,D,,,,,Динамические,,,ZPD_,,,,,,,,,
,,,,0001,,,,,Расчетная скорость движения,ZPD_0001,"Значение скорости движения одиночного автомобиля при нормальных условиях погоды и сцепления шин автомобилей с поверхностью проезжей части, используемое для определения допустимых параметров элементов плана, продольного и поперечного профиля на сложных участках трассы автомобильной дороги, исходя из условий обеспечения удобства и безопасности дорожного движения","ГОСТ 33475-2015 
СП 34.13330.2021 ",Числовой,,,,,,
,,,,0002,,,,,Коэффициент загрузки дороги движением,ZPD_0002,Отношение фактической интенсивности движения к практической пропускной способности дороги,ГОСТ 33475-2015  ,Числовой,,,,,,
,,F,,,,,Воздействия ,,,ZPF_,,,,,,,,,
,,,,0001,,,,,Категория помещения производственного и складского назначения по взрывопожарной и пожарной опасности,ZPF_0001,"Определяется исходя из вида находящихся в помещениях горючих веществ и материалов, их количества и пожароопасных свойств, а также исходя из объемно-планировочных решений помещений и характеристик проводимых в них технологических процессов
","Федеральный закон от 22.07.2008 N 123-ФЗ 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Из списка,"Повышенная взрывопожароопасность (А)
Взрывопожароопасность (Б)
Пожароопасность (В1-В4)
Умеренная пожароопасность (Г)
Пониженная пожароопасность (Д)",,ПР 60 15 10 24,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,,,0002,,,,,Класс взрывоопасной зоны,ZPF_0002,Класс взрывоопасной зоны по ПУЭ в зависимости от частоты и длительности присутствия взрывоопасной смеси,Правила устройства электроустановок (ПУЭ),Из списка,"зона класса В-I
зона класса В-Iа
зона класса В-Iб
зона класса В-Iг
зона класса В-II
зона класса В-IIа",,,,<RZo>,"C__
D__"
,,,,0003,,,,,Класс по взрывоопасности зон,ZPF_0003,"Зона, в которой присутствует или может образоваться взрывоопасная среда в объеме, требующем специальных мер защиты при конструировании, монтаже и эксплуатации оборудования",Федеральный закон от 22.07.2008 N 123-ФЗ,Из списка,"0-й класс
1-й класс
2-й класс
20-й класс
21-й класс
22-й класс",,,,<RZo>,"C__
D__"
,,,,0004,,,,,Класс пожароопасной зоны,ZPF_0004,"Пространство изнутри и вне помещений, в пределах которого постоянно или периодически обращаются горючие (сгораемые) вещества и в которой они могут находиться при нормальном технологическом процессе или при его нарушениях",Федеральный закон от 22.07.2008 N 123-ФЗ,Из списка,"П-I
П-II
П-IIа
П-III",,,,<RZo>,"C__
D__"
,,,,0005,,,,,Группа помещений по функциональной пожарной опасности,ZPF_0005,Группа помещений (производств и технологических процессов) по степени опасности развития пожара в зависимости от их функционального назначения и величины пожарной нагрузки горючих материалов,СП 485.1311500.2020,Из списка,"1
2
3
4.1
4.2
5
6
7",,,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,,,0006,,,,,Сейсмичность по карте ОСР-2015,ZPF_0006,,СП 14.13330.2018,Числовой,,,,,"<CCo>
<CEn>",
,,,,0007,,,,,Удельная пожарная нагрузка,ZPF_0007,"Количество теплоты, которое может выделиться в помещение при пожаре, отнесенное к площади размещения находящихся в помещении горючих и трудногорючих веществ и материалов",СП 12.13130.2009,Числовой,,,,,<RZo>,
,,,,0008,,,,,Коэффициент поперечной силы,ZPF_0008,,"ГОСТ 33475-2015 
СП 34.13330.2021 ",Числовой,,,,,,
,,P,,,,,Давление,,,ZPP_,,,,,,,,,
,,U,,,,,Пользовательские,,,ZPU_,,,,,,,,,
,F,,,,,Функциональные,,,,ZF__,,,,,,,,,
,,,,0001,,,,,Категория нежилого здания или помещения по целевому назначению,ZF__0001,"Характеристика площади помещений нежилых зданий, а также нежилых помещений, встроенных в жилые строения, которая учитывается в экспликации к поэтажному плану, исходя из фактического назначения этих помещений","Письмо Минжилкомхоза РСФСР от 09.03.1977 N 15-1-103
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Из списка,"торговые
промышленные (производственные)
складские
бытового обслуживания
гаражи
канцелярские (конторские)
предприятия общественного питания
школьные
учебно-научные
лечебно-санитарные
культурно-просветительные
зрелищные
творческие мастерские художников и скульпторов 
помещения основного нежилого строения
прочая площадь нежилых зданий ",,ПР 60 10 14,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,,,0002,,,,,Класс чистоты воздуха чистого помещения по концентрации аэрозольных частиц,ZF__0002,Классификация чистоты воздуха в чистых помещениях по концентрации аэрозольных частиц в чистых помещениях и чистых зонах,ГОСТ Р ИСО 14644-1-2017,Из списка,"1 ИСО
2 ИСО
3 ИСО
4 ИСО
5 ИСО
6 ИСО
7 ИСО
8 ИСО",,,,<RZo>,"A__
B__
C__"
,,,,0003,,,,,Категория склада,ZF__0003,"Категория зданий и помещений складов в зависимости от высоты зданий, степени огнестойкости зданий, класса конструктивной пожарной опасности здания, площади этажа в пределах пожарного отсека зданий",СП 56.13330.2021,Из списка,"А
Б
В
Д",,,,<RZo>,C__
,,,,0004,,,,,Класс складского помещения согласно Knight Frank,ZF__0004,"Классификация складских помещений, разработанная компанией Knight Frank, в которой отражены преимущественно технические характеристики объектов без учета их месторасположения","Классификация складских помещений.   Knight Frank, Россия и СНГ.  Редакция 2013 г.",Из списка,"A+
A
B
C",,,,<RZo>,C__
,,,,0005,,,,,Принадлежность к помещениям с постоянными рабочими местами,ZF__0005,,СП 118.13330.2022,Логический,,,,,<RZo>,B__
,,,,0006,,,,,Принадлежность к помещениям с массовым пребыванием людей,ZF__0006,,СП 118.13330.2022,Логический,,,,,<RZo>,"BD_
BE_"
,,,,0007,,,,,Ответственный за пожарную безопасность,ZF__0007,"Лицо, ответственное за пожарную безопасность",Федеральный закон от 21.12.1994 N 69-ФЗ,Текстовый,,,,,<RZo>,
,,,,0008,,,,,Наличие балкона,ZF__0008,,СП 54.13330.2022,Логический,,,,,<RZo>,SU_
,,,,0009,,,,,Наличие лоджии,ZF__0009,,СП 54.13330.2022,Логический,,,,,<RZo>,SU_
,,,,0010,,,,,Принадлежность к пути эвакуации,ZF__0010,Принадлежность пространства к пути эвакуации,СП 1.13130.2020,Логический,,,ПР 40 16 12,,<RZo>,"A__
B__
C__
D__
E__
Q__"
,,,,0011,,,,,Помещение с постоянным пребыванием людей,ZF__0011,"Помещение, в котором люди находятся большую часть (более 50%) своего рабочего времени в течение суток или более 2 ч непрерывно",СП 52.13330.2016,Логический,,,,,<RZo>,"A__
B__
C__
D__
E__
Q__"
