Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания,Код по классификатору МССК,Синонимы
,,,,,CBAEA020,Описание мероприятий по заземлению (занулению) и молниезащите,"Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий описание мероприятий по заземлению (занулению) и молниезащите",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников,,
,,,,,CBAEA060,Описание характеристик источников электроснабжения в соответствии с техническими условиями на подключение объекта капитального строительства к сетям электроснабжения общего пользования,"Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий характеристику источников электроснабжения в соответствии с техническими условиями на подключение объекта капитального строительства к сетям электроснабжения общего пользования",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA070,"Описание сведений о количестве энергопринимающих устройств, об их установленной, расчетной и максимальной мощности","Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий сведения о количестве энергопринимающих устройств, об их установленной, расчетной и максимальной мощности",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA080,Описание требований к надежности электроснабжения и качеству электроэнергии,"Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий требования к надежности электроснабжения и качеству электроэнергии",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA090,Описание решений по обеспечению электроэнергией электроприемников в соответствии с установленной классификацией в рабочем и аварийном режимах,"Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий описание решений по обеспечению электроэнергией электроприемников в соответствии с установленной классификацией в рабочем и аварийном режимах",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA100,Описание проектных решений по компенсации реактивной мощности,"Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий описание проектных решений по компенсации реактивной мощности",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA110,"Проектные решения по релейной защите и автоматике, включая противоаварийную и режимную автоматику","Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий проектные решения по релейной защите и автоматике, включая противоаварийную и режимную автоматику",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA120,"Перечень мероприятий по обеспечению соблюдения установленных требований энергетической эффективности к устройствам, технологиям и материалам, используемым в системе электроснабжения, позволяющих исключить нерациональный расход электрической энергии, и по учету расхода электрической энергии","Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий перечень мероприятий по обеспечению соблюдения установленных требований энергетической эффективности к устройствам, технологиям и материалам, используемым в системе электроснабжения, позволяющих исключить нерациональный расход электрической энергии, и по учету расхода электрической энергии, если такие требования предусмотрены в задании на проектирование",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA130,"Описание мест расположения приборов учета используемой электрической энергии и устройств сбора и передачи данных от таких приборов, а также технических решений включения приборов учета электрической энергии в интеллектуальную систему учета электрической энергии (мощности)","Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий описание мест расположения приборов учета используемой электрической энергии и устройств сбора и передачи данных от таких приборов, а также технических решений включения приборов учета электрической энергии в интеллектуальную систему учета электрической энергии (мощности)",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA140,"Описание и перечень приборов учета электрической энергии, измерительных трансформаторов, иного оборудования","Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий описание и перечень приборов учета электрической энергии, измерительных трансформаторов (при необходимости их установки одновременно с приборами учета), иного оборудования, которое указано в Основных положениях функционирования розничных рынков электрической энергии , утвержденных постановлением Правительства Российской Федерации от 4 мая 2012 г. N 442 ""О функционировании розничных рынков электрической энергии, полном и (или) частичном ограничении режима потребления электрической энергии"" , используется для коммерческого учета электрической энергии (мощности) и обеспечивает возможность присоединения приборов учета электрической энергии к интеллектуальной системе учета электрической энергии (мощности) гарантирующего поставщика, и способ присоединения приборов учета электрической энергии к интеллектуальной системе учета электрической энергии (мощности) гарантирующего поставщика (при необходимости)",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA150,"Сведения о показателях энергетической эффективности объекта капитального строительства, в том числе о показателях, характеризующих годовую удельную величину расхода электроэнергии в объекте капитального строительства","Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий сведения о показателях энергетической эффективности объекта капитального строительства, в том числе о показателях, характеризующих годовую удельную величину расхода электроэнергии в объекте капитального строительства",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA160,Сведения о нормируемых показателях удельных годовых расходов электроэнергии и максимально допустимых величинах отклонений от таких нормируемых показателей,"Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий сведения о нормируемых показателях удельных годовых расходов электроэнергии и максимально допустимых величинах отклонений от таких нормируемых показателей (за исключением зданий, строений, сооружений, на которые требования энергетической эффективности не распространяются)",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA170,Перечень мероприятий по учету и контролю расходования используемой электроэнергии,"Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий перечень мероприятий по учету и контролю расходования используемой электроэнергии",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA180,"Спецификация предполагаемого к применению оборудования, изделий, материалов, позволяющих исключить нерациональный расход электроэнергии, в том числе основные их характеристики","Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий спецификацию предполагаемого к применению оборудования, изделий, материалов, позволяющих исключить нерациональный расход электроэнергии, в том числе основные их характеристики",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA190,Требования к установке индивидуальных и общих (квартирных) приборов учета электрической энергии в многоквартирных домах на границе раздела внутридомовых электрических сетей и внутриквартирных электрических сетей вне жилых помещений и обеспечению защиты от несанкционированного вмешательства в работу приборов учета ,"Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий требования к установке индивидуальных и общих (квартирных) приборов учета электрической энергии в многоквартирных домах на границе раздела внутридомовых электрических сетей и внутриквартирных электрических сетей вне жилых помещений и обеспечению защиты от несанкционированного вмешательства в работу приборов учета (указанные требования применяются в случае строительства, реконструкции или капитального ремонта многоквартирного дома, в котором не исполнено указанное требование, но имеется соответствующая техническая возможность)",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA200,Сведения о мощности сетевых и трансформаторных объектов,"Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий сведения о мощности сетевых и трансформаторных объектов",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA210,Решения по организации масляного и ремонтного хозяйства - для объектов производственного назначения,"Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий решения по организации масляного и ремонтного хозяйства - для объектов производственного назначения",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA220,"Сведения о типе, классе проводов и осветительной арматуры, которые подлежат применению при строительстве, реконструкции, капитальном ремонте объекта капитального строительства","Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий сведения о типе, классе проводов и осветительной арматуры, которые подлежат применению при строительстве, реконструкции, капитальном ремонте объекта капитального строительства",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA230,Описание системы рабочего и аварийного освещения,"Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий описание системы рабочего и аварийного освещения",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA240,"Описание дополнительных и резервных источников электроэнергии, в том числе наличие устройств автоматического включения резерва (с указанием одностороннего или двустороннего его действия)","Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий описание дополнительных и резервных источников электроэнергии, в том числе наличие устройств автоматического включения резерва (с указанием одностороннего или двустороннего его действия)",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA250,Перечень мероприятий по резервированию электроэнергии,"Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий перечень мероприятий по резервированию электроэнергии",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA260,Перечень энергопринимающих устройств аварийной и (или) технологической брони и его обоснование,"Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий перечень энергопринимающих устройств аварийной и (или) технологической брони и его обоснование",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEA270,"Сведения о типе и количестве установок, потребляющих электрическую энергию, параметрах и режимах их работы","Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий сведения о типе и количестве установок, потребляющих электрическую энергию, параметрах и режимах их работы",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников,,
C,CB,,,,CBAEA280,"Дополнительное описание сведений текстовой части проектной документации подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"" для атомных станций и требований к их содержанию","Структурный элемент текстовой части проектной документации  подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий сведения о классификации систем (элементов систем) электроснабжения в соответствии с федеральными нормами и правилами в области использования атомной энергии, применяемыми к атомной станции;    
сведения о системе выдачи мощности, в частности:
описание характеристики атомной станции как объекта капитального строительства, предназначенного для выработки электроэнергии и передачи ее внешним потребителям;
сведения о требованиях к разработке главной электрической схемы, схемы собственных нужд и в целом к технологии выработки и передачи электроэнергии внешним потребителям, нормативной базе, классификации в соответствии с федеральными нормами и правилами в области использования атомной энергии, применяемыми к атомной станции;
общие сведения о характеристике и особенностях энергосистемы, к которой предусматривается подключение атомной станции;
сведения о возможности выдачи полной электрической мощности и условиях сохранения устойчивости ее работы в энергосистеме в нормальных и аварийных режимах и возможностях энергосистемы по обеспечению электроснабжения собственных нужд в условиях потери собственных источников электроснабжения, а также о возможности участия объекта в системном регулировании мощности и частоты;
описание и обоснование принятых решений по главной схеме электрических соединений и схеме собственных нужд;
сведения о требованиях и характеристиках основного электротехнического оборудования и устройств главной электрической схемы и схемы собственных нужд (турбогенератор, сетевые и трансформаторные объекты, другое блочное и общестанционное электрооборудование);
описание и обоснование систем электроснабжения собственных нужд, в том числе систем нормальной эксплуатации и систем аварийного электроснабжения, их деление на группы потребления;
сведения об организационной структуре и взаимодействии блочных и общестанционных систем, участвующих в выработке электроэнергии и выдаче мощности, о согласованности условий эксплуатации объекта и внешних сетей;
описание электротехнических устройств внешней сети электроснабжения с указанием основных и резервных источников электроснабжения, в том числе принципиальные схемы и планировки высоковольтных распределительных устройств;
описание систем управления и контроля электрическими устройствами и оборудованием, внешней системной диспетчерской связи, сигнализации, релейной защиты;
описание требований к решениям по кабельному хозяйству;
описание компоновочных решений, включая сведения о расположении основного электротехнического оборудования и систем, входящих в состав главной электрической схемы и схемы собственных нужд, блочных и общестанционных зданий и сооружений электротехнической части;    
классификация систем (элементов систем) электроснабжения по категориям сейсмостойкости с учетом их класса безопасности;    
выбор мощности источников электроснабжения;    
сведения об электроснабжении собственных нужд атомной станции переменным и постоянным токами;    
сведения о функционировании системы электроснабжения собственных нужд в различных режимах (нормальной эксплуатации, нарушения условий нормальной эксплуатации, включая проектные и запроектные аварии);    
сведения о контроле и управлении системы электроснабжения собственных нужд;    
сведения о системе аварийного электроснабжения;    
критерии выбора оборудования, кабелей и гермопроходок;    
сведения о пассивных способах защиты (сведения о противопожарных огнестойких ограждающих конструкциях; кабельных проходках, о противопожарных перегородках, ограничивающих распространение пожара через стены и перекрытия, а также на протяженных кабельных трассах; о мерах, снижающих пожароопасность кабельных трасс при прокладке в одной пожарной зоне);","Постановление Правительства РФ от 16.02.2008 N 87, Приложение N 9 «Особенности состава разделов проектной документации для атомных станций и требований к их содержанию»",,,Дополнительно для атомных станций и требований к их содержанию,,
,,,,CBAEB,,"Графическая часть проектной документации подраздела ""Системы электроснабжения"" в составе Раздела 5  ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения""","Документированные результаты проектирования в соответствии с требованиями к содержанию графической части подраздела ""Системы электроснабжения"" в составе Раздела 5   ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"" проектной документации ОКС производственного и непроизводственного назначения",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников,,
,,,,,CBAEB010,Принципиальная схема электроснабжения электроприемников,"Структурный элемент графической части проектной документации подраздела ""Системы электроснабжения"" в составе Раздела 5  ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий принципиальную схему электроснабжения электроприемников от основного, дополнительного и резервного источников электроснабжения",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников,,
,,,,,CBAEB020,Принципиальная схема сети освещения,"Документированные результаты проектирования в соответствии с требованиями к содержанию графической части подраздела ""Системы электроснабжения"" в составе Раздела 5   ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий принципиальную схему сети освещения, в том числе промышленной площадки и транспортных коммуникаций, - для объектов производственного назначения",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников,,
,,,,,CBAEB030,Схема заземления и молниезащиты,"Структурный элемент графической части подраздела ""Системы электроснабжения"" в составе Раздела 5   ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий схему заземления и молниезащиты",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников,,
,,,,,CBAEB040,Схема размещения электрооборудования и приборов учета используемых энергетических ресурсов,"Структурный элемент графической части  подраздела ""Системы электроснабжения"" в составе Раздела 5   ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий схему размещения электрооборудования (при необходимости) и приборов учета используемых энергетических ресурсов",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников,,
,,,,,CBAEB050,Принципиальная схема сети освещения,"Структурный элемент графической части  подраздела ""Системы электроснабжения"" в составе Раздела 5   ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий принципиальную схему сети освещения - для объектов непроизводственного назначения",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEB060,Принципиальная схема сети аварийного освещения,"Структурный элемент графической части  подраздела ""Системы электроснабжения"" в составе Раздела 5   ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий принципиальную схему сети аварийного освещения",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBAEB070,План сетей электроснабжения,"Структурный элемент графической части  подраздела ""Системы электроснабжения"" в составе Раздела 5   ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий план сетей электроснабжения",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
C,CB,,,,CBAEB080,"Дополнительные планы и схемы графической части подраздела ""Системы электроснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"" для атомных станций и требований к их содержанию","Структурный элемент графической части  подраздела ""Системы электроснабжения"" в составе Раздела 5   ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"", содержащий  сведения о системе выдачи мощности, в частности: принципиальную схему выработки и передачи электроэнергии внешним потребителям;
главную схему электрических соединений и схему собственных нужд;
общие виды основного электрооборудования;
структурные схемы управления выдачей мощности на блочном и общестанционном уровнях;
план открытого распределительного устройства с расположением трансформаторного хозяйства и электротехнических устройств","Постановление Правительства РФ от 16.02.2008 N 87, Приложение N 9 «Особенности состава разделов проектной документации для атомных станций и требований к их содержанию»",,,Дополнительно для атомных станций и требований к их содержанию,,
,,,CBAF,,,"Проектная документация подраздела ""Система водоснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения""","Документированные результаты проектирования в соответствии с требованиями к содержанию подраздела ""Система водоснабжения"" в составе Раздела 5  ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"" проектной документации ОКС производственного и непроизводственного назначения",Постановление Правительства РФ от 16.02.2008 N 87,По форме предоставления информации,,Сформулировано на основании результата анализа источников,,
,,,,CBAFA,,"Текстовая часть проектной документации подраздела ""Система водоснабжения"" в составе Раздела 5 ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения""","Документированные результаты проектирования в соответствии с требованиями к содержанию текстовой части подраздела ""Система водоснабжения"" в составе Раздела 5  ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения"" проектной документации ОКС производственного и непроизводственного назначения",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников,,
