Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,IFC-entity,IFC-Predefined Type,КСР,МССК,ПСК,Примечание,Синонимы,УИН
,,EPD,,нагнетатель горячего воздуха,объект теплового нагрева при помощи нагнетаемого воздуха,,,IfcSpaceHeater,,,,,,,KSI060000171
,EQ_,,,объект охлаждения,"объект, излучающий холод при помощи тепловой энергии","ISO 81346-2:2019
",Вид метода,,,,ЭЛ 40 15 37,,,,KSI060000172
,,EQA,,охлаждающая поверхность,объект теплового охлаждения при помощи проницаемой холодной поверхности,,,IfcChiller,WATERCOOLED,,,,,,KSI060000173
,,EQB,,охлаждающая панель,объект теплового охлаждения при помощи непроницаемой холодной поверхности,,,IfcChiller,WATERCOOLED,,ЭЛ 40 15 30 70,,,,KSI060000174
,,EQC,,воздушный охладитель,объект теплового охлаждения при помощи нагнетаемого воздуха,Большая строительная энциклопедия stroi.gov.ru,,IfcChiller,AIRCOOLED,,"ЭЛ 40 50 10 20
ЭЛ 40 50 10 28",,,,KSI060000175
,,EQD,,холодильник,объект теплового охлаждения с использованием холодной жидкости,Большая строительная энциклопедия stroi.gov.ru,,IfcElectricAppliance,REFRIGERATOR,,ЭЛ 40 50 30 40,,,,KSI060000176
,,EQE,,охлаждающая труба,объект теплового охлаждения с использованием охлажденной жидкости в трубках,,,IfcCoil,DXCOOLINGCOIL,,ЭЛ 40 15 10 10,,,,KSI060000177
,,EQF,,гидроохладитель,,СП 90.13330.2012,,IfcCoil,HYDRONICCOIL,,,,,,KSI060000178
,ET_,,,нагревательный объект на ядерном топливе,"объект, излучающий тепло при помощи ядерного деления","ISO 81346-2:2019
",Вид выхода,,,,ЭЛ 40 15 37,,,,KSI060000179
,,ETA,,ядерный реактор кипящий,"нагревательный объект на ядерном топливе, в процессе работы которого теплоотвод от активной зоны осуществляется теплоносителем в кипящем состоянии",ГОСТ 23082-78,,,,,,,,,KSI060000180
,,ETB,,водо-водяной энергетический реактор,"нагревательный объект на ядерном топливе, с водой под давлением",ГОСТ 23082-78,,,,,,,,,KSI060000181
,,ETC,,ядерный реактор с газовым охлаждением,"нагревательный объект на ядерном топливе, в котором теплоноситель находится в газообразном состоянии.",ГОСТ 23082-78,,,,,,,,,KSI060000182
,,ETD,,ядерный реактор на быстрых нейтронах,"нагревательный объект на ядерном топливе, в котором основная доля деления ядер топлива обусловлена быстрыми нейтронами.",ГОСТ 23082-78,,,,,,,,,KSI060000183
,,ETE,,графито-водный ядерный реактор,"нагревательный объект на ядерном топливе, в котором замедлителем является графит",ГОСТ 23082-78,,,,,,,,,KSI060000184
,EU_,,,"объект, излучающий частицы","объект, излучающий субатомные частицы",ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000185
,,EUA,,плазменный генератор,"объект, излучающий ионизированные частицы",,,,,,,,,,KSI060000186
,,EUB,,генератор частиц,"объект, излучающий неионизированные частицы",,,,,,,,,,KSI060000187
,EV_,,,"объект, излучающий акустические волны","объект, излучающий акустические волны",ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000188
,,EVA,,сонар,"объект, излучающий акустические волны с использованием ультразвуковых частот",,,"IfcAudioVisualApplianceType
",,,,,,,KSI060000189
,,EVB,,противошумовой подавитель,"объект, излучающий акустические волны с использованием слышимых звуковых частот для подавления шума",,,"IfcAudioVisualApplianceType
",,,ЭЛ 40 20 40 42,,,,KSI060000190
F_,,,,защищающий объект,"объект для защиты от опасных или нежелательных воздействий, или условий",ISO 81346-2:2019,Вид источника,,,,,,,,KSI060000191
,FA_,,,"объект, защищающий от перенапряжения",объект для защиты от перенапряжения,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000192
,,FAA,,разрядник искрового промежутка,объект для защиты от перенапряжения при помощи искрового разрядника,,,IfcProtectiveDevice,,,ЭЛ 40 50 80 02,,,,KSI060000193
,,FAB,,варисторный разрядник перенапряжения,объект для защиты от перенапряжения при помощи варистора,,,IfcProtectiveDevice,,,ЭЛ 40 50 80 02,,,,KSI060000194
,,FAC,,опорный диод,объект для защиты от перенапряжения при помощи опорного стабилитрона,,,IfcProtectiveDevice,,,,,,,KSI060000195
,,FAD,,поглотитель перенапряжений,объект для защиты от перенапряжения при помощи поглощения напряжения,,,IfcProtectiveDevice,,,,,,,KSI060000196
,,FAE,,ограничитель перенапряжений ,"Аппарат, предназначенный для защиты изоляции электрооборудования от грозовых и коммутационных перенапряжений, представляющий собой последовательно и/или параллельно соединенные металлооксидные варисторы без каких-либо последовательных или параллельных искровых промежутков, заключенные в изоляционный корпус.","ГОСТ 34433-2018
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,IfcProtectiveDevice,,"89.1.62.01-0898
89.1.62.01-0899
89.1.62.01-0900
89.1.62.01-0901
89.1.62.01-0902
89.1.62.01-0903
89.1.62.01-0904
89.1.62.01-0905
89.1.62.01-0906
89.1.62.01-0907
89.1.62.01-0908
89.1.62.01-0909
89.1.62.01-0910
89.1.62.01-0911
89.1.62.01-0912
89.1.62.01-0913
89.1.62.01-0914
",ЭЛ 40 50 80 02,,,,KSI060000197
,FB_,,,объект для защиты от токов замыкания на землю,объект для защиты от токов замыкания на землю,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000198
,,FBA,,устройство дифференциальной защиты,"объект для защиты от токов замыкания на землю, осуществляющий контроль электрической сети и отключающийся при возникновении токов замыкания на землю",,,"IfcProtectiveDevice, IfcProtectiveDeviceTrippingUnit",,,"ЭЛ 40 50 20 20
",,,,KSI060000199
,,FBB,,ограничитель заземления нейтрали,"объект для защиты от токов замыкания на землю, ограничивающий величину тока замыкания на землю",,,IfcProtectiveDevice,,,,,,,KSI060000200
,FC_,,,объект для защиты от перегрузки по току,объект для защиты от перегрузки по току,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000201
,,FCA,,предохранитель,"объект для защиты от перегрузки по току, который размыкает цепь, в которую он вставлен, путем плавления, прерывая ток, когда он превышает заданное значение в течение достаточного времени
-
Устройство, которое путем разрушения одного или нескольких специально предназначенных элементов размыкает цепь, в которую оно включено, отключая ток, когда он превышает заданное значение в течение достаточного времени и содержит все детали, которые образуют комплектное устройство.
",ГОСТ IEC 60947-1-2017,,"IfcProtectiveDevice, IfcProtectiveDeviceTrippingUnit",,,,,,,KSI060000202
,,FCB,,размыкатель цепи,"объект для защиты от перегрузки по току, способный создавать, выдерживать и отключать токи в нормальных условиях, а также
а также создавать, выдерживать в течение определенного времени и автоматически отключать токи в определенных ненормальных условиях цепи",,,IfcProtectiveDevice,CIRCUITBREAKER,,"ЭЛ 40 50 20 20
ЭЛ 40 50 20 40",,"Этот класс предназначен для автоматических выключателей, определенных в соответствии с серией IEC 60898.",,KSI060000203
,,FCC,,биметаллическая пластина,"объект для защиты от перегрузки по току, который размыкает цепь, в которую он вставлен, прерывая ток, когда он превышает заданное значение в течение достаточного времени",,,IfcProtectiveDevice,,,ЭЛ 40 50 20 20,,,,KSI060000204
,FE_,,,объект для защиты от полей,"объект для защиты, связанный с электрическими и/или магнитными полями",ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000205
,,FEA,,электрический экран,"объект для защиты от электрических полей
-
Экран из проводящего материала, предназначенный уменьшать проникновение электрического поля в заданную область.",ГОСТ IEC 60050-151-2014,,IfcProtectiveDevice,,,,,,,KSI060000206
,,FEB,,магнитный экран,"объект для защиты от магнитных полей
-
Экран из ферромагнитного материала, предназначенный для ограничения проникновения магнитного поля в данное пространство.",ГОСТ IEC 60050-151-2014,,IfcProtectiveDevice,,,,,,,KSI060000207
,,FEC,,экран электромагнитный,"объект для защиты от электромагнитных полей
-
Экран из проводящего материала, предназначенный для ограничения проникновения электромагнитного поля в данное пространство.",ГОСТ IEC 60050-151-2014,,IfcProtectiveDevice,,,,,,,KSI060000208
,FL_,,,объект для защиты от давления,объект для защиты от давления,ISO 81346-2:2019,Вид давления,,,,,,,,KSI060000209
,,FLA,,предохранительный сбросной клапан,"объект для защиты от давления путем выпускания пара или жидкости, когда давление превышает установленное предельное значение
-
Устройство, обеспечивающее сброс среды в атмосферу при достижении предельно-допустимого давления","СТО 70238424.27.010.001-2008
",,IfcValve,PRESSURERELIEF,,ЭЛ 40 15 30 35,,,,KSI060000210
,,FLB,,предохранительный клапан,"объект для защиты от давления путем открывания или закрывания воздушного потока, когда давление выше или ниже установленного предельного значения
-
Клапан, используемый для защиты от чрезмерного давления.","ГОСТ Р 55393-2012
",,IfcValve,SAFETYCUTOFF,,ЭЛ 40 15 30 35,,,,KSI060000211
,,FLC,,прерыватель вакуума,"объект для защиты от давления, предотвращающий образование вакуума",,,IfcValve,ANTIVACUUM,,,,,,KSI060000212
,,FLD,,мембранно-предохранительное устройство,"объект для защиты от давления, который необратимо разрывается в случае чрезмерного перепада давления
-
Предохранительная арматура, состоящая из мембранно-разрывного устройства и предохранительного клапана.",ГОСТ 9544-2015,,,,,,,,,KSI060000213
,,FLE,,расширительный бак,объект для защиты от давления путем расширения объема,,,IfcTank,EXPANSION,,ЭЛ 40 50 10 35,,,,KSI060000214
,FM_,,,противопожарный объект,объект для защиты от пожара,"ISO 81346-2:2019
","Вид метода
приложения и причина срабатывания",,,,ЭЛ 40 30,,,,KSI060000215
,,FMC,,противопожарный клапан,"противопожарный объект, закрывающий воздушный поток при обнаружении дыма и/или пожара
-
Автоматически и дистанционно управляемое устройство перекрытия вентиляционных каналов или проемов ограждающих строительных конструкций зданий, имеющее предельные состояния по огнестойкости, характеризуемые потерей плотности и теплоизолирующей способности:
- нормально открытый (закрываемый при пожаре);
- нормально закрытый (открываемый при пожаре);
- двойного действия (закрываемый при пожаре и открываемый после него).","ГОСТ Р 53301-2013
",,IfcDamper,FIRESMOKEDAMPER,,ЭЛ 40 15 30 45,,,,KSI060000218
,,,FMC10,огнезащитный клапан,"противопожарный объект, закрывающий воздушный поток при обнаружении пожара",,,IfcDamper,FIREDAMPER,,ЭЛ 40 30 20 20,,,,KSI060000216
,,,FMC20,дымовой клапан,"противопожарный объект, открывающий или закрывающий воздушный поток при обнаружении дыма
-
Клапан противопожарный нормально закрытый, имеющий предельное состояние по огнестойкости, характеризуемое только потерей плотности, и подлежащий установке непосредственно в проемах дымовых вытяжных шахт в защищаемых коридорах.","ГОСТ Р 53301-2019
",,IfcDamper,SMOKEDAMPER,,ЭЛ 40 15 30 50,,,,KSI060000217
,,,FMC30,дымовой люк,"противопожарный объект, перекрывающий проемы в наружных ограждающих конструкциях помещений, защищаемых вытяжной противодымной вентиляцией с естественным побуждением тяги",СП 7.13130.2013,,IfcDoor, ,,ЭЛ 40 50 27 06,,,,KSI060000222
,,FMD,,огнетушитель,"противопожарный объект ручного управления
-
Переносное или передвижное устройство для тушения очагов пожара за счет выпуска запасенного огнетушащего вещества ","ГОСТ 12.2.047-86
",,IfcFireSuppressionTerminal, ,,ЭЛ 40 30 20 25,,,,KSI060000219
,,FME,,противопожарный занавес,"противопожарный объект, закрывающий проход для предотвращения распространения дыма и/или огня",ГОСТ Р 59640-2021,,IfcDoor, ,,,,,,KSI060000220
,,FMF,,противодымный экран,"противопожарный объект, разделяющий территорию на зоны задымления
-
Устройство, образующее конструктивное препятствие распространению продуктов горения при пожаре в подпотолочном пространстве и через проемы ограждающих конструкций помещений.","ГОСТ Р 53305-2009
",,IfcDoor, ,,ЭЛ 40 30 10,,,,KSI060000221
,,FMH,,огнестойкая изоляция,"противопожарный объект, накрывающий поверхность",,,IfcCovering, ,,,,,,KSI060000223
,,FMJ,,огнезащитное покрытие,"противопожарный объект, наносящийся на поверхность
-
Слой, полученный в результате нанесения (монтажа) средства огнезащиты на поверхность объекта огнезащиты.",ГОСТ Р 53295-2009,,IfcCovering, ,,,,,,KSI060000224
,,FMK,,огнезащитная пропитка,"противопожарный объект, нанесенный путем пропитки",,,IfcCovering, ,,,,,,KSI060000225
,FN_,,,"объект, защищающий от механических воздействий",объект для защиты от механических усилий,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000226
,,FNA,,предохранительная муфта,"объект для защиты от механических усилий, обеспечивающий разъединение, когда крутящий момент слишком высок",Большая строительная энциклопедия stroi.gov.ru,,,,,ЭЛ 40 15 20 30,,,,KSI060000227
,,FNB,,защита от ударных воздействий,"объект для защиты от механических усилий, поглощающий ударные воздействия",,,IfcVibrationIsolator,COMPRESSION,,ЭЛ 40 20 40 46,,,,KSI060000228
,,FNC,,защита от вибрационных воздействий,"объект для защиты от механических усилий, поглощающий вибрационные воздействия",,,IfcVibrationIsolator,COMPRESSION,,ЭЛ 40 20 40 46,,,,KSI060000229
,FQ_,,,объект превентивной защиты,защищающий объект при использовании барьера или препятствия,ISO 81346-2:2019,Вид назначения предупреждения,,,,,,,,KSI060000230
,,FQA,,защитная сетка (решетка),"объект защиты, предотвращающий прохождение других объектов",,,,,,"ЭЛ 40 20 30 20
ЭЛ 40 20 30 10
",,,,KSI060000231
,,FQB,,защита от соскальзывания,"объект защиты, предотвращающий другие объекты или вещества от соскальзывания и сноса",,,IfcRailing,,,,,,,KSI060000232
,,FQC,,защитная стойка,"объект защиты, предотвращающий падение",,,IfcRailing,GUARDRAIL,,"ЭЛ 30 12 20
ЭЛ 30 16 80 25
ЭЛ 40 45 10 30",,,,KSI060000233
,,FQD,,защитное ограждение,"объект защиты, предотвращающий выпадение или столкновение",,,IfcRailing,GUARDRAIL,,"ЭЛ 30 12
ЭЛ 20 20 06
ЭЛ 20 20 60",,,,KSI060000234
,,FQE,,защитная ткань,"объект защиты, предотвращающий физическое проникновение",,,,,,,,,,KSI060000235
,,FQF,,противобликовая защита,"объект защиты, предотвращающий блики",,,,,,,,,,KSI060000236
,,FQG,,защита от брызг,"объект защиты, предотвращающий разбрызгивание",,,,,,,,,,KSI060000237
,,FQH,,защита от разрушения,"объект защиты, предотвращающий разрушение",,,,,,,,,,KSI060000238
,,FQJ,,запирающий механизм,"объект защиты, предотвращающий разблокировку при ручном открывании",,,"IfcActuator, IfcDiscreteAccessory,
IfcFurniture ",,,ЭЛ 40 60 20 50,,,,KSI060000239
,FR_,,,объект защиты от износа,объект для защиты от эрозии материала,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000240
,,FRA,,смазочный материал,"объект для защиты от износа при использовании жидкого материала между объектами
-
Вещество, вводимое между движущимися соприкасающимися поверхностями для изменения условий трения и уменьшения износа.",ГОСТ Р ИСО 18436-4-2012,,,,,,,,,KSI060000241
,,FRB,,прокладка,"объект для защиты от износа разделяющий конструкции при складировании и транспортиовке
-
Примечание - Прокладки используются для обеспечения фиксированной передачи нагрузки и снижения риска возникновения дефектов.","СТО НОСТРОЙ 2.7.55-2011
",,"IfcPlate,
IfcPipeFitting ",,,"ЭЛ 40 15 20 45
ЭЛ 30 16 83 14",,,,KSI060000242
,FS_,,,"объект, защищающий от воздействий окружающей среды",объект для защиты от воздействий окружающей среды,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000243
,,FSA,,слой штукатурки,"объект для защиты от воздействий окружающей среды в виде отвердевшего слоя материала, покрывающего другой объект
-
Слой шукатурного раствора на цементном или известково-цементном вяжущем, наносимый в один или несколько приемов согласно инструкции производителя материала",СП 71.13330.2017,,IfcCovering, ,,"ПР 60 15 15 14
ЭЛ 30 10 72",,,,KSI060000244
,,FSB,,лакокрасочное покрытие,"объект для защиты от воздействий окружающей среды в виде затвердевшей пленки жидкого состава на поверхности другого объекта
-
Сплошное покрытие, сформированное в результате нанесения одного или нескольких слоев лакокрасочного материала на окрашиваемую поверхность.",ГОСТ 9.072-2017,,IfcCovering, ,,,,,,KSI060000245
,,FSC,,защитная пропитка,"объект для защиты от воздействий окружающей среды в виде нанесенной или наведенной жидкости, делающий объект устойчивым к распаду или разрушению, вызванными внешними факторами
-
Заполнение пор поверхностного слоя бетона строительной конструкции или изделия материалами, стойкими к воздействию агрессивной среды","Терминологический словарь по бетону и железобетону. ФГУП «НИЦ «Строительство» НИИЖБ им. А. А. Гвоздева, Москва, 2007 г. 110 стр.",,IfcCovering, ,,,,,,KSI060000246
,,FSD,,навес,"объект для защиты от окружающей среды, обеспечивающий укрытие от климатических воздействий",,,IfcRoof,SHED_ROOF,,,,,,KSI060000247
,,,FSD10,противолавинная галерея,"объект для защиты от окружающей среды, имеющее перекрытие и служащее для пропуска лавины над полотном горной дороги
",ОДМ 218.2.012-2011,,,,,,,,,KSI060000892
,,FSE,,устройство сейсмической защиты,объект для защиты от окружающей среды в виде контроля за вибрацией или сейсмическими воздействиями,,,IfcVibrationIsolator,,,,,,,KSI060000248
,,FSF,,антикоррозионная защита,объект для защиты от воздействий окружающей среды в виде окисления металла,,,IfcCovering,,,ПР 40 90 14,,,,KSI060000249
,,FSG,,уплотнитель,"объект для защиты от воздействий окружающей среды в виде уплотнения на поверхности другого объекта
-
Компонент, вставляемый в стыки для защиты от проникновения пыли, влаги и газов",ГОСТ Р ИСО 6707-1-2020,,,,,,,,,KSI060000250
,,FSH,,непроницаемая прослойка,"объект для защиты от воздействий окружающей среды в виде слоя, прерывающего капиллярное действие",,,IfcCovering,MEMBRANE,,,,,,KSI060000251
,,FSJ,,карнизный свес,"Выступ крыши от стены, защищающий ее от стекающей дождевой или талой воды",СП 17.13330.2017,,,,,,,,,KSI060000836
,,FSK,,отмостка,"Искусственное покрытие по грунту, устроенное по периметру здания с уклоном в направлении от цоколя и предназначенное для отвода ливневых вод от стен и фундаментов","ГОСТ Р 56891.6-2017
СП 82.13330.2016",,,,,,,,,KSI060000885
G_,,,,генерирующий объект,объект для обеспечения управляемого потока,ISO 81346-2:2019,Вед текущего объекта и вид источника,,,,,,,,KSI060000252
,GA,,,"объект, генерирующий электрическую энергию из механической","объект, генерирующий электрическую энергию при использовании механической энергии",ISO 81346-2:2019,Вид напряжения и форма тока,,,,,,,,KSI060000253
,,GAA,,генератор переменного тока,"объект, генерирующий электрическую энергию переменного тока при использовании механической энергии
-
Генератор для производства переменного тока и напряжения.",ГОСТ IEC 60050-411-2015,,IfcElectricGenerator, ,,"ЭЛ 50 20 10 20
ЭЛ 40 50 25 60",,,,KSI060000254
,,GAB,,генератор постоянного тока,"объект, генерирующий электрическую энергию постоянного тока при использовании механической энергии
-
Электрическая машина, преобразующая механическую энергию приводного двигателя в электрическую энергию постоянного тока ",СТО 17330282.27.010.001-2008,,IfcElectricGenerator, ,,"ЭЛ 50 20 10 20
ЭЛ 40 50 25 60",,,,KSI060000255
,GB,,,"объект, генерирующий электрическую энергию из химической","объект, генерирующий электрическую энергию при помощи химической реакции",ISO 81346-2:2019,Вид применяемого метода источника,,,,,,,,KSI060000256
,,GBA,,гальванический элемент,"объект, генерирующий электрическую энергию при помощи химической реакции с использованием невозобновляемого источника
-
Гальванический элемент, предназначенный для многократного разряда за счет восстановления емкости элемента путем заряда электрическим током.",СТО 17330282.27.010.001-2008,,IfcElectricFlowStorageDevice,BATTERY,,IfcElectricFlowStorageDevice,,,,KSI060000257
,,GBB,,топливный элемент,"объект, генерирующий электрическую энергию при помощи химической реакции постоянно питаемый топливом и окислителем
-
Электрохимическое устройство, которое преобразует химическую энергию топлива и окислителя в электрическую энергию (энергию постоянного тока), тепло и другие продукты реакции.",ГОСТ Р 56188.3.100-2023 (МЭК 62282-3-100:2019),,fcBuildingElementProxy,,,,,,,KSI060000258
,GC,,,"объект, генерирующий электрическую энергию из солнечной","объект, генерирующий электрическую энергию из солнечной",ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000259
,,GCA,,кристаллический фотоэлектрический модуль,"объект, генерирующий электрическую энергию из солнечной c использованием полупроводникового материала на основе пластин
-
Устройство, конструктивно объединяющее электрически соединенные между собой фотоэлектрические солнечные элементы и имеющие выходные клеммы для подключения внешнего потребителя",ГОСТ Р 51594-2000,,IfcSolarDevice,SOLARPANEL,,ЭЛ 40 50 90 01,,,,KSI060000260
,,GCB,,тонкопленочный фотоэлектрический модуль,"объект, генерирующий электрическую энергию из солнечной с использованием тонкопленочного материала",,,IfcSolarDevice,SOLARPANEL,,ЭЛ 40 50 90 01,,,,KSI060000261
,,GCC,,батарея солнечная,"объект, генерирующий тепловой поток жидкости при помощи солнечной энергии
-
Устройство, преобразующее энергию солнечного света непосредственно в электричество",Научно-технический энциклопедический словарь.,,IfcSolarDevice,SOLARCOLLECTOR,,ЭЛ 40 50 90 01,,,,KSI060000262
,GF,,,"объект, генерирующий сигнал","объект, являющийся источником генерируемых сигналов",ISO 81346-2:2019,"Вид источника
метода распределения",,,,,,,,KSI060000263
,,GFA,,источник электромагнитных волн,"объект, генерирующий сигналы при помощи электромагнитных волн",,,,,,ЭЛ 40 55 20 10,,,,KSI060000264
,,GFB,,генератор сигнала,"объект, генерирующий сигналы при помощи проводов
-
Аппарат или устройство для получения электрических сигналов с заданными и обычно регулируемыми характеристиками.",ГОСТ IEC 60050-151-2014,,,,,,,,,KSI060000265
,GL,,,объект для осуществления непрерываемого передвижения,"объект, создающий непрерывное движение предметов",ISO 81346-2:2019,Направление и размер вещества,,,,,,,,KSI060000266
,,GLA,,ленточный конвейер,"объект для непрерываемого перемещения при помощи ленты
-
Конвейер, грузонесущим и тяговым элементом которого является замкнутая лента","ГОСТ 18501-73 (СТ СЭВ 3512-81)
",,IfcTransportElement, ,,"ЭЛ 40 10 20 10
ЭЛ 40 10 20 20",,,,KSI060000267
,,GLB,,ленточно-цепной конвейер,"объект для непрерываемого перемещения при помощи цепи
-
Конвейер, грузонесущим элементом которого является лента, а тяговым - цепь ","ГОСТ 18501-73 (СТ СЭВ 3512-81)
",,IfcTransportElement, ,,ЭЛ 40 10 20 10,,,,KSI060000268
,,GLC,,роликовый конвейер,"объект для непрерываемого перемещения при помощи роликов
-
Конвейер, на котором перемещение грузов происходит по вращающимся роликам, оси которых укреплены на раме конвейера ","ГОСТ 18501-73 (СТ СЭВ 3512-81)
",,IfcTransportElement, ,,ЭЛ 40 10 20 10,,,,KSI060000269
,,GLD,,винтовой конвейер,"объект для непрерываемого перемещения при помощи винта
-
Конвейер, у которого перемещение груза в трубе-желобе производится валом с винтовыми лопастями ","ГОСТ 18501-73 (СТ СЭВ 3512-81)
",,IfcTransportElement, ,,ЭЛ 40 10 20 10,,,,KSI060000270
,,GLE,,эскалатор,"объект для непрерываемого перемещения, состоящий из череды ступеней
-
Наклонная непрерывно движущаяся лестница с механическим приводом для подъема или спуска пассажиров, у которой несущая поверхность ступеней остается горизонтальной.","ГОСТ 33966.1-2020 (EN 115-1:2008+A1:2010)
",,IfcTransportElement,ESCALATOR,,ЭЛ 40 10 10 50,,,,KSI060000271
,,GLF,,элеватор,"объект для непрерываемого перемещения, состоящий из череды контейнеров
-
Конвейер для транспортирования грузов в ковшах, жестко прикрепленных к тяговому элементу, в вертикальном или крутонаклонном направлении ","ГОСТ 18501-73 (СТ СЭВ 3512-81)
",,IfcTransportElement,ELEVATOR,,ЭЛ 40 10 10 60,,,,KSI060000272
,,GLG,,вибрационный конвейер,"объект для непрерываемого перемещения на вибрирующей поверхности
-
Качающийся конвейер, в котором перемещение груза осуществляется микробросками с отрывом части груза от желоба","ГОСТ 18501-73 (СТ СЭВ 3512-81)
",,IfcTransportElement, ,,ЭЛ 40 10 20 10,,,,KSI060000273
,GM,,,объект для осуществления прерываемого перемещения,"объект, создающий прерываемое движение предметов",ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000274
,,GMA,,тележка,объект для прерываемого горизонтального перемещения предметов,,,IfcTransportElement, ,,,,,,KSI060000275
,,GMB,,лифт,"объект для прерываемого вертикального перемещения предметов
-
Стационарное грузоподъемное оборудование, предназначенное для обслуживания определенных уровней и лестничных площадок, включающее кабину или клеть, движущуюся, по крайней мере, частично по жестким вертикальным направляющим или по направляющим, у которых угол наклона к вертикали не более 15°","ГОСТ Р ИСО 6707-1-2020
",,IfcTransportElement,ELEVATOR,,"ЭЛ 40 10 10 20
ЭЛ 40 10 10 30",,,,KSI060000276
,,GMC,,подъемный кран,"объект для прерываемого перемещения предметов путем подъема или перемещения в вертикальной и/или горизонтальной плоскости
-
Механизм, имеющий конструктивный элемент в верхней части, позволяющий поднимать, опускать и перемещать по горизонтали подвешенные под ним грузы",ГОСТ Р ИСО 6707-1-2020,,IfcSpatialStructureElement,LIFTINGGEAR,,,,,,KSI060000277
,,GMD,,укладчик грузов на поддон,объект для прерываемого перемещения предметов путем размещения объектов вместе,,,IfcTransportElement, ,,,,,,KSI060000278
,,GME,,поворотный стол,"объект для прерываемого перемещения предметов путем поворота перемещаемого потока
-
Устройство для установки детали, обеспечивающее ее повороты относительно осей прямолинейного перемещения КИМ.",ГОСТ Р ИСО 10360-1-2017,,IfcTransportElement, ,,,,,,KSI060000279
,,GMF,,вибрационный питатель,объект для прерываемого перемещения предметов в линейном потоке при помощи вибрации,,,IfcTransportElement, ,,,,,,KSI060000280
,,GMG,,подъемник (платформа) для МГН,,ГОСТ Р ИСО 10535-2010,,IfcTransportElement,,,,,,,KSI060000887
,GP,,,"объект, образующий поток жидкости","объект, генерирующий поток жидкости",ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000281
,,GPA,,поршневой насос,"объект, генерирующий поток жидкости путем нагнетания захваченной жидкости в сторону выходного отверстия
-
Возвратно-поступательный насос, у которого рабочие органы выполнены в виде поршней.","ГОСТ ISO 17769-1-2014
",,IfcPump, ,,ЭЛ 40 50 10 32,,,,KSI060000282
,,GPB,,гидравлический насос,"объект, генерирующий поток жидкости путем увеличения скорости потока при помощи механического движения",,,IfcPump, ,,ЭЛ 40 50 10 32,,,,KSI060000283
,,GPC,,гидравлический таран,"объект, генерирующий поток жидкости путем передачи кинетической энергии входного потока выходному потоку",,,IfcPump, ,,,,,,KSI060000284
,,GPD,,напорная емкость,"объект, генерирующий поток жидкости путем преобразования потенциальной энергии в кинетическую под действием силы тяжести",,,IfcTank,VESSEL,,"ЭЛ 40 15 35
ЭЛ 40 50 10 10
ЭЛ 40 50 10 24",,,,KSI060000285
,GQ,,,"объект, образующий поток газа","объект, генерирующий газовый поток","ISO 81346-2:2019
","Вид потока
способа генерации",,,,,,,,KSI060000286
,,GQA,,газовый компрессор,"объект, генерирующий поток газа путем нагнетания захваченного газа в сторону выходного отверстия",,,IfcCompressor, ,,,,,,KSI060000287
,,GQB,,вентилятор,"объект, генерирующий поток газа путем увеличения скорости потока при помощи механического движения
-
Вращающаяся лопаточная машина, передающая механическую энергию газу в одном или нескольких рабочих колесах и обеспечивающая таким образом непрерывное течение газа при его относительной максимальной степени сжатия не более 1,3","ГОСТ 34002-2016
",,IfcFan, ,,"
ЭЛ 40 50 28 04
ЭЛ 40 50 28 03",,,,KSI060000288
,,GQC,,газовый эжектор,"объект, генерирующий поток газа путем передачи кинетической энергии входного потока выходному потоку",,,,,,,,,,KSI060000289
,,GRC,,солнечный коллектор,"объект, генерирующий тепловой поток жидкости при помощи солнечной энергии
-
Устройство для поглощения энергии солнечного излучения и преобразования ее в тепловую энергию",ГОСТ Р 54856-2011,,IfcSolarDevice,SOLARCOLLECTOR,,,,,,KSI060000290
H_,,,,объект для обработки материалов,объект для обработки материалов,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000291
,HJ,,,объект первичного формования,объект обработки вещества при помощи первичного формования,ISO 81346-2:2019,Вид исходного состояния материала,,,,,,,,KSI060000292
