c_1,c_2,c_3,c_4,c_5,lev_1,lev_2,lev_3,lev_4,lev_5,code,def,source,type,list,ifc,par_1,par_2,sect,sect_parts,synonyms,ksi_uin
,,,,0011,,,,,Сопротивление паропроницанию ,MPF_0011,"Величина, обратная относительной паропроницаемости",ГОСТ 32303-2011,Числовой,,,,,<CMa>,,,KSI210001669
,,,,0012,,,,,Сопротивление удару,MPF_0012,Свойство материала сопротивляться разрушению под действием ударных нагрузок,"Косых А.В., Лохова Н.А., Макарова И.А. Искусственные и природные строительные материалы и изделия. Учебное пособие. – Братск: БрГУ, 2006. – 188 с.",Числовой,,,,,<CMa>,,,KSI210001670
,,,,0013,,,,,Ударная вязкость,MPF_0013,"Величина, характеризующая способность материала сопротивляться хрупкому разрушению путем поглощения механической энергии в процессе деформации и разрушения под действием ударной нагрузки",ГОСТ Р 58419-2019,Числовой,,,,,<CMa>,,,KSI210001671
,,,,0014,,,,,Ударная твердость древесины,MPF_0014,Твердость древесины при мгновенном внедрении более твердых тел.,ГОСТ 23431-79,Числовой,,,,,<CMa>,BA__,,KSI210001672
,,,,0015,,,,,Ударостойкость,MPF_0015,"Способность стекла выдерживать удар твердым предметом, препятствуя его проникновению на противоположную сторону",ГОСТ 33004-2014,Логический,,,,,<CMa>,,,KSI210001673
,,,,0016,,,,,Усталость ,MPF_0016,Изменение механических и физических свойств материала под длительным воздействием циклически изменяющихся во времени напряжений и деформаций,ГОСТ 32794-2014,Логический,,,,,<CMa>,,,KSI210001674
,,,,0017,,,,,Класс пожара,MPF_0017,"Классификация пожаров по виду горючего материала, которая используется для обозначения области применения средств пожаротушения",Федеральный закон от 22.07.2008 N 123-ФЗ,Из списка,"Пожары твердых горючих веществ и материалов (A)
Пожары горючих жидкостей или плавящихся твердых веществ и материалов (B)
Пожары газов (C)
Пожары металлов (D)
Пожары горючих веществ и материалов электроустановок, находящихся под напряжением (E)
Пожары ядерных материалов, радиоактивных отходов и радиоактивных веществ (F)",,,,"<CMa> 
<CPr>",,,KSI210001675
,,,,0018,,,,,Класс защиты стекла по ударостойкости согласно ГОСТ 30826-2014,MPF_0018,"Характеристика, показывающая способность стекла противостоять различным однотипным воздействиям на него",ГОСТ 30826-2014,Из списка,"Р1А 
Р2А 
Р3А 
Р4А 
Р5А",,,,<CMa>,AGA_,,KSI210001676
,,,,0019,,,,,Класс защиты стекла по взломостойкости согласно ГОСТ 30826-2014,MPF_0019,"Характеристика, показывающая способность стекла противостоять различным однотипным воздействиям на него",ГОСТ 30826-2014,Из списка,"Р1В 
Р2В 
Р3В",,,,<CMa>,AGA_,,KSI210001677
,,,,0020,,,,,Класс защиты стекла по пулестойкости согласно ГОСТ 30826-2014,MPF_0020,"Характеристика, показывающая способность стекла противостоять различным однотипным воздействиям на него",ГОСТ 30826-2014,Из списка,"С 1 
Бр 1 
Бр 2 
Бр 3 
Бр 4 
Бр 5 
Бр 6",,,,<CMa>,AGA_,,KSI210001678
,,,,0021,,,,,Класс защиты стекла по взрывостойкости согласно ГОСТ 30826-2014,MPF_0021,"Характеристика, показывающая способность стекла противостоять различным однотипным воздействиям на него",ГОСТ 30826-2014,Из списка,"ER1 
ER2 
ER3 
ER4",,,,<CMa>,AGA_,,KSI210001679
,,,,0022,,,,,Класс защиты стекла по огнестойкости согласно ГОСТ 30826-2014,MPF_0022,"Характеристика, показывающая способность стекла противостоять различным однотипным воздействиям на него",ГОСТ 30826-2014,Из списка,"R t 
RE t 
REI t 
E t 
El t
EW t",,,,<CMa>,AGA_,,KSI210001680
,,,,0023,,,,,Класс защиты стекла по безопасности при эксплуатации согласно ГОСТ 30826-2014,MPF_0023,"Характеристика, показывающая способность стекла противостоять различным однотипным воздействиям на него",ГОСТ 30826-2014,Из списка,"СМ1 
СМ2 
СМ3 
СМ4 
",,,,<CMa>,AGA_,,KSI210001681
,,P,,,,,Давление,,,MPP_,,,,,,,,,,,KSI210001683
,,,,0001,,,,,Вертикальное давление на образец грунта ,MPP_0001,"Отношение вертикальной нагрузки, приложенной к образцу, к площади его поперечного сечения",ГОСТ 30416-2020,Числовой,,,,,<CMa>,AH_,,KSI210001684
,,U,,,,,Пользовательские,,,MPU_,,,,,,,,,,,KSI210001685
,F,,,,,Функциональные,,,,MF__,,,,,,,,,,,KSI210001686
,,,,0001,,,,,Биологические повреждения древесины,MF__0001,,ГОСТ 2140-81,Из списка,"Червоточина
Поверхностная червоточина
Неглубокая червоточина
Глубокая червоточина
Некрупная червоточина
Крупная червоточина
Сквозная червоточина
Повреждение древесины паразитными растениями
Неглубокое повреждение древесины паразитными растениями
Глубокое повреждение древесины паразитными растениями
Повреждение птицами",,,,<CMa>,BA__,,KSI210001687
,,,,0002,,,,,Взломостойкость,MF__0002,"Способность стекла выдерживать многократные удары твердыми предметами без образования сквозного отверстия, через которое может проникнуть человек",ГОСТ 33004-2014,Логический,,,,,<CMa>,,,KSI210001688
,,,,0003,,,,,Взрывостойкость,MF__0003,Способность стекла выдерживать воздействие взрывной ударной волны и предохранять от поражения осколками стекла,ГОСТ 33004-2014,Логический,,,,,<CMa>,,,KSI210001689
,,,,0005,,,,,Влагоотдача,MF__0005,"Свойство материала отдавать влагу окружающей среде или выделение влаги из материала при определенных условиях (температура, давление, движение воздуха)","Технология каменных работ : учеб. пособие для студ. Уч. сред. проф. образования / А. А. Лукин. — 4-е изд., стер. — М. : Издательский центр «Академия», 2014. — 304 с.",Логический,,,,,<CMa>,,,KSI210001690
,,,,0006,,,,,Водопроницаемость,MF__0006,Способность материала пропускать через свою толщу воду под давлением,"Косых А.В., Лохова Н.А., Макарова И.А. Искусственные и природные строительные материалы и изделия. Учебное пособие. – Братск: БрГУ, 2006. – 188 с.",Логический,,,,,<CMa>,,,KSI210001691
,,,,0007,,,,,Водопоглощение,MF__0007,Способность материала поглощать и удерживать воду,СТО НОСТРОЙ 2.31.11-2011,Логический,,,,,<CMa>,,,KSI210001692
,,,,0008,,,,,Водостойкость,MF__0008,"Отношение предела прочности при непрямом растяжении серии образцов, подверженных водонасыщению и циклу ""замораживание-оттаивание"", к пределу прочности при непрямом растяжении серии образцов, выдержанных при комнатных условиях",ОДМ 218.4.038-2017,Числовой,,,,,<CMa>,,,KSI210001693
,,,,0009,,,,,Водоудерживающая способность,MF__0009,Способность растворной смеси удерживать в своем составе воду при интенсивном отсосе ее пористым основанием,ГОСТ 4.233-86,Логический,,,,,<CMa>,,,KSI210001694
,,,,0010,,,,,Воздухоемкость древесины,MF__0010,"Отношение максимального объема полостей клеток и межклеточных пространств, которые могут быть заполнены воздухом, к объему древесины при данной влажности",ГОСТ 23431-79,Числовой,,,,,<CMa>,BA__,,KSI210001695
,,,,0011,,,,,Воздухостойкость,MF__0011,Способность материала длительно выдерживать многократное систематическое увлажнение и высушивание без значительных деформаций и потери механической прочности,"Косых А.В., Лохова Н.А., Макарова И.А. Искусственные и природные строительные материалы и изделия. Учебное пособие. – Братск: БрГУ, 2006. – 188 с.",Логический,,,,,<CMa>,,,KSI210001696
,,,,0012,,,,,Выносливость (усталостная прочность),MF__0012,"Количество циклов напряжения или деформации определенного характера, которое данный образец выдерживает, перед тем как возникает разрыв определенной природы",ГОСТ 32794-2014,Числовой,,,,,<CMa>,,,KSI210001697
,,,,0013,,,,,Газопроницаемость,MF__0013,Свойство огнеупоров пропускать газ при наличии перепада давления,ГОСТ 11573-2022,Логический,,,,,<CMa>,,,KSI210001698
,,,,0014,,,,,Гибкость,MF__0014,Отношение свободной длины или свободной высоты к наименьшему радиусу инерции поперечного сечения,ГОСТ 28246-2017,Числовой,,,,,<CMa>,,,KSI210001699
,,,,0015,,,,,Гвоздимость,MF__0015,"Свойство материала, характеризующее примерно равное сопротивление вдавливанию в материал и выдергиванию из него посторонних предметов.",,Логический,,,,,<CMa>,,,KSI210001700
,,,,0016,,,,,Гигроскопическая влажность грунта,MF__0016,"Влажность грунта в воздушно-сухом состоянии, т.е. в состоянии равновесия с влажностью и температурой окружающего воздуха",ГОСТ 30416-2020,Числовой,,,,,<CMa>,AH__,,KSI210001701
,,,,0017,,,,,Гигроскопичность (сорбционная влажность),MF__0017,Способность материалов реагировать или поглощать водяной пар из воздуха,Научно-технический энциклопедический словарь,Числовой,,,,,<CMa>,,,KSI210001702
,,,,0018,,,,,Градиент напора ,MF__0018,Отношение разности гидростатических напоров воды (потери напора) к длине пути фильтрации,ГОСТ 30416-2020,Числовой,,,,,<CMa>,,,KSI210001703
,,,,0019,,,,,Грибные поражения древесины,MF__0019,,ГОСТ 2140-81,Из списка,"Грибные ядровые пятна (полосы)
Плесень на древесине
Заболонные грибные окраски
Синева древесины
Цветные заболонные пятна
Светлые заболонные грибные окраски
Темные заболонные грибные окраски
Поверхностные заболонные грибные окраски
Глубокие заболонные грибные окраски
Подслойные заболонные грибные окраски
Побурение древесины
Торцовое побурение
Боковое побурение
Гниль
Пестрая ситовая гниль
Бурая трещиноватая гниль
Белая волокнистая гниль
Заболонная гниль
Твердая заболонная гниль
Мягкая заболонная гниль
Ядровая гниль
Наружная трухлявая гниль
Дупло",,,,<CMa>,,,KSI210001704
,,,,0020,,,,,Группа воспламеняемости,MF__0020,Группа воспламеняемости горючих строительных материалов (в том числе напольные ковровые покрытия) в зависимости от величины критической поверхностной плотности теплового потока (КППТП),"ГОСТ 30402-96
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128  
Федеральный закон от 22 июля 2008 г. N 123-ФЗ",Из списка,"В1
В2
В3",,ПР 50 15 10 12,,<CMa>,,,KSI210001705
,,,,0021,,,,,Грязеудержание лакокрасочного покрытия,MF__0021,"Склонность лакокрасочного покрытия удерживать на поверхности загрязняющие вещества, не удаляемые простой чисткой",ГОСТ 28246-2017,Логический,,,,,<CMa>,,,KSI210001706
,,,,0022,,,,,Дымообразующая способность (Группа по дымообразующей способности),MF__0022,Классификационная характеристика материалов в зависимости от значения коэффициента дымообразования,"ГОСТ 12.1.044-89 (ИСО 4589-84)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128  
Федеральный закон от 22 июля 2008 г. N 123-ФЗ",Из списка,"Малая дымообразующая способность (Д1) 
Умеренная дымообразующая способность (Д2) 
Высокая дымообразующая способность (Д3)",,ПР 50 15 10 13,,<CMa>,,,KSI210001707
,,,,0023,,,,,Запах,MF__0023,"Приятный или неприятный запах, вызванный выделением химических соединений строительными изделиями или материалами в воздух замкнутого помещения",ГОСТ Р ИСО 16000-28-2015,Логический,,,,,<CMa>,,,KSI210001708
,,,,0024,,,,,Износостойкость,MF__0024,Свойство материала оказывать сопротивление изнашиванию в определенных условиях эксплуатации или испытаний,СП 46.13330.2012,Логический,,,,,<CMa>,,,KSI210001709
,,,,0025,,,,,Индекс эффективности модификаторов,MF__0025,"Качественная и количественная характеристики модификаторов, предназначенные для определения соответствия их эффективности требованиям настоящего стандарта: снижение расхода воды в смеси основного состава по сравнению с контрольным составом; увеличение прочности на сжатие образцов основного состава по сравнению с контрольным составом; относительное линейное расширение образцов основного состава; самонапряжение образцов основного состава;",ГОСТ Р 56178-2014,Текстовый,,,,,<CMa>,,,KSI210001710
,,,,0026,,,,,Инородные включения,MF__0026,"Дефект в виде инородного металлического или неметаллического включения, имеющего поверхность раздела с металлом чушки",ГОСТ 1583-93,Логический,,,,,<CMa>,,,KSI210001711
,,,,0027,,,,,"Инородные включения, механические повреждения и пороки обработки",MF__0027,,ГОСТ 2140-81,Из списка,"Инородное включение в древесине
Обугленность древесины
Обдир коры
Kappa
Скос пропила
Обзол
Тупой обзол
Острый обзол
Закорина
Риски на поверхности древесины
Волнистость поверхности древесины
Ворсистость поверхности древесины
Мшистость поверхности древесины
Бахрома
Заруб
Запил
Отщеп
Скол
Козырек
Заусенец
Вырыв
Задир
Выщербины
Вмятина на древесине
Рваный торец
Рябь шпона
Накол
Царапина на древесине
Выхват
Непрофрезеровка древесины
Гребешок
Прошлифовка
Недошлифовка
Обжиг древесины",,,,<CMa>,BA__,,KSI210001712
,,,,0028,,,,,Кап в древесине,MF__0028,"Наплывы на стволах, чаще в прикорневой зоне, имеющие бугристую поверхность, покрытую мелкими коническими бугорками спящих почек, иногда водяными побегами; в результате беспорядочного разрастания колец роста древесина приобретает красивую свилеватую текстуру",ГОСТ 32714-2014,Логический,,,,,<CMa>,BA__,,KSI210001713
,,,,0029,,,,,Класс добавок,MF__0029,"Группа добавок, обладающих качественно идентичным воздействием на бетонные и растворные смеси и/или бетоны и растворы",ГОСТ 24211-2008,Текстовый,,,,,<CMa>,"GC__
GD__",,KSI210001714
,,,,0030,,,,,Коррозионная язва,MF__0030,"Местное коррозионное разрушение, имеющее вид отдельной раковины",ГОСТ 9.106-2021,Логический,,,,,<CMa>,,,KSI210001715
,,,,0031,,,,,Коррозионное растрескивание,MF__0031,Коррозия металла при одновременном воздействии коррозионной среды и внешних или внутренних механических напряжений растяжения с образованием транскристаллитных или межкристаллитных трещин,ГОСТ 9.106-2021,Логический,,,,,<CMa>,,,KSI210001716
,,,,0032,,,,,Коэффициент оттаивания ,MF__0032,"Показатель деформируемости, характеризующий осадку мерзлого грунта при его оттаивании без нагрузки",ГОСТ 30416-2020,Числовой,,,,,<CMa>,,,KSI210001717
,,,,0033,,,,,Коэффициент условий эксплуатации материала слоя,MF__0033,,СП 50.13330.2024,Числовой,,,,,<CMa>,,,KSI210001718
,,,,0034,,,,,Коэффициент усушки древесины,MF__0034,Усушка в определенном анатомическом направлении при уменьшении влажности на 1%.,ГОСТ 32714-2014,Числовой,,,,,<CMa>,BA__,,KSI210001719
,,,,0035,,,,,Коэффициент фильтрации,MF__0035,"Скорость фильтрации воды в грунте при градиенте напора, равном единице",ГОСТ 30416-2020,Числовой,,,,,<CMa>,AH__,,KSI210001720
,,,,0037,,,,,Коэффициент фильтрационной и вторичной консолидации грунта,MF__0037,"Показатель, характеризующий скорость деформации грунта при постоянном давлении за счет фильтрации воды",ГОСТ 30416-2020,Числовой,,,,,<CMa>,AH__,,KSI210001721
,,,,0039,,,,,Ликвация,MF__0039,"Дефект в виде местных скоплений химических элементов или соединений, возникших в результате избирательной кристаллизации при затвердении",ГОСТ 1583-93,Логический,,,,,<CMa>,,,KSI210001722
,,,,0040,,,,,Мутность,MF__0040,"Показатель, характеризующий уменьшение прозрачности воды в связи с наличием тонкодисперсных взвешенных частиц","ГОСТ 27065-86
МУ 08-47/251",Логический,,,,,<CMa>,,,KSI210001723
,,,,0041,,,,,Наличие розы в древесине,MF__0041,"Концентрические складки, являющиеся признаком внутренних пороков, как правило, сучков",ГОСТ 32714-2014,Логический,,,,,<CMa>,BA__,,KSI210001724
,,,,0042,,,,,Неоднородность,MF__0042,Неодинаковость свойств среды в различных ее точках,,Логический,,,,,<CMa>,,,KSI210001725
,,,,0043,,,,,Несплошность,MF__0043,"Нарушение сплошности или когезии, выраженное в виде естественных или искусственных разрывов физической структуры материала",ГОСТ Р 53697-2009,Логический,,,,,<CMa>,,,KSI210001726
,,,,0044,,,,,Осадок,MF__0044,"Накопленные твердые вещества, осевшие в результате естественных или искусственных процессов",Справочник технического переводчика,Логический,,,,,<CMa>,,,KSI210001727
,,,,0045,,,,,Осаждение лакокрасочного материала,MF__0045,Образование осадка на дне тары с лакокрасочным материалом,ГОСТ 28246-2017,,,,,,<CMa>,,,KSI210001728
,,,,0046,,,,,Пенообразование,MF__0046,Образование слоя пены на поверхности воды в паровом котле,СТО 17330282.27.010.001-2008,Логический,,,,,<CMa>,,,KSI210001729
,,,,0047,,,,,Покоробленность древесины,MF__0047,"Изменение формы сортимента при выпиловке, сушке или хранении.",ГОСТ 2140-81,Из списка,"Продольная покоробленность по пласти
Простая покоробленность
Сложная покоробленность
Продольная покоробленность по кромке
Поперечная покоробленность
Крыловатость",,,,<CMa>,BA__,,KSI210001730
,,,,0048,,,,,Пороки строения древесины,MF__0048,,ГОСТ 2140-81,Из списка,"Наклон волокон
Тангентальный (тангенциальный) наклон волокон
Радиальный наклон волокон
Крень
Местная крень
Сплошная крень
Тяговая древесина
Свилеватая древесина
Волнистая свилеватость
Путаная свилеватость
Завиток
Односторонний завиток
Сквозной завиток
Глазки
Разбросанные глазки
Групповые глазки
Светлые глазки
Темные глазки
Кармашек
Односторонний кармашек
Сквозной кармашек
Сердцевина
Двойная сердцевина
Смещенная сердцевина
Пасынок
Сухобокость
Прорость
Открытая прорость
Односторонняя прорость
Сквозная прорость
Закрытая прорость
Сросшаяся прорость
Светлая прорость
Темная прорость
Рак
Открытый рак
Закрытый рак
Засмолок
Ложное ядро
Пятнистость древесины
Тангентальная пятнистость
Радиальная пятнистость
Прожилки
Разбросанные прожилки
Групповые прожилки
Следы от прожилок
Внутренняя заболонь
Водослой ",,,,<CMa>,BA__,,KSI210001731
,,,,0049,,,,,Пороки формы ствола,MF__0049,,ГОСТ 2140-81,Из списка,"Сбежистость
Закомелистость
Округлая закомелистость
Ребристая закомелистость
Овальность ствола
Нарост на стволе
Кривизна ствола
Простая кривизна
Сложная кривизна",,,,<CMa>,BA__,,KSI210001732
,,,,0050,,,,,Распиливаемость,MF__0050,Способность материала подвергаться распиливанию без существенного нарушения структуры,,Логический,,,,,<CMa>,BA__,,KSI210001733
,,,,0051,,,,,Расслоение,MF__0051,"Дефект, расположенный в стенке трубы и, как правило, ориентированный параллельно поверхности",ГОСТ Р ИСО 10893-9-2016,Логический,,,,,<CMa>,,,KSI210001734
,,,,0052,,,,,Растрескивание лакокрасочного покрытия,MF__0052,Образование трещин в лакокрасочном покрытии или его слое,ГОСТ 28246-2017,Логический,,,,,<CMa>,,,KSI210001735
,,,,0053,,,,,Ребристость лесоматериала,MF__0053,Продольные узкие углубления и/или гребни на поверхности круглого лесоматериала,ГОСТ 32714-2014,Логический,,,,,<CMa>,,,KSI210001736
,,,,0054,,,,,Релаксация,MF__0054,Разность начального и остаточного напряжений в образце,ГОСТ 28334-89,Числовой,,,,,<CMa>,,,KSI210001737
,,,,0055,,,,,Рыхлота,MF__0055,Дефект в виде скопления мелких усадочных раковин,ГОСТ 1583-93,Логический,,,,,<CMa>,,,KSI210001738
,,,,0056,,,,,Сбег древесины,MF__0056,Постепенное изменение диаметра по высоте ствола или по длине бревна,ГОСТ 32714-2014,Числовой,,,,,<CMa>,BA__,,KSI210001739
,,,,0057,,,,,Свариваемость,MF__0057,"Свойство металла или сочетание металлов образовывать при установленной технологии сварки соединение, отвечающее требованиям, обусловленным конструкцией и эксплуатацией изделия",СТО ЦКТИ 10.005-2006,Логический,,,,,<CMa>,,,KSI210001740
,,,,0058,,,,,Вид скального грунта по происхождению,MF__0058,,ГОСТ 30416-2020,Текстовый,,,,,<CMa>,AH__,,KSI210001741
,,,,0059,,,,,Слеживаемость ,MF__0059,"Горно-технологическое свойство, характеризующее способность разрушенной горной породы к уплотнению под действием гравитационных сил при длительном хранении",ГОСТ Р 50544-93,Логический,,,,,<CMa>,,,KSI210001742
,,,,0060,,,,,Смещенная сердцевина,MF__0060,"Сердцевина, расположенная на значительном расстоянии от геометрического центра поперечного сечения круглого лесоматериала",ГОСТ 32714-2014,Логический,,,,,<CMa>,BA__,,KSI210001743
,,,,0061,,,,,Способность разжижаться,MF__0061,Способность материала снижать свою вязкость при приложении внешнего воздействия и увеличивать вязкость при его отсутствии,СТО 70386662-306-2013,Логический,,,,,<CMa>,,,KSI210001744
,,,,0062,,,,,Способность разлагаться,MF__0062,"Минерализация органического вещества пробы и растворение ее минеральной части, полное или частичное, в процессе химической реакции со смесью реагентов",ГОСТ Р 55131-2012,Логический,,,,,<CMa>,,,KSI210001745
,,,,0063,,,,,Текстура,MF__0063,Видимая и осязаемая характеристика поверхности материала,ГОСТ 28246-2017,Текстовый,,,,,<CMa>,,,KSI210001746
,,,,0064,,,,,Удельный расход вяжущего на единицу нормируемой прочности,MF__0064,"Характеристика раствора, определяемая отношением расхода вяжущего (кг/м) к единице нормируемой прочности (МПа)",ГОСТ 4.233-86,Числовой,,,,,<CMa>,,,KSI210001747
,,,,0065,,,,,Флоккуляция пигмента в лакокрасочном материале,MF__0065,Образование в лакокрасочном материале слабо связанных агломератов частиц пигмента или наполнителя,ГОСТ 28246-2017,Логический,,,,,<CMa>,FB__,,KSI210001748
,,,,0066,,,,,Флотация пигмента в лакокрасочном материале,MF__0066,"Выделение одного или нескольких пигментов из пигментированного лакокрасочного материала, содержащего смесь различных пигментов, с образованием на его поверхности полос или пятен различного оттенка",ГОСТ 28246-2017,Логический,,,,,<CMa>,FB__,,KSI210001749
,,,,0067,,,,,Шлифуемость бетона,MF__0067,"Способность каменных материалов и материала верхнего слоя покрытия - асфальтобетона, цементобетона - противостоять шлифующему действию шин автомобилей, характеризующаяся показателем шлифуемости.",СТО НОСТРОЙ 2.25.186-2015,Логический,,,,,<CMa>,"GC__
GD__",,KSI210001750
,,,,0068,,,,,Фактура,MF__0068,"Характеристика поверхности пиломатериала (гладкость, шершавость, рельефность), ощущаемая осязательно и зрительно",ГОСТ 32714-2014,Текстовый,,,,,<CMa>,,,KSI210001751
,,,,0069,,,,,Нестабилизированное состояние грунта ,MF__0069,"Состояние грунта, характеризуемое незавершенностью деформаций уплотнения под определенной нагрузкой и наличием избыточного давления в поровой жидкости",ГОСТ 30416-2020,Логический,,,,,<CMa>,AH__,,KSI210001752
,,,,0070,,,,,Группа пожарной опасности кровли,MF__0070,Классификация кровли по результатам испытаний в зависимости от степени повреждения по длине кровли при воздействии источника зажигания (деревянного штабеля) в условиях ветровой нагрузки,ГОСТ Р 56026-2014,Из списка,"КП0
КП1",,,,<CMa>,,,KSI210001753
,,,,0071,,,,,Группа распространения пламени,MF__0071,Классификация горючих строительных материалов (по ГОСТ 30244) по скорости распространения пламени по поверхности горючие строительные материалы (в том числе напольные ковровые покрытия) в зависимости от величины критической поверхностной плотности теплового потока,"ГОСТ 30444-97
ГОСТ Р 56026-2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128  
Федеральный закон от 22 июля 2008 г. N 123-ФЗ",Из списка,"РП1
РП2
РП3
РП4",,ПР 50 15 10 15,,<CMa>,AH__,,KSI210001754
,,,,0072,,,,,Группа горючести материала,MF__0072,Классификация строительных материалов в зависимости от значений параметров горючести,"ГОСТ 30244-94
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128  
Федеральный закон от 22 июля 2008 г. N 123-ФЗ",Из списка,"НГ
Г1
Г2
Г3
Г4",,"ПР 40 70 18
ПР 40 60 20
ПР 40 75 18
ПР 50 15 10 10",,"<Cma>
<CPr>",,,KSI210001755
,,,,0073,,,,,Токсичность продуктов горения,MF__0073,Классификация материалов по значению показателя токсичности продуктов горения в соответствии со значением показателя токсичности продуктов горения,"Федеральный закон от 22 июля 2008 г. N 123-ФЗ 
ГОСТ 12.1.044-89",Из списка,"Чрезвычайно опасные 
Высокоопасные Умеренноопасные 
Малоопасные 
",,,,"<Cma>
<CPr>",,,KSI210001983
,,,,0074,,,,,Показатель токсичности продуктов горения,MF__0074,"Отношение количества материала к единице объема замкнутого пространства, в котором образующиеся при горении материала газообразные продукты вызывают гибель 50% подопытных животных","Федеральный закон от 22 июля 2008 г. N 123-ФЗ 
ГОСТ 12.1.044-89",Числовой,,,,,"<Cma>
<CPr>",,,KSI210001984
,,,,0075,,,,,Индекс распространения пламени (I),MF__0075,"Условный безразмерный показатель, характеризующий способность веществ воспламеняться, распространять пламя по поверхности и выделять тепло","Федеральный закон от 22 июля 2008 г. N 123-ФЗ 
ГОСТ 12.1.044-89",Числовой,,,,,"<Cma>
<CPr>",,,KSI210001985
,,,,0076,,,,,Агрегатное состояние,MF__0076,"Состояние какого-либо вещества, имеющее определенные свойства: способность сохранять форму и объем, иметь дальний или ближний порядок и другие. При изменении агрегатного состояния вещества происходит изменение физических свойств, а также плотности, энтропии и свободной энергии
","А.В. Перышкин, Физика (7-9)",Из списка,"Твердое 
Жидкое 
Газообразное",,,,"<Cma>
<CPr>",,,KSI210001986
,,,,0077,,,,,Индекс пожаровзрывоопасности,MF__0077,"Показатель, характеризующий уровень взрывопожароопасности газо-, паро- и пылевоздушной смеси",Федеральный закон от 22 июля 2008 г. N 123-ФЗ,Числовой,,,,,"<Cma>
<CPr>",,,KSI210001987
,,,,0078,,,,,Нижний концентрационный предел распространения пламени (НКПР),MF__0078,"Концентрация горючего газа или пара в воздухе, ниже которой взрывоопасная газовая среда не образуется, выражается в процентах","Федеральный закон от 22 июля 2008 г. N 123-ФЗ 
ГОСТ 31610.13-2014",Числовой,,,,,"<Cma>
<CPr>",,,KSI210001988
,,,,0079,,,,,Верхний концентрационный предел распространения пламени (ВКПР),MF__0079,"Концентрация горючего газа или пара в воздухе, выше которой взрывоопасная газовая среда не образуется, выражается в процентах","Федеральный закон от 22 июля 2008 г. N 123-ФЗ 
ГОСТ 31610.13-2014",Числовой,,,,,"<Cma>
<CPr>",,,KSI210002033
,,,,0080,,,,,Группа распространения пламени для текстильных и кожевенных материалов,MF__0080,,"Федеральный закон от 22 июля 2008 г. N 123-ФЗ
ГОСТ 12.1.044-89",Из списка," Не распространяющие пламя по поверхности 
Медленно распространяющие пламя по поверхности 
Быстро распространяющие пламя по поверхности.",,,,"<Cma>
<CPr>",,,KSI210002006
,,,,0081,,,,,Группа горючести веществ и материалов,MF__0081,,"Федеральный закон от 22 июля 2008 г. N 123-ФЗ
ГОСТ 12.1.044-89",Из списка,"Негорючие
Трудногорючие
Горючие",,,,"<Cma>
<CPr>",,,KSI210002007
,,,,0082,,,,,Кислородный индекс,MF__0082,"Минимальная концентрация кислорода в кислородно-азотной смеси, которая необходима для поддержания горения материала при заданных условиях испытания","58159-2018 (ИСО 4880:1997)
ГОСТ 32794-2014
ГОСТ 12.1.044-89 ",Числовой,,,,,"<Cma>
<CPr>",,,KSI210002008
,,,,0083,,,,,Нормальная скорость распространения пламени,MF__0083,"Скорость перемещения фронта пламени относительно несгоревшего газа в направлении, перпендикулярном к его поверхности",ГОСТ 12.1.044-89,Числовой,,,,,"<Cma>
<CPr>",,,KSI210002009
,,,,0084,,,,,Самовозгорание,MF__0084,Возгорание в результате саморазогрева,ГОСТ Р 58159-2018,Логический,,,,,"<Cma>
<CPr>",,,KSI210002010
,,,,0085,,,,,Температура вспышки,MF__0085,"Наименьшая температура конденсированного вещества, при которой в условиях специальных испытаний над его поверхностью образуются пары, способные вспыхивать в воздухе от источника зажигания; устойчивое горение при этом не возникает",ГОСТ 12.1.044-89,Текстовый,,,,,"<Cma>
<CPr>",,,KSI210002011
,,,,0086,,,,,Температура самовоспламенения,MF__0086,"Наименьшая температура окружающей среды, при которой в условиях специальных испытаний наблюдается самовоспламенение вещества",ГОСТ 12.1.044-89,Числовой,,,,,"<Cma>
<CPr>",,,KSI210002012
,,,,0087,,,,,Скорость нарастания давления взрыва,MF__0087,Производная давления взрыва по времени на восходящем участке зависимости давления взрыва горючей смеси в замкнутом сосуде от времени,ГОСТ 12.1.044-89,Числовой,,,,,"<Cma>
<CPr>",,,KSI210002013
,,,,0088,,,,,Максимальное давление взрыва,MF__0088,"Наибольшее избыточное давление, возникающее при дефлаграционном сгорании газо-, паро-или пылевоздушной смеси в замкнутом сосуде при начальном давлении смеси 101,3 кПа. Значение максимального давления взрыва следует применять при определении категории помещений по взрывопожарной и пожарной опасности в соответствии с требованиями норм технологического проектирования, при разработке мероприятий по обеспечению пожаровзрывобезопасности технологических процессов в соответствии с требованиями ГОСТ 12.1.004-91 и ГОСТ 12.1.010-76",ГОСТ 12.1.044-89,Числовой,,,,,"<Cma>
<CPr>",,,KSI210002014
