Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Управленческая группа процессов,Примеры,Примечания,Синонимы,УИН
,,,,BCA010,Выполнение расчета нагрузок,Обоснование и количественная оценка расчетных параметров в виде нагрузок для выполнения последующих расчетных обоснований объекта,"СП 31-110-2003
СП 35.13330.2011
 ГОСТ 32960-2014",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000094
,,,,BCA020,Выполнение расчета на прочность,"Обоснование и количественная оценка, осуществляемая с целью определения безопасной эксплуатации объекта в конкретных условиях и при конкретных нагрузках","Постановление Правительства РФ от 16.02.2008 N 87
СП 14.13330.2018",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000095
,,,,BCA030,Выполнение расчета на устойчивость,"Обоснование и количественная оценка, осуществляемая с целью определения условий (обычно силовых), при достижении которых начинается переход от устойчивого положения равновесия к неустойчивому – недопустимому для дальнейшей эксплуатации объекта","Постановление Правительства РФ от 16.02.2008 N 87
СП 14.13330.2018",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000096
,,,,BCA040,Выполнение гидравлического расчета,"Обоснование и количественная оценка, осуществляемая с целью определения основных конструктивных и геометрических характеристик водопропускного сооружения",ГОСТ 31937-2024,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000097
,,,,BCA050,Выполнение расчета на сейсмическое воздействие,"Обоснование и количественная оценка, осуществляемая с целью определения способности объекта сохранять предусмотренные проектом функции после сейсмического воздействия",СП 14.13330.2018,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000098
,,,,BCA060,Выполнение расчета освещенности,"Обоснование и количественная оценка, осуществляемая с целью подбора и эффективного размещения светильников и прожекторов, а также с целью расчета энергопотребления осветительной системы для освещаемого объекта",СП 52.13330.2016,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000099
,,,,BCA070,Выполнение расчета тепловой мощности систем отопления и вентиляции,Обоснование и количественная оценка тепловой мощности систем отопления и вентиляции,СП 60.13330.2020,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000100
,,,,BCA080,Выполнение расчета необходимого времени эвакуации,"Обоснование и количественная оценка времени, необходимого для эвакуации людей за пределы габаритов здания при пожаре",СП 1.13130.2020,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000101
,,BCB,,,Выполнение анализов при разработке проектных решений,"Обоснование и оценка проектных решений с целью определение их пригодности, адекватности или результативности","ГОСТ Р ИСО 9001-2015
СП 22.13330.2016
СП 47.13330.2016",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000102
,,,,BCB010,Выполнение вероятностного анализа безопасности,"Обоснование и количественная оценка безопасности, выполняемая для определения вероятностей реализации путей протекания и конечных состояний аварий на объекте","НП-018-05
ГОСТ Р ИСО 21500-2023",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000103
,,,,BCB020,Выполнение анализа надежности,"Обоснование и количественная оценка, осуществляемая с целью определения показателей надежности объекта",,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000104
,,,,BCB030,Выполнение анализа угроз,"Обоснование и количественная оценка, осуществляемая с целью определения негативного влияния угроз на объект проектирования",ГОСТ Р 54147-2010,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000105
,,,,BCB040,Выполнение динамического анализа сейсмостойкости,"Обоснование и количественная оценка, осуществляемая с целью определения работы объекта под сейсмической нагрузкой",СП 14.13330.2018,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000106
,,,,BCB050,Выполнение анализа пожарной опасности объекта,"Обоснование и количественная оценка, осуществляемая с целью определения возможности возникновения и распространение пожара",Федеральный закон от 04.06.2018 N 123-ФЗ,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000107
,,BCC,,,Проведение исследований при разработке проектных решений,"Процесс изучения, эксперимента, концептуализации и проверки теории при разработке проектных решений","СП 47.13330.2016
СП 23.13330.2018
ГОСТ Р ИСО/МЭК ТО 16326-2002",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000108
,,,,BCC010,Проведение научно-исследовательских работ,"Проведение комплекса теоретических и (или) экспериментальных исследований, проводимых с целью получения обоснованных исходных данных, изыскания принципов и путей создания (модернизации) объекта",,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000109
,,,,BCC020,Проведение опытно-конструкторских работ,"Проведение комплекса работ по разработке конструкторской и технологической документации на опытный образец, изготовлению и испытаниям опытного (головного) образца (опытной партии), выполняемых для создания (модернизации) объекта",,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000110
,,,,BCC030,Проведение научно-исследовательских и опытно-конструкторских работ,"Проведение научно-исследовательских, опытно-конструкторских и технологических работ, направленных на получение новых знаний и их практическое применение при создании нового объекта",,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000111
,,,,BCC040,Научно-техническое сопровождение проектных работ,"Проведение комплекса мероприятий, включающего в себя научные, методические, контрольные, аналитические работы, выполняющиеся для обеспечения безопасности строительства и эксплуатации объекта и выполнения им всех предусмотренных проектом функций",,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000112
,,,,BCC050,Проведение исследований по учету человеческого фактора при проектировании,Проведение исследований по анализу влияния человеческого фактора на процессы проектирования и проектные решения при их сопоставлении с процессами реализации проектных решений и процессами эксплуатации и вывода из эксплуатации,,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000113
,,,,BCC060,Проведение экспериментальных исследований,"Процесс изучения объекта, основанный на целенаправленном воздействии на него искусственно созданных условий, позволяющий наблюдать, сравнивать и измерять его свойства, устанавливать их зависимость от внешних воздействий",,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000114
,,,,BCC070,Бенчмаркинг при разработке проектных решений,Процесс применения лучших практик и результатов других проектов и организаций для совершенствования результатов процесса проектирования,ГОСТ Р 54147-2010,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000115
,BD,,,,Изменение проектных решений,"Модификация проектных решений на основании внедренных изменений в проекте, результатов расчетных обоснований и улучшений","ГОСТ Р 54869-2011
ГОСТ Р ИСО 9001-2015
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р 21.101-2020
ГРАДОСТРОИТЕЛЬНЫЙ КОДЕКС РОССИЙСКОЙ ФЕДЕРАЦИИ",По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000116
,,BDA,,,Оптимизация проектных решений,"Модификация проектных решений, направленная на снижение стоимости капитальных затрат, затрат на эксплуатацию, улучшение эффективности строительства и качества объекта","СП 42.13330.2016
СП 34.13330.2021
ГОСТ Р ИСО 10006-2019
ГОСТ Р ИСО 9000-2015
 ГОСТ 33100-2014
ГОСТ 33149-2014
ГОСТ Р 58818-2020",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000117
,,BDB,,,Устранение отклонений проектных решений от требований по проекту,Устранение выявленных отклонений проектных решений от установленных требований к объекту,"ГОСТ Р ИСО 9001-2015
Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ
ГОСТ Р ИСО/МЭК ТО 16326-2002
СП 35.13330.2011
ГОСТ Р 21.101-2020",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000118
,,BDC,,,Изменение проектных решений на основании внедренных изменений в проекте,Модификация проектных решений на основании внедренных изменений в проекте,"ГОСТ Р 54869-2011
ГОСТ Р ИСО 9001-2015
ГОСТ Р 21.101-2020",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000119
,,BDD,,,Изменение проектных решений на основании результатов расчетных обоснований,Модификация проектных решений на основании результатов расчетных обоснований,"ГОСТ Р 54869-2011
ГОСТ Р ИСО 9001-2015
ГОСТ Р 21.101-2020",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000120
,,BDE,,,Изменение проектных решений по итогам разработки проектных решений в проекте,Модификация проектных решений по итогам разработки проектных решений в проекте,"ГОСТ Р 54869-2011
ГОСТ Р ИСО 9001-2015
ГОСТ Р 21.101-2020",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000121
,BE,,,,Взаимодействие при разработке проектных решений,Процесс взаимодействия участников процесса проектирования при разработке проектных решений,"ГОСТ Р ИСО 9000-2015
ГОСТ Р ИСО 9001-2015
ГОСТ Р ИСО 21500-2023",По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000122
,,BEA,,,Обмен проектными данными при разработке проектных решений,Процесс обмена данными между участниками процесса проектирования при разработке проектных решений,"ГОСТ Р ИСО 10005-2019
ГОСТ Р ИСО 9001-2015
СП 333.1325800.2020 ",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000123
,,BEB,,,"Анализ, оценка и уточнение полученных исходных данных для проектирования","Процесс оценки, анализа, пояснения, разъяснения и конкретизации полученных исходных данных для проектирования","ГОСТ Р ИСО 9001-2015
ГОСТ Р ИСО/МЭК ТО 16326-2002
СП 122.13330.2023
СП 333.1325800.2020 ",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000124
,,BEC,,,Утверждение полученных исходных данных для проектирования,Формальные одобрение и утверждение полученных исходных данных для проектирования,"ГОСТ Р 54147-2010
Постановление Правительства РФ от 16.02.2008 N 87
ГОСТ Р ИСО/МЭК ТО 16326-2002
СП 333.1325800.2020 ",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000125
,,BED,,,Корректировка полученных исходных данных для проектирования,"Действие, предпринимаемое для устранения несоответствия, выявленного по результатам анализа, оценки и уточнения исходных данных для проектирования","ГОСТ Р ИСО 9000-2015
ГОСТ Р 54869-2011
ГОСТ Р ИСО 21500-2023
СП 333.1325800.2020 ",,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000126
,BF,,,,Документирование результатов разработки проектных решений ОКС производственного и непроизводственного назначения,Оформление результатов разработки проектных решений ОКС производственного и непроизводственного назначения,"ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 9000-2015
ГОСТ Р ИСО 10005-2019",По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000127
,,BFA,,,"Формирование Раздела 1 проектной документации, содержащего общие сведения о проекте",Оформление результатов проектирования в соответствии с требованиями к содержанию Раздела 1 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000128
,,,BFAA,,"Формирование текстовой части Раздела 1 проектной документации, содержащего общие сведения о проекте",Оформление результатов проектирования в соответствии с требованиями к содержанию текстовой части Раздела 1 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Описание решения о разработке проектной документации
Описание задания на проектирование
Представление градостроительного плана
Описание технических условий
Описание исходно-разрешительных документов
Описание сведений о назначении объекта проектирования
Описание сведений о потребности объекта капитального строительства в топливе, газе, воде и электрической энергии
Описание данных о проектной мощности объекта капитального строительства, включая состав и характеристику производства, номенклатуру выпускаемой продукции (работ, услуг)
Описание сведений о потребностях производства в сырьевых ресурсах и источниках их поступления, потребности производства в воде, топливно-энергетических ресурсах
Описание сведений о комплексном использовании сырья, вторичных энергоресурсов, отходов производства
Описание сведений об использовании возобновляемых источников энергии и вторичных энергетических ресурсов
Описание сведений о земельных участках, изымаемых для государственных или муниципальных нужд, о земельных участках, в отношении которых устанавливается сервитут, публичный сервитут и (или) заключается договор аренды (субаренды)
Описание сведений о категории земель, на которых планируется разместить (размещен) объект капитального строительства
Описание сведений о размере средств, требующихся для возмещения убытков правообладателям земельных участков и (или) для внесения в качестве арендной платы, платы за сервитут, публичный сервитут и (или) для выкупа земельных участков
Описание сведений об использованных в проекте изобретениях и о результатах проведенных патентных исследований
Описание сведений о технико-экономических показателях проектируемых объектов капитального строительства, 
Описание сведений о наличии разработанных и согласованных специальных технических условий - в случае необходимости разработки специальных технических условий
Описание данных о численности работников на объекте капитального строительства и их профессионально-квалификационном составе, числе рабочих мест и другие данные, установленные заданием на проектирование и характеризующие объект капитального строительства
Описание сведений о компьютерных программах, которые использовались при выполнении расчетов конструктивных элементов зданий, строений и сооружений
Обоснование возможности осуществления строительства, реконструкции объекта капитального строительства по этапам строительства, реконструкции с выделением этих этапов (при необходимости)
Описание сведений о предполагаемых затратах, связанных со сносом зданий, строений и сооружений, переселением людей, переносом сетей инженерно-технического обеспечения (при необходимости)
Описание сведений об идентификационных признаках объекта капитального строительства, предусмотренные Федеральным законом ""Технический регламент о безопасности зданий и сооружений"" 
Описание переченя документов по стандартизации, используемых полностью или частично на добровольной основе для соблюдения требований технических регламентов 
Заверение проектной организации, осуществляющей подготовку проектной документации, о том, что проектная документация подготовлена в соответствии с требованиями, указанными в пункте 5 настоящего Положения о составе разделов проектной документации и требованиях к их содержанию, утвержденному постановлением Правительства Российской Федерации от 16.02.2008 г. №87, градостроительным планом земельного участка, заданием на проектирование, градостроительным регламентом, техническими регламентами, устанавливающими в том числе требования к обеспечению безопасной эксплуатации зданий, строений, сооружений и безопасному использованию прилегающих к ним территорий, а также с соблюдением технических условий
Описание сведенй о разделах и пунктах проектной документации, содержащих решения и мероприятия по обеспечению соблюдения требований энергетической эффективности и оснащенности зданий, строений, сооружений приборами учета используемых энергетических ресурсов
Описание сведений о разделах и пунктах проектной документации, содержащих решения и мероприятия по обеспечению соблюдения требований промышленной безопасности 
Описание сведений о назначении и функционально-технологических особенностях объекта капитального строительства в соответствии с заданием на проектирование и классификатором объектов капитального строительства по их назначению и функционально-технологическим особенностям, утвержденным федеральным органом исполнительной власти, осуществляющим функции по выработке и реализации государственной политики и нормативно-правовому регулированию в сфере строительства, архитектуры, градостроительства
Оисание сведений о наличии проекта рекультивации земель 
Оисание сведений о классе энергетической эффективности и о повышении энергетической эффективности
",Сформулировано на основании результата анализа источников,,KSI100000129
,,BFB,,,"Формирование Раздела 2 проектной документации ""Схема планировочной организации земельного участка""",Оформление результатов проектирования в соответствии с требованиями к содержанию Раздела 2 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000130
,,,BFBA,,"Формирование текстовой части Раздела 2 проектной документации ""Схема планировочной организации земельного участка""",Оформление результатов проектирования в соответствии с требованиями к содержанию текстовой части Раздела 2 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Описание характеристик земельного участка
Обоснование границ ОКС
Описание решений по благоустройству территории
Обоснование схем транспортных коммуникаций
Описание сведений о наличии зон с особыми условиями использования территорий в пределах границ земельного участка
Обоснование и описание планировочной организации земельного участка 
Описание технико-экономических показателей земельного участка, предоставленного для размещения объекта капитального строительства
Обоснование и описание решений по инженерной подготовке территории, в том числе решений по инженерной защите территории и объектов капитального строительства от последствий опасных геологических процессов, паводковых, поверхностных и грунтовых вод
Описание организации рельефа вертикальной планировкой
Обоснование зонирования территории земельного участка, предназначенного для размещения объекта капитального строительства, а также принципиальная схема размещения территориальных зон с указанием сведений о расстояниях до ближайших установленных территориальных зон и мест размещения существующих и проектируемых зданий, строений и сооружений (основного, вспомогательного, подсобного, складского и обслуживающего назначения) объектов капитального строительства - для объектов производственного назначения
Характеристика и технические показатели транспортных коммуникаций (при наличии таких коммуникаций) 
",Сформулировано на основании результата анализа источников,,KSI100000131
,,,BFBB,,"Формирование графической части Раздела 2 проектной документации ""Схема планировочной организации земельного участка""",Оформление результатов проектирования в соответствии с требованиями к содержанию графической части Раздела 2 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Представление схемы планировочной организации земельного участка
Представление сводного плана сетей инженерно-технического обеспечения
Представление ситуационного плана размещения ОКС в границах земельного участка
Представление схемы организации рельефа и план земляных масс",Сформулировано на основании результата анализа источников,,KSI100000132
,,BFC,,,"Формирование Раздела 3 проектной документации ""Объемно-планировочные и архитектурные решения""",Оформление результатов проектирования в соответствии с требованиями к содержанию Раздела 3 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000133
,,,BFCA,,"Формирование текстовой части Раздела 3 проектной документации ""Объемно-планировочные и архитектурные решения""",Оформление результатов проектирования в соответствии с требованиями к содержанию текстовой части Раздела 3 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Описание внешнего вида объекта капитального строительства, описание и обоснование пространственной, планировочной и функциональной организации объекта капитального строительства
Обоснование принятых объемно-пространственных и архитектурно-художественных решений
Обоснование принятых архитектурных решений в части обеспечения соответствия зданий, строений и сооружений установленным требованиям энергетической эффективности 
Перечень мероприятий по обеспечению соблюдения установленных требований энергетической эффективности к архитектурным решениям, влияющим на энергетическую эффективность зданий, строений и сооружений
Описание и обоснование принятых архитектурных решений, направленных на повышение энергетической эффективности объекта капитального строительства
Описание и обоснование использованных композиционных приемов при оформлении фасадов и интерьеров объекта капитального строительства
Описание и обоснование решений по отделке помещений основного, вспомогательного, обслуживающего и технического назначения
Описание архитектурных решений, обеспечивающих естественное освещение помещений с постоянным пребыванием людей
Результаты расчетов продолжительности инсоляции и коэффициента естественной освещенности
Описание архитектурно-строительных мероприятий, обеспечивающих защиту помещений от шума, вибрации и другого воздействия
Описание решений по светоограждению объекта, обеспечивающих безопасность полета воздушных судов
Описание и обоснование принятых объемно-планировочных решений объекта капитального строительства, обеспечивающих в том числе соблюдение санитарно-эпидемиологических требований
Сведения о номенклатуре, компоновке и площадях основных производственных, экспериментальных, сборочных, ремонтных и иных цехов, а также лабораторий, складских и административно-бытовых помещений, иных помещений вспомогательного и обслуживающего назначения - для объектов производственного назначения
Обоснование номенклатуры, компоновки и площадей помещений основного, вспомогательного, обслуживающего назначения и технического назначения - для объектов непроизводственного назначения
",Сформулировано на основании результата анализа источников,,KSI100000134
,,,BFCB,,"Формирование графической части Раздела 3 проектной документации ""Объемно-планировочные и архитектурные решения""",Оформление результатов проектирования в соответствии с требованиями к содержанию графической части Раздела 3 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"ОФасад ОКС
Поэтажный план зданий и сооружений с приведением экспликации помещений
Цветовое решение фасадов 
Чертежи характерных разрезов зданий, строений и сооружений с изображением несущих и ограждающих конструкций, указанием относительных высотных отметок уровней конструкций, полов, низа балок, ферм, покрытий, описанием конструкций кровель и других элементов конструкций, а также верхних отметок основного технологического оборудования - для объектов производственного назначения
Иные графические и экспозиционные материалы
",Сформулировано на основании результата анализа источников,,KSI100000135
,,BFD,,,"Формирование Раздела 4 проектной документации ""Конструктивные решения""",Оформление результатов проектирования в соответствии с требованиями к содержанию Раздела 4 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000136
,,,BFDA,,"Формирование текстовой части Раздела 4 проектной документации ""Конструктивные решения""",Оформление результатов проектирования в соответствии с требованиями к содержанию текстовой части Раздела 4 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Описание и обоснование конструктивных решений зданий и сооружений
Обоснование проектных решений и мероприятий
Сведения о топографических, инженерно-геологических, гидрогеологических, метеорологических и климатических условиях земельного участка, предоставленного для размещения объекта капитального строительства
Сведения об особых природных климатических условиях территории, на которой располагается земельный участок, предоставленный для размещения объекта капитального строительства
Сведения о прочностных и деформационных характеристиках грунта в основании объекта капитального строительства
Уровень грунтовых вод, их химический состав, агрессивность грунтовых вод и грунта по отношению к материалам, используемым при строительстве, реконструкции, капитальном ремонте подземной части объекта капитального строительства
Описание и обоснование технических решений, обеспечивающих необходимую прочность, устойчивость, пространственную неизменяемость зданий и сооружений объекта капитального строительства в целом, а также их отдельных конструктивных элементов, узлов, деталей в процессе изготовления, перевозки, строительства, реконструкции, капитального ремонта и эксплуатации объекта капитального строительства
Оописание конструктивных и технических решений подземной части объекта капитального строительства
Характеристика и обоснование конструкций полов, кровли, потолков, перегородок
Перечень мероприятий по защите строительных конструкций и фундаментов от разрушения
Описание инженерных решений и сооружений, обеспечивающих защиту территории объекта капитального строительства, отдельных зданий и сооружений объекта капитального строительства, а также персонала (жителей) от опасных природных и техногенных процессов
Перечень мероприятий по обеспечению соблюдения установленных требований энергетической эффективности к конструктивным решениям, влияющим на энергетическую эффективность зданий, строений и сооружений
Описание и обоснование принятых конструктивных, функционально-технологических и инженерно-технических решений, направленных на повышение энергетической эффективности объекта капитального строительства, в том числе в отношении наружных и внутренних систем электроснабжения, отопления, вентиляции, кондиционирования воздуха помещений, горячего водоснабжения, оборотного водоснабжения и повторного использования тепла подогретой воды
",Сформулировано на основании результата анализа источников,,KSI100000137
