Класс,Подкласс 1,Подкласс 2,"Тип
(%%)",Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,"Примеры компонентов по ISO
по ISO 81346-2:2019","Примеры компонентов (НТД РФ)
(НТД РФ)",IFC-entity,КСР,МССК,ПСК,Примечание,Синонимы
,EV_,,,"объект, излучающий акустические волны","объект, излучающий акустические волны",ISO 81346-2:2019,Вид метода,,,,,,,,
,,EVA,,сонар,"объект, излучающий акустические волны с использованием ультразвуковых частот",,,,,"IfcAudioVisualApplianceType
",,,,,
,,EVB,,противошумовой подавитель,"объект, излучающий акустические волны с использованием слышимых звуковых частот для подавления шума",,,,глушитель шума,"IfcAudioVisualApplianceType
",,,,,
F_,,,,защищающий объект,"объект для защиты от опасных или нежелательных воздействий, или условий",ISO 81346-2:2019,Вид источника,,,,,,,,
,FA_,,,"объект, защищающий от перенапряжения",объект для защиты от перенапряжения,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,
,,FAA,,разрядник искрового промежутка,объект для защиты от перенапряжения при помощи искрового разрядника,,,ограничитель,,IfcProtectiveDevice,,,,,
,,FAB,,варисторный разрядник перенапряжения,объект для защиты от перенапряжения при помощи варистора,,,ограничитель,,IfcProtectiveDevice,,,,,
,,FAC,,опорный диод,объект для защиты от перенапряжения при помощи опорного стабилитрона,,,ограничитель,,IfcProtectiveDevice,,,,,
,,FAD,,поглотитель перенапряжений,объект для защиты от перенапряжения при помощи поглощения напряжения,,,,,IfcProtectiveDevice,,,,,
,,FAE,,ограничитель перенапряжений ,"Аппарат, предназначенный для защиты изоляции электрооборудования от грозовых и коммутационных перенапряжений, представляющий собой последовательно и/или параллельно соединенные металлооксидные варисторы без каких-либо последовательных или параллельных искровых промежутков, заключенные в изоляционный корпус.","ГОСТ 34433-2018
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,,,62.1.05.02,,,,
,FB_,,,объект для защиты от токов замыкания на землю,объект для защиты от токов замыкания на землю,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,
,,FBA,,устройство дифференциальной защиты,"объект для защиты от токов замыкания на землю, осуществляющий контроль электрической сети и отключающийся при возникновении токов замыкания на землю",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"прерыватель тока утечки прибора, выключатель утечки на землю,
прерыватель в цепи утечки на землю
выключатель системы короткого замыкания на землю, устройство защитного отключения",,,,"ЭЛ 40 50 20 20
ЭЛ 40 50 20 70",,,
,,FBB,,ограничитель заземления нейтрали,"объект для защиты от токов замыкания на землю, ограничивающий величину тока замыкания на землю",,,"реактор с нейтральным заземлением,
нейтральное сопротивление заземления, катушка Петерсена",,,,,,,
,FC_,,,объект для защиты от перегрузки по току,объект для защиты от перегрузки по току,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,
,,FCA,,предохранитель,"объект для защиты от перегрузки по току, который размыкает цепь, в которую он вставлен, путем плавления, прерывая ток, когда он превышает заданное значение в течение достаточного времени
-
Устройство, которое путем разрушения одного или нескольких специально предназначенных элементов размыкает цепь, в которую оно включено, отключая ток, когда он превышает заданное значение в течение достаточного времени и содержит все детали, которые образуют комплектное устройство.
",ГОСТ IEC 60947-1-2017,,,предохранитель,"IfcProtectiveDevice, IfcProtectiveDeviceTrippingUnit",,,,,
,,FCB,,размыкатель цепи,"объект для защиты от перегрузки по току, способный создавать, выдерживать и отключать токи в нормальных условиях, а также
а также создавать, выдерживать в течение определенного времени и автоматически отключать токи в определенных ненормальных условиях цепи",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,аппарат защиты,IfcProtectiveDevice,,"ЭЛ 40 50 20 20
ЭЛ 40 50 20 40",,"Этот класс предназначен для автоматических выключателей, определенных в соответствии с серией IEC 60898.",
,,FCC,,биметаллическая пластина,"объект для защиты от перегрузки по току, который размыкает цепь, в которую он вставлен, прерывая ток, когда он превышает заданное значение в течение достаточного времени",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"биметаллический выключатель,
тепловая защита от перегрузки, тепловое реле перегрузки",,IfcProtectiveDevice,,ЭЛ 40 50 20 20,,,
,FE_,,,объект для защиты от полей,"объект для защиты, связанный с электрическими и/или магнитными полями",ISO 81346-2:2019,Вид применяемого метода,,,,,,,,
,,FEA,,электрический экран,"объект для защиты от электрических полей
-
Экран из проводящего материала, предназначенный уменьшать проникновение электрического поля в заданную область.",ГОСТ IEC 60050-151-2014,,клетка Фарадея,,IfcProtectiveDevice,,,,,
,,FEB,,магнитный экран,"объект для защиты от магнитных полей
-
Экран из ферромагнитного материала, предназначенный для ограничения проникновения магнитного поля в данное пространство.",ГОСТ Р МЭК 60050-195-2005,,"экранирование из сплава никеля (против статических или низкочастотных
магнитных полей)",,IfcProtectiveDevice,,,,,
,,FEC,,экран электромагнитный,"объект для защиты от электромагнитных полей
-
Экран из проводящего материала, предназначенный для ограничения проникновения электромагнитного поля в данное пространство.",ГОСТ Р МЭК 60050-195-2005,,"бетонная стена, клетка Фарадея, направляющий блок, листы металла",,IfcProtectiveDevice,,,,,
,FL_,,,объект для защиты от давления,объект для защиты от давления,ISO 81346-2:2019,Вид давления,,,,,,,,
,,FLA,,предохранительный сбросной клапан,"объект для защиты от давления путем выпускания пара или жидкости, когда давление превышает установленное предельное значение
-
Устройство, обеспечивающее сброс среды в атмосферу при достижении предельно-допустимого давления","СТО 70238424.27.010.001-2008
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,,"IfcFlowController, IfcValve",,ЭЛ 40 15 30 35,,,
,,FLB,,предохранительный клапан,"объект для защиты от давления путем открывания или закрывания воздушного потока, когда давление выше или ниже установленного предельного значения
-
Клапан, используемый для защиты от чрезмерного давления.","ГОСТ Р 55393-2012
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,клапан безопасности (контроллер) расхода газа,IfcValve,,ЭЛ 40 15 30 35,,,
,,FLC,,прерыватель вакуума,"объект для защиты от давления, предотвращающий образование вакуума",,,,,,,,,,
,,FLD,,мембранно-предохранительное устройство,"объект для защиты от давления, который необратимо разрывается в случае чрезмерного перепада давления
-
Предохранительная арматура, состоящая из мембранно-разрывного устройства и предохранительного клапана.",ГОСТ 9544-2015,,,,,,,,,
,,FLE,,расширительный бак,объект для защиты от давления путем расширения объема,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,расширительный бак,мембранный расширительный бак,IfcTank,,ЭЛ 40 50 10 35,,,
,FM_,,,противопожарный объект,объект для защиты от пожара,"ISO 81346-2:2019
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39","Вид метода
приложения и причина срабатывания",,,,,ЭЛ 40 30,,,
,,FMA,,огнезащитный клапан,"противопожарный объект, закрывающий воздушный поток при обнаружении пожара",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,IfcDamper,,ЭЛ 40 30 20 20,,,
,,FMB,,клапан дымовой,"противопожарный объект, открывающий или закрывающий воздушный поток при обнаружении дыма
-
Клапан противопожарный нормально закрытый, имеющий предельное состояние по огнестойкости, характеризуемое только потерей плотности, и подлежащий установке непосредственно в проемах дымовых вытяжных шахт в защищаемых коридорах.","ГОСТ Р 53301-2013
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,дымовой клапан,"IfcDamper, IfcActuator",,ЭЛ 40 15 30 50,,,
,,FMC,,противопожарный клапан,"противопожарный объект, закрывающий воздушный поток при обнаружении дыма и/или пожара
-
Автоматически и дистанционно управляемое устройство перекрытия вентиляционных каналов или проемов ограждающих строительных конструкций зданий, имеющее предельные состояния по огнестойкости, характеризуемые потерей плотности и теплоизолирующей способности:
- нормально открытый (закрываемый при пожаре);
- нормально закрытый (открываемый при пожаре);
- двойного действия (закрываемый при пожаре и открываемый после него).","ГОСТ Р 53301-2013
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,клапан противопожарный,IfcDamper,,ЭЛ 40 15 30 45,,,
,,FMD,,огнетушитель,"противопожарный объект ручного управления
-
Переносное или передвижное устройство для тушения очагов пожара за счет выпуска запасенного огнетушащего вещества ","ГОСТ 12.2.047-86
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,огнетушитель,,,ЭЛ 40 30 20 25,,,
,,FME,,противопожарная завеса,"противопожарный объект, закрывающий проход для предотвращения распространения дыма и/или огня",,,,завеса (водяная),,,,,,
,,FMF,,противодымный экран,"противопожарный объект, разделяющий территорию на зоны задымления
-
Устройство, образующее конструктивное препятствие распространению продуктов горения при пожаре в подпотолочном пространстве и через проемы ограждающих конструкций помещений.","ГОСТ Р 53305-2009
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,противодымный экран,,,ЭЛ 40 30 10,,,
,,FMG,,противопожарный затвор,"противопожарный объект, закрывающий отверстие для предотвращения распространения огня",,,,дымовой люк,,,,,,
,,FMH,,огнестойкая изоляция,"противопожарный объект, накрывающий поверхность",,,,конструктивная огнезащита,,,,,,
,,FMJ,,огнезащитное покрытие,"противопожарный объект, наносящийся на поверхность
-
Слой, полученный в результате нанесения (монтажа) средства огнезащиты на поверхность объекта огнезащиты.",ГОСТ Р 53295-2009,,противопожарное покрытие,"огнезащитное покрытие
тонкослойное огнезащитное покрытие (вспучивающееся покрытие, краска)",,,,,,
,,FMK,,огнезащитная пропитка,"противопожарный объект, нанесенный путем пропитки",,,,,,,,,,
,FN_,,,"объект, защищающий от механических воздействий",объект для защиты от механических усилий,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,
,,FNA,,предохранительная муфта,"объект для защиты от механических усилий, обеспечивающий разъединение, когда крутящий момент слишком высок",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,,,ЭЛ 40 15 20 30,,,
,,FNB,,защита от ударных воздействий,"объект для защиты от механических усилий, поглощающий ударные воздействия",,,,"демпфер
изолятор",,,,,,
,,FNC,,защита от вибрационных воздействий,"объект для защиты от механических усилий, поглощающий вибрационные воздействия",,,,"демпфер
изолятор",IfcVibrationIsolator,,,,,
,FQ_,,,объект превентивной защиты,защищающий объект при использовании барьера или препятствия,ISO 81346-2:2019,Вид назначения предупреждения,,,,,,,,
,,FQA,,защитная сетка (решетка),"объект защиты, предотвращающий прохождение других объектов",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,предохранительная сетка,ставни,,,ЭЛ 40 20 30 20,,,
,,FQB,,защита от соскальзывания,"объект защиты, предотвращающий другие объекты или вещества от соскальзывания и сноса",,,снегозащитное ограждение,,,,,,,
,,FQC,,защитная стойка,"объект защиты, предотвращающий падение",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"перила, защитная подвеска",перила моста,,,"ЭЛ 30 12 20
ЭЛ 30 16 80 25
ЭЛ 40 45 10 30",,,
,,FQD,,защитное ограждение,"объект защиты, предотвращающий выпадение или столкновение",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,защитная крыша,"защитная полоса
ограждение
ограждение дорожное
ограждение мостовое",,,ЭЛ 30 12,,,
,,FQE,,защитная ткань,"объект защиты, предотвращающий физическое проникновение",,,,,,,,,,
,,FQF,,противобликовая защита,"объект защиты, предотвращающий блики",,,,,,,,,,
,,FQG,,защита от брызг,"объект защиты, предотвращающий разбрызгивание",,,,,,,,,,
,,FQH,,защита от разрушения,"объект защиты, предотвращающий разрушение",,,,,,,,,,
,,FQJ,,запирающий механизм,"объект защиты, предотвращающий разблокировку при ручном открывании",,,,замок,IfcActuator,,,,,
,FR_,,,объект защиты от износа,объект для защиты от эрозии материала,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,
,,FRA,,смазочный материал,"объект для защиты от износа при использовании жидкого материала между объектами
-
Вещество, вводимое между движущимися соприкасающимися поверхностями для изменения условий трения и уменьшения износа.",ГОСТ Р ИСО 18436-4-2012,,смазочное масло,,,,,,,
,,FRB,,прокладка,"объект для защиты от износа при использовании твердого разделительного материала между объектами
-
Примечание - Прокладки используются для обеспечения фиксированной передачи нагрузки и снижения риска возникновения дефектов.","СТО НОСТРОЙ 2.7.55-2011
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,,,,ЭЛ 40 15 20 45,,,
,FS_,,,"объект, защищающий от воздействий окружающей среды",объект для защиты от воздействий окружающей среды,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,
,,FSA,,слой штукатурки,"объект для защиты от воздействий окружающей среды в виде отвердевшего слоя материала, покрывающего другой объект
-
Слой шукатурного раствора на цементном или известково-цементном вяжущем, наносимый в один или несколько приемов согласно инструкции производителя материала",СП 71.13330.2017,,"цемент, строительный раствор",слой штукатурки,IfrcCovering,,,,,
,,FSB,,лакокрасочное покрытие,"объект для защиты от воздействий окружающей среды в виде затвердевшей пленки жидкого состава на поверхности другого объекта
-
Сплошное покрытие, сформированное в результате нанесения одного или нескольких слоев лакокрасочного материала на окрашиваемую поверхность.",ГОСТ 9.072-2017,,,лакокрасочное покрытие,IfrcCovering,,,,,
,,FSC,,защитная пропитка,"объект для защиты от воздействий окружающей среды в виде нанесенной или наведенной жидкости, делающий объект устойчивым к распаду или разрушению, вызванными внешними факторами
-
Заполнение пор поверхностного слоя бетона строительной конструкции или изделия материалами, стойкими к воздействию агрессивной среды","Терминологический словарь по бетону и железобетону. ФГУП «НИЦ «Строительство» НИИЖБ им. А. А. Гвоздева, Москва, 2007 г. 110 стр.",,пропиточный лист,защитное покрытие,IfrcCovering,,,,,
,,FSD,,навес,"объект для защиты от окружающей среды, обеспечивающий укрытие от климатических воздействий",,,"противолавинная галерея, дом, навес, снегозащитное ограждение",,,,,,,
,,FSE,,устройство сейсмической защиты,объект для защиты от окружающей среды в виде контроля за вибрацией или сейсмическими воздействиями,,,,"демпфер
сейсмоизолятор",IfcVibrationIsolator,,,,,
,,FSF,,антикоррозионная защита,объект для защиты от воздействий окружающей среды в виде окисления металла,,,"катодная защита, анодное заземление",,IfrcCovering,,,,,
,,FSG,,уплотнитель,"объект для защиты от воздействий окружающей среды в виде уплотнения на поверхности другого объекта
-
Компонент, вставляемый в стыки для защиты от проникновения пыли, влаги и газов",ГОСТ Р ИСО 6707-1-2020,,,уплотнитель,,,,,,
,,FSH,,непроницаемая прослойка,"объект для защиты от воздействий окружающей среды в виде слоя, прерывающего капиллярное действие",,,,капилляропрерывающая прослойка,,,,,,
G_,,,,генерирующий объект,объект для обеспечения управляемого потока,ISO 81346-2:2019,Вед текущего объекта и вид источника,,,,,,,,
,GA,,,"объект, генерирующий электрическую энергию из механической","объект, генерирующий электрическую энергию при использовании механической энергии",ISO 81346-2:2019,Вид напряжения и форма тока,,,,,,,,
,,GAA,,генератор переменного тока,"объект, генерирующий электрическую энергию переменного тока при использовании механической энергии
-
Генератор для производства переменного тока и напряжения.",ГОСТ IEC 60050-411-2015,,генератор,дизель-генератор,IfcElectricGenerator,,,,,
,,GAB,,генератор постоянного тока,"объект, генерирующий электрическую энергию постоянного тока при использовании механической энергии
-
Электрическая машина, преобразующая механическую энергию приводного двигателя в электрическую энергию постоянного тока ",СТО 17330282.27.010.001-2008,,"динамо-машина, генератор",дизель-генератор,IfcElectricGenerator,,,,,
,GB,,,"объект, генерирующий электрическую энергию из химической","объект, генерирующий электрическую энергию при помощи химической реакции",ISO 81346-2:2019,Вид применяемого метода источника,,,,,,,,
,,GBA,,гальванический элемент,"объект, генерирующий электрическую энергию при помощи химической реакции с использованием невозобновляемого источника
-
Гальванический элемент, предназначенный для многократного разряда за счет восстановления емкости элемента путем заряда электрическим током.",СТО 17330282.27.010.001-2008,,батарея,,IfcElectricFlowStorageDevice,,,,,
,,GBB,,топливный элемент,"объект, генерирующий электрическую энергию при помощи химической реакции постоянно питаемый топливом и окислителем
-
Электрохимическое устройство, которое преобразует химическую энергию топлива и окислителя в электрическую энергию (энергию постоянного тока), тепло и другие продукты реакции.",ГОСТ Р МЭК 62282-3-100-2014,,,,,,,,,
,GC,,,"объект, генерирующий электрическую энергию из солнечной","объект, генерирующий электрическую энергию из солнечной",ISO 81346-2:2019,Вид применяемого метода,,,,,,,,
,,GCA,,кристаллический фотоэлектрический модуль,"объект, генерирующий электрическую энергию из солнечной c использованием полупроводникового материала на основе пластин
-
Устройство, конструктивно объединяющее электрически соединенные между собой фотоэлектрические солнечные элементы и имеющие выходные клеммы для подключения внешнего потребителя",ГОСТ Р 51594-2000,,солнечный элемент,,IfcSolarDevice,,,,,
,,GCB,,тонкопленочный фотоэлектрический модуль,"объект, генерирующий электрическую энергию из солнечной с использованием тонкопленочного материала",,,солнечный элемент,,IfcSolarDevice,,,,,
,,GCC,,батарея солнечная,"объект, генерирующий тепловой поток жидкости при помощи солнечной энергии
-
Устройство, преобразующее энергию солнечного света непосредственно в электричество",Научно-технический энциклопедический словарь.,,планшетная солнечная панель,,IfcSolarDevice,,,,,
,GF,,,"объект, генерирующий сигнал","объект, являющийся источником генерируемых сигналов",ISO 81346-2:2019,"Вид источника
метода распределения",,,,,,,,
,,GFA,,источник электромагнитных волн,"объект, генерирующий сигналы при помощи электромагнитных волн",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"лазерный передатчик, радиоволновой передатчик, телевизионная станция",,,,ЭЛ 40 55 20 10,,,
,,GFB,,генератор сигнала,"объект, генерирующий сигналы при помощи проводов
-
Аппарат или устройство для получения электрических сигналов с заданными и обычно регулируемыми характеристиками.",ГОСТ IEC 60050-151-2014,,,,,,,,,
,GL,,,объект для осуществления непрерываемого передвижения,"объект, создающий непрерывное движение предметов",ISO 81346-2:2019,Направление и размер вещества,,,,,,,,
,,GLA,,ленточный конвейер,"объект для непрерываемого перемещения при помощи ленты
-
Конвейер, грузонесущим и тяговым элементом которого является замкнутая лента","ГОСТ 18501-73 (СТ СЭВ 3512-81)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,конвейерная лента,пассажирский конвейер,IfcTransportElement,,"ЭЛ 40 10 20 10
ЭЛ 40 10 20 20",,,
,,GLB,,ленточно-цепной конвейер,"объект для непрерываемого перемещения при помощи цепи
-
Конвейер, грузонесущим элементом которого является лента, а тяговым - цепь ","ГОСТ 18501-73 (СТ СЭВ 3512-81)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,,IfcTransportElement,,ЭЛ 40 10 20 10,,,
,,GLC,,роликовый конвейер,"объект для непрерываемого перемещения при помощи роликов
-
Конвейер, на котором перемещение грузов происходит по вращающимся роликам, оси которых укреплены на раме конвейера ","ГОСТ 18501-73 (СТ СЭВ 3512-81)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,пассажирский конвейер,IfcTransportElement,,ЭЛ 40 10 20 10,,,
,,GLD,,винтовой конвейер,"объект для непрерываемого перемещения при помощи винта
-
Конвейер, у которого перемещение груза в трубе-желобе производится валом с винтовыми лопастями ","ГОСТ 18501-73 (СТ СЭВ 3512-81)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,винтовой конвейер,IfcTransportElement,,ЭЛ 40 10 20 10,,,
,,GLE,,эскалатор,"объект для непрерываемого перемещения, состоящий из череды ступеней
-
Наклонная непрерывно движущаяся лестница с механическим приводом для подъема или спуска пассажиров, у которой несущая поверхность ступеней остается горизонтальной.","ГОСТ 33966.1-2016 (EN 115-1:2008+A1:2010)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,эскалатор,IfcTransportElement,,ЭЛ 40 10 10 50,,,
,,GLF,,элеватор,"объект для непрерываемого перемещения, состоящий из череды контейнеров
-
Конвейер для транспортирования грузов в ковшах, жестко прикрепленных к тяговому элементу, в вертикальном или крутонаклонном направлении ","ГОСТ 18501-73 (СТ СЭВ 3512-81)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,,IfcTransportElement,,ЭЛ 40 10 10 60,,,
,,GLG,,вибрационный конвейер,"объект для непрерываемого перемещения на вибрирующей поверхности
-
Качающийся конвейер, в котором перемещение груза осуществляется микробросками с отрывом части груза от желоба","ГОСТ 18501-73 (СТ СЭВ 3512-81)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,,IfcTransportElement,,ЭЛ 40 10 20 10,,,
,GM,,,объект для осуществления прерываемого перемещения,"объект, создающий прерываемое движение предметов",ISO 81346-2:2019,Вид применяемого метода,,,,,,,,
,,GMA,,тележка,объект для прерываемого горизонтального перемещения предметов,,,,,IfcTransportElement,,,,,
,,GMB,,лифт,"объект для прерываемого вертикального перемещения предметов
-
Стационарное грузоподъемное оборудование, предназначенное для обслуживания определенных уровней и лестничных площадок, включающее кабину или клеть, движущуюся, по крайней мере, частично по жестким вертикальным направляющим или по направляющим, у которых угол наклона к вертикали не более 15°","ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,подъемник,"лифт
лифт для транспортирования пожарных подразделений",IfcTransportElement,,"ЭЛ 40 10 10 20
ЭЛ 40 10 10 30",,,
,,GMC,,подъемный кран,"объект для прерываемого перемещения предметов путем подъема или перемещения в вертикальной и/или горизонтальной плоскости
-
Механизм, имеющий конструктивный элемент в верхней части, позволяющий поднимать, опускать и перемещать по горизонтали подвешенные под ним грузы",ГОСТ Р ИСО 6707-1-2020,,,,IfcSpatialStructureElement,,,,,
,,GMD,,укладчик грузов на поддон,объект для прерываемого перемещения предметов путем размещения объектов вместе,,,укладчик,,,,,,,
,,GME,,поворотный стол,"объект для прерываемого перемещения предметов путем поворота перемещаемого потока
-
Устройство для установки детали, обеспечивающее ее повороты относительно осей прямолинейного перемещения КИМ.",ГОСТ Р ИСО 10360-1-2017,,,,,,,,,
,,GMF,,вибрационный питатель,объект для прерываемого перемещения предметов в линейном потоке при помощи вибрации,,,,,,,,,,
,GP,,,"объект, образующий поток жидкости","объект, генерирующий поток жидкости",ISO 81346-2:2019,Вид применяемого метода,,водопитатель,,,,,,
,,GPA,,поршневой насос,"объект, генерирующий поток жидкости путем нагнетания захваченной жидкости в сторону выходного отверстия
-
Возвратно-поступательный насос, у которого рабочие органы выполнены в виде поршней.","ГОСТ ISO 17769-1-2014
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"перистальтический насос, поршневой насос, шестеренный насос, винтовой
насос, вакуумный насос",насос,IfcPump,,ЭЛ 40 50 10 32,,,
,,GPB,,гидравлический насос,"объект, генерирующий поток жидкости путем увеличения скорости потока при помощи механического движения",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"циркулярный насос осевого потока, центробежный насос, крыльчатка, циркулярный насос радиального потока, вакуумный насос",,IfcPump,,ЭЛ 40 50 10 32,,,
,,GPC,,гидравлический таран,"объект, генерирующий поток жидкости путем передачи кинетической энергии входного потока выходному потоку",,,,,IfcPump,,,,,
,,GPD,,напорная емкость,"объект, генерирующий поток жидкости путем преобразования потенциальной энергии в кинетическую под действием силы тяжести",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,масленка,водонапорный бак,IfcTank,,"ЭЛ 40 15 35
ЭЛ 40 50 10 10
ЭЛ 40 50 10 24",,,
,GQ,,,"объект, образующий поток газа","объект, генерирующий газовый поток","ISO 81346-2:2019
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39","Вид потока
способа генерации",,,,,ЭЛ 40 15 42,,,
,,GQA,,газовый компрессор,"объект, генерирующий поток газа путем нагнетания захваченного газа в сторону выходного отверстия",,,,"генератор огнетушащего аэрозоля
дымосос
компрессор",IfcCompressor,,,,,
,,GQB,,вентилятор,"объект, генерирующий поток газа путем увеличения скорости потока при помощи механического движения
-
Вращающаяся лопаточная машина, передающая механическую энергию газу в одном или нескольких рабочих колесах и обеспечивающая таким образом непрерывное течение газа при его относительной максимальной степени сжатия не более 1,3","ГОСТ 34002-2016
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"воздушная завеса, закрытый осевой вентилятор, открытый осевой вентилятор,
воздушный винт, вентилятор с короткозамкнутым ротором, вентилятор","канальный вентилятор
струйный вентилятор
вентилятор для создания циркуляции
агрегат воздушной завесы
вихревой вентилятор
теплостойкий вентилятор
вентилятор дымоудаления
вентилятор для влажных газов
герметичный вентилятор
пылевой вентилятор
вентилятор для пневмотранспорта
самоочищающийся  вентилятор
взрывозащищенный вентилятор
крышный вентилятор
приточный вентилятор избыточного давления",IfcFan,,"ЭЛ 40 20 50 20
ЭЛ 40 20 50 30
ЭЛ 40 50 10 14",,,
,,GQC,,газовый эжектор,"объект, генерирующий поток газа путем передачи кинетической энергии входного потока выходному потоку",,,,,,,,,,
,,GRC,,солнечный коллектор,"объект, генерирующий тепловой поток жидкости при помощи солнечной энергии
-
Устройство для поглощения энергии солнечного излучения и преобразования ее в тепловую энергию",ГОСТ Р 54856-2011,,,,IfcSolarDevice,,,,,
H_,,,,объект для обработки материалов,объект для обработки материалов,ISO 81346-2:2019,Вид применяемого метода,,,,,,,,
,HJ,,,объект первичного формования,объект обработки вещества при помощи первичного формования,ISO 81346-2:2019,Вид исходного состояния материала,,,,,,,,
,,HJA,,приспособление для литья,объект первичного формования из жидкого исходного состояния материала,,,3D-принтер,,,,,,,
,,HJB,,пресс-форма,"объект первичного формования из твердого исходного состояния материала
-
Сложное устройство для получения изделий различной конфигурации из пластмасс, резин и других материалов.",ГОСТ 34078-2017,,"3D-принтер, пресс для ДСП, пресс для спекания",,,,,,,
