code,level_1,level_2,level_3,level_4,IFC,param_1
ПР 40 41 27,,,Высота подоконника,,SillHeight,ЦМ (окна)
ПР 40 41 28,,,Светопропускание,,LightTransmission,ЦМ (окна)
ПР 40 41 29,,,Назначение,,Destination,ЦМ (окна)
ПР 40 41 30,,,Тип проветривания,,VentType,ЦМ (окна)
ПР 40 41 31,,,Высота проема в стене,,OverallHeight,ЦМ (окна)
ПР 40 41 32,,,Ширина проема в стене,,OverallWidth,ЦМ (окна)
ПР 40 45,,"Параметры лестниц, пандусов и рамп",,,,
ПР 40 45 10,,,Высота проезда,,RequiredHeadroom,"ЦМ (лестницы, пандусы, рампы)"
ПР 40 45 12,,,Уклон,,RequiredSlope,"ЦМ (лестницы, пандусы, рампы)"
ПР 40 45 14,,,Форма пандуса или рампы,,PredefinedType,"ЦМ (лестницы, пандусы, рампы)"
ПР 40 45 15,,,Форма марша,,PredefinedType,"ЦМ (лестницы, пандусы, рампы)"
ПР 40 47,,Параметры ограждений,,,,
ПР 40 47 10,,,Высота ограждения,,Height,ЦМ (ограждения)
ПР 40 47 12,,,Характерный размер,,Diameter,ЦМ (ограждения)
ПР 40 60,,Параметры воздуховодов,,,,
ПР 40 60 10,,,Форма воздуховода,,Shape,ЦМ ИОС (элементы воздуховодов)
ПР 40 60 12,,,Рабочее давление,,WorkingPressure,ЦМ ИОС (элементы воздуховодов)
ПР 40 60 13,,,Диаметр или ширина,,NominalDiameterOrWidth,ЦМ ИОС (элементы воздуховодов)
ПР 40 60 14,,,Высота,,NominalHeight,ЦМ ИОС (элементы воздуховодов)
ПР 40 60 15,,,Коэффициент шероховатости,,InteriorRoughnessCoefficient,ЦМ ИОС (элементы воздуховодов)
ПР 40 60 16,,,Заводская изоляция,,HasLiner,ЦМ ИОС (элементы воздуховодов)
ПР 40 60 17,,,Код материала воздуховода,,MaterialCode,ЦМ ИОС (элементы воздуховодов)
ПР 40 60 18,,,Наименование материала воздуховода,,Material,ЦМ ИОС (элементы воздуховодов)
ПР 40 60 19,,,Толщина материала,,Thickness,ЦМ ИОС (элементы воздуховодов)
ПР 40 60 20,,,Группа горючести материала,,FlammableGroup,ЦМ ИОС (элементы воздуховодов)
ПР 40 60 21,,,Наличие изоляции,,HasInsulation,ЦМ ИОС (элементы воздуховодов)
ПР 40 60 22,,,Тип изоляции,,InsulationType,ЦМ ИОС (элементы воздуховодов)
ПР 40 61,,Параметры воздухораспределительных устройств,,,,
ПР 40 61 10,,,Форма устройства,,Shape,ЦМ ИОС (воздухораспределители)
ПР 40 61 12,,,Тип решетки,,FaceType,ЦМ ИОС (воздухораспределители)
ПР 40 61 14,,,Наличие теплоизоляции,,HasThermalInsulation,ЦМ ИОС (воздухораспределители)
ПР 40 70,,Параметры трубопроводов,,,,
ПР 40 70 10,,,Рабочее давление,,WorkingPressure,ЦМ ИОС (трубопроводы)
ПР 40 70 12,,,Номинальный диаметр,,NominalDiameter,ЦМ ИОС (трубопроводы)
ПР 40 70 13,,,Наружный диаметр,,OuterDiameter,ЦМ ИОС (трубопроводы)
ПР 40 70 14,,,Внутренний диаметр,,InnerDiameter,ЦМ ИОС (трубопроводы)
ПР 40 70 15,,,Код материала трубопровода,,MaterialCode,ЦМ ИОС (трубопроводы)
ПР 40 70 16,,,Наименование материала трубопровода,,Material,ЦМ ИОС (трубопроводы)
ПР 40 70 17,,,Толщина материала,,Thickness,ЦМ ИОС (трубопроводы)
ПР 40 70 18,,,Группа горючести материала,,FlammableGroup,ЦМ ИОС (трубопроводы)
ПР 40 70 19,,,Изоляция,,Insulation,ЦМ ИОС (трубопроводы)
ПР 40 70 20,,,Тип изоляции,,InsulationType,ЦМ ИОС (трубопроводы)
ПР 40 75,,Параметры отопительных приборов,,,,
ПР 40 75 10,,,Тип расположения,,PlacementType,ЦМ ИОС (отопительные приборы)
ПР 40 75 12,,,Общий вес,,BodyMass,ЦМ ИОС (отопительные приборы)
ПР 40 75 13,,,Удельная теплоемкость,,ThermalMassHeatCapacity,ЦМ ИОС (отопительные приборы)
ПР 40 75 14,,,Номинальная теплоотдача,,OutputCapacity,ЦМ ИОС (отопительные приборы)
ПР 40 75 15,,,Тип приборов,,DeviceType,ЦМ ИОС (отопительные приборы)
ПР 40 75 16,,,Код материала прибора,,MaterialCode,ЦМ ИОС (отопительные приборы)
ПР 40 75 17,,,Наименование материала прибора,,Material,ЦМ ИОС (отопительные приборы)
ПР 40 75 18,,,Группа горючести материала,,FlammableGroup,ЦМ ИОС (отопительные приборы)
ПР 40 80,,Параметры распределительных устройств,,,,
ПР 40 80 10,,,Мощность в нормальном режиме,,RatedVoltage,ЦМ ИОС (РУ)
ПР 40 80 12,,,Мощность в режиме тушения пожара,,FireRatedVoltage,ЦМ ИОС (РУ)
ПР 40 80 13,,,Класс защиты,,IP_Code,ЦМ ИОС (РУ)
ПР 40 80 14,,,Степень защиты от удара,,IK_Code,ЦМ ИОС (РУ)
ПР 40 80 15,,,Основной,,IsMain,ЦМ ИОС (РУ)
ПР 40 80 16,,,Уровень квалификации,,IsSkilledOperator,ЦМ ИОС (РУ)
ПР 40 80 17,,,Тип устройства,,PredefinedType,ЦМ ИОС (РУ)
ПР 40 85,,Параметры светильников,,,,
ПР 40 85 10,,,Потребляемая мощность,,TotalWattage,ЦМ ИОС (светильники)
ПР 40 85 12,,,Расположение,,LightFixturePlacingType,ЦМ ИОС (светильники)
ПР 40 85 13,,,Мощность в нормальном режиме,,RatedVoltage,ЦМ ИОС (светильники)
ПР 40 85 14,,,Мощность в режиме тушения пожара,,FireRatedVoltage,ЦМ ИОС (светильники)
ПР 40 85 15,,,Продолжительность автономной работы,,BatteryLife,ЦМ ИОС (светильники)
ПР 40 85 16,,,Признак заземления,,HasProtectiveEarth,ЦМ ИОС (светильники)
ПР 40 85 17,,,Класс защиты,,IP_Code,ЦМ ИОС (светильники)
ПР 40 85 18,,,Степень защиты от удара,,IK_Code,ЦМ ИОС (светильники)
ПР 40 90,,Параметры кабеленесущих конструкций,,,,
ПР 40 90 10,,,Погонный вес,,WeightPerMeter,ЦМ ИОС (кабеленесущие конструкции)
ПР 40 90 12,,,Материал перегородки,,PartitionMaterial,ЦМ ИОС (кабеленесущие конструкции)
ПР 40 90 14,,,Коррозийная защита,,CorrosionProtection,ЦМ ИОС (кабеленесущие конструкции)
ПР 50,Параметры материалов,,,,,
ПР 50 10,,Общие,,,,
ПР 50 10 10,,,Код слоя материала,,Material,ЦМ (строительный элемент)
ПР 50 10 12,,,Наименование слоя материала,,Name,ЦМ (строительный элемент)
ПР 50 10 14,,,Описание,,Description,ЦМ (строительный элемент)
ПР 50 10 15,,,Толщина слоя,,LayerThickness,ЦМ (строительный элемент)
ПР 50 10 16,,,Вентилируемая воздушная прослойка,,isVentilated,ЦМ (строительный элемент)
ПР 50 10 17,,,Назначение материала,,Category,ЦМ (строительный элемент)
ПР 50 10 18,,,Признак горючести,,Combustible,"ЦМ (навесные фасады, полы, отделка)"
ПР 50 15,,Пожарная безопасность,,,,
ПР 50 15 10,,,Материалы ограждающих конструкций,,,
ПР 50 15 10 10,,,,Группа горючести,,ИМ раздел ИОС
ПР 50 15 10 12,,,,Воспламеняемость,,ИМ раздел ИОС
ПР 50 15 10 13,,,,Дымообразование,,ИМ раздел ИОС
ПР 50 15 10 14,,,,Токсичность,,ИМ раздел ИОС
ПР 50 15 10 15,,,,Распространение пламени,,ИМ раздел ИОС
ПР 50 20,,Параметры стали,,,,
ПР 50 20 10,,,Марка стали,,SteelGrade,ЦМ (стальные конструктивные элементы)
ПР 50 25,,Параметры бетона,,,,
ПР 50 25 10,,,Марка В,,ConcreteGrade,"ЦМ (конструктивные элементы из бетона, железобетона)"
ПР 50 25 12,,,Водонепроницаемость W,,WaterResist,"ЦМ (конструктивные элементы из бетона, железобетона)"
ПР 50 25 13,,,Морозостойкость F,,FreezeDurability,"ЦМ (конструктивные элементы из бетона, железобетона)"
ПР 50 25 14,,,Плотность бетона,,ConcreteDensity,"ЦМ (конструктивные элементы из бетона, железобетона)"
ПР 50 25 15,,,Обозначение,,ConcreteGost,"ЦМ (конструктивные элементы из бетона, железобетона)"
ПР 50 25 16,,,Вяжущее бетона,,,ИМ раздел ИОС
ПР 50 25 17,,,Заполнитель,,,ИМ раздел ИОС
ПР 50 25 18,,,Класс плотности,,,ИМ раздел ИОС
ПР 50 30,,Акустика,,,,
ПР 50 30 10,,,Звукоизоляция,,,
ПР 50 30 10 10,,,,Индекс изоляции воздушного шума,AcousticRating_Rw,"ЦМ (ограждающие конструкции (перекрытия, стены, перегородки, окна и двери))"
ПР 50 30 10 20,,,,Индекс приведенного уровня ударного шума,Lnw,ЦМ (перекрытия)
ПР 50 30 10 30,,,,Изоляция внешнего шума от потока транспорта,AcousticRating_RAтран,ЦМ (окна и остекления)
ПР 60,"Параметры помещений, пространств и зон",,,,,
ПР 60 10,,Общие,,,,
ПР 60 10 10,,,Секция,,Section,"ЦМ (помещение, зона, строительный элемент)"
ПР 60 10 12,,,Код назначения,,UsingCode,"ЦМ (помещение, зона, строительный элемент)"
ПР 60 10 14,,,Назначение,,Using,"Помещение, зона, пространство шахты лифта"
ПР 60 15,,Параметры помещений и пространств,,,,
ПР 60 15 10,,,Идентификация,,,
ПР 60 15 10 10,,,,Имя помещения,Name,ЦМ (помещение)
ПР 60 15 10 12,,,,Код помещения,SpaceCode,ЦМ (помещение)
ПР 60 15 10 14,,,,Описание помещения,LongName,ЦМ (помещение)
ПР 60 15 10 15,,,,Номер помещения,SpaceNumber,ЦМ (помещение)
ПР 60 15 10 16,,,,Номер квартиры,FlatNumber,ЦМ (помещения квартиры)
ПР 60 15 10 17,,,,Тип квартиры,FlatType,ЦМ (помещения квартиры)
ПР 60 15 10 18,,,,Количество комнат квартиры,NumRoom,ЦМ (помещения квартиры)
ПР 60 15 10 19,,,,Тип помещения,SpaceType,ЦМ (помещение)
ПР 60 15 10 20,,,,Многосветное помещение,Atrium,ЦМ (помещение)
ПР 60 15 10 21,,,,Мокрое,Wet,ЦМ (помещение)
ПР 60 15 10 22,,,,Полезная площадь,S_useful,ЦМ (помещение)
ПР 60 15 10 23,,,,Расчетная площадь,S_calc,ЦМ (помещение)
ПР 60 15 10 24,,,,Категория по взрывоопасной и пожарной опасности,FireRiskFactor,ЦМ (помещение производственного и складского назначения)
ПР 60 15 10 25,,,,Номер пожарного отсека,Fire_zone,ЦМ (помещение)
ПР 60 15 15,,,Параметры отделки помещений,,,
ПР 60 15 15 10,,,,Покрытие пола,FloorCovering,ЦМ (помещение)
ПР 60 15 15 12,,,,Толщина покрытия пола,FloorCoveringThickness,ЦМ (помещение)
ПР 60 15 15 14,,,,Отделка стен,WallCovering,ЦМ (помещение)
ПР 60 15 15 15,,,,Толщина отделки стен,WallCoveringThickness,ЦМ (помещение)
ПР 60 15 15 16,,,,Отделка потолка,CeilingCovering,ЦМ (помещение)
ПР 60 15 15 17,,,,Толщина отделки потолка,CeilingCoveringThickness,ЦМ (помещение)
ПР 60 15 20,,,Параметры помещений для расчета систем,,,
ПР 60 15 20 10,,,,Расчетное количество людей с постоянным пребыванием,Сapacity_const,ЦМ (для общественных помещений)
ПР 60 15 20 12,,,,Расчетное количество людей с временным пребыванием,Сapacity_temp,ЦМ (для общественных помещений)
ПР 60 15 20 14,,,,Расчетное количество мест для инвалидов,Сapacity_MGN,ЦМ (для актовых залов в учебно-воспитательных учреждениях)
ПР 60 15 20 15,,,,Зона безопасности МГН,Safety_MGN,ЦМ (помещение)
ПР 60 15 20 16,,,,Дымоудаление,SmokeNuisance,ЦМ (помещение)
ПР 60 15 20 17,,,,Подпор воздуха,AirPressurization,ЦМ (помещение)
ПР 60 15 20 18,,,,Температура воздуха,,ИМ раздел ИОС
ПР 60 15 20 19,,,,Тип отопительного прибора по способу отдачи теплоты,,ИМ раздел ИОС
ПР 60 15 20 20,,,,"Тип отопительного прибора по материалу, из которого изготовлен отопительный прибор",,ИМ раздел ИОС
ПР 60 15 20 21,,,,Расход приточного воздуха,,ИМ раздел ИОС
ПР 60 15 20 22,,,,Расход вытяжного воздуха,,ИМ раздел ИОС
ПР 60 15 20 23,,,,Обозначение приточной вентиляции,,ИМ раздел ИОС
ПР 60 15 20 24,,,,Обозначение вытяжной вентиляции,,ИМ раздел ИОС
ПР 60 15 20 25,,,,Обозначение системы кондиционирования,,ИМ раздел ИОС
ПР 60 15 30,,,Параметры медицинских помещений,,,
ПР 60 15 30 10,,,,Площадь на одну койку,,ИМ
ПР 60 15 30 20,,,,Чистое,Clear,ЦМ (помещение)
ПР 60 20,,Параметры зон,,,,
ПР 60 20 10,,,Идентификация,,,
ПР 60 20 10 10,,,,Код зоны,ZoneCode,ЦМ (зона)
ПР 60 20 10 12,,,,Имя зоны,Name,ЦМ (зона)
ПР 60 20 10 14,,,,Описание зоны,LongName,ЦМ (зона)
ПР 60 20 10 15,,,,Номер зоны,ZoneN,ЦМ (зона)
ПР 60 20 20,,,Функциональные параметры,,,
ПР 60 20 20 10,,,,Тип зоны,МСК_Тип зоны,ЦМ (зона)
ПР 60 20 20 12,,,,Назначение зоны,Using,ЦМ (зона)
ПР 60 20 30,,,Пожарная безопасность,,,
ПР 60 20 30 10,,,,Степень огнестойкости пожарного отсека,FireResistance,ЦМ (пожарный отсек)
