Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примеры,Примечания,Синонимы
,,,BAH080,Физиотерапевтический кабинет,,"СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 25 01
ПЗ 33 25 02
ПЗ 33 25 03
ПЗ 33 25 04
ПЗ 33 25 05
ПЗ 33 25 06
ПЗ 33 25 07
ПЗ 33 25 08
ПЗ 33 25 09
ПЗ 33 25 10
ПЗ 33 25 11
ПЗ 33 25 12
ПЗ 33 25 13
ПЗ 33 25 14
ПЗ 33 25 15
ПЗ 33 25 16
ПЗ 33 25 19
ПЗ 33 25 20
ПЗ 33 25 29
ПЗ 33 25 39
ПЗ 33 25 40
ПЗ 33 25 41
ПЗ 33 25 42
ПЗ 33 25 43

",,"Кабинет электросветолечения
Кабинет электросонтерапии
Кабинет теплолечения
Кабинет индивидуальных ингаляций
Кабинет лазеротерапии
Кабинет гидротерапии
Кабинет УВЧ
Кабинет СВЧ
Кабинет УФ облучения
Кабинет магнитотерапии
Кабинет кислородной терапии
Кабинет иглорефлексотерапии
Кабинет для занятий малых групп (до 5 чел)
Кабинет для занятий групп (более 5 чел)
Кабинет индивидуальной условно-рефлекторной терапии
Кабинет групповой условно-рефлекторной терапии
Процедурная галотерапии
Процедурная спелеотерапии
Кабинет мануальной терапии
Лекотека
Кабинет магнитотурботрона
Кабинет экстракорпоральной ударно-волновой терапии
Кабинет гипнотария
Кабинет фотария",,
,,,BAH090,Массажный кабинет,,"СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 25 28
НД 07 10 10",,Кабинет массажа,,Массажный салон
,,,BAH100,Барозал,Зал или помещение с барокамерой,"СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 32 14
ПЗ 33 32 15
ПЗ 33 32 16",,"Гипобарическая камера
 Гипербарическая камера
Барозал на 1 однокамерную барокамеру
Барозал на 2 одноместные барокамеры
Барозал на 1 многоместную барокамеру",,
,,,BAH110,Процедурный кабинет,,"СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 32 12 05
ПЗ 33 27 35
ПЗ 33 27 34
ПЗ 33 27 48",,"Процедурная для прививок
Клизменная",,
B,BA,,BAH111,Перевязочная,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 27 33
ПЗ 33 27 49",,Перевязочная с ванной и подъемником для ожоговых больных,,
,,,BAH120,Фотарий,,"СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 25 43,,Кабинет фотария,,
B,BA,,BAH129,Кабинет механотерапии,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 25 26,,Кабинет механотерапии,,
B,BA,,BAH130,Кабинет трудотерапии,,"СП 149.13330.2012
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 25 27
ПЗ 33 25 51",,"Кабинет трудотерапии
Помещения для бытовой реабилитации",,
,,,BAH131,Палата нейрохирургическая,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 27 29,,Нейрохирургическая палата,,
,,,BAH132,Палата ортопедотравматологическая,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 27 31,,Ортопедотравматическая палата,,
,,,BAH133,Палата радиологическая,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 27 36,,Радиологическая,,
,,,BAH134,Палата ожоговая,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 27 30,,Ожоговая палата,,
,,,BAH135,Палата восстановительного лечения,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 27 06,,Палата восстановительного лечения,,
,,,BAH136,Палата медико-социальная (в хосписах) ,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 27 27,,Медико-социальная палата,,
,,,BAH137,Палата изоляционно-диагностическая,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 32 11,,Изолятор временного пребывания обследуемых на алкогольное опьянение,,
,,,BAH138,"Палата для пациентов, передвигающихся с помощью кресел-колясок",,СП 2.1.3678-20,,,,,,
,,,BAH139,Палата индивидуальная родовая с кроватью-трансформером,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 13 06
ПЗ 33 26 01",,Индивидуальная родовая палата с кроватью-трансформером,,
,,,BAH140,Палата индивидуальная родовая,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 13 03
ПЗ 33 26 01",,Индивидуальная родовая палата,,Индивидуальная родовая
,,,BAH141,Палата для взрослых и детей старше 7 лет,,СП 2.1.3678-20,,,,,,
,,,BAH142,Палата для детей до 7 лет,,СП 2.1.3678-20,,,,,,
,,,BAH143,Палата с дневным пребыванием матери,,СП 2.1.3678-20,,,,,,
,,,BAH144,Палата с круглосуточным пребыванием матери,,СП 2.1.3678-20,,,,,,
,,,BAH145,Палата для детей до 1 года с круглосуточным пребыванием матери,,СП 2.1.3678-20,,,,,,
,,,BAH146,Палата для детей до 1 года с дневным пребыванием матери,,СП 2.1.3678-20,,,,,,
,,,BAH147,Палата психиатрическая общего типа,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 22 01,,Психиатрическая палата,,
,,,BAH148,Палата наркологическая,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 23 01,,Наркологическая палата,,
,,,BAH149,Операционный блок,"Комплекс помещений, предназначенных для проведения хирургических операций.","СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 17
НД 07 30 12
",,Помещения операционные,,"Операционный блок
Операционное отделение"
,,,BAH150,Гибридная операционная,"Комплекс помещений с технологическими характеристиками и оборудованием, интегрирующий лечебные и диагностические функции и обеспечивающий проведение хирургических операций под контролем одной или нескольких систем визуализации (ЯМРТ, КТ, ангиограф).","СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 17 01,,Гибридная операционная,,
,,,BAH151,Рентгеноперационная,"Помещение медицинского назначения, в котором проводят операции под контролем рентгеновской аппаратуры","СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 17 15,,Рентгеноперационная,,
,,,BAH152,Малая операционная на территории стоматологического отделения,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 17 05,,Малая операционная,,
,,,BAH153,Операционная общепрофильная (в том числе эндоскопическая),,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 17 06,,Операционная общепрофильная,,
,,,BAH154,Операционная для проведения ортопедотравматологических и нейрохирургических операций,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 17 07
ПЗ 33 17 08",,,,
,,,BAH160,Кабинет дистанционной лучевой радиотерапии,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,ПЗ 33 33 09,,Кабинет дистанционной лучевой радиотерапии,,
,,,BAH161,Кабинет контактной радиотерапии,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,ПЗ 33 33 10,,Кабинет контактной радиотерапии,,
,,,BAH162,Отделение переливания крови,,,,"ПЗ 33 33 10
НД 07 30 15",,,,Отделение переливания крови
,,,BAH163,Отделение анестезиологии и реанимации,,,,НД 07 30 17,,,,Отделение анестезиологии и реанимации
,,,BAH164,Отделение психиатрии,,,,НД 07 30 19,,,,Отделение психиатрии
,,,BAH165,Отделение наркологии,,,,НД 07 30 20,,,,Отделение наркологии
,,,BAH166,Отделение стоматологии,,,,НД 07 30 21,,,,Отделение стоматологии
,,,BAH167,Отделение физиотерапии,,,,НД 07 30 22,,,,Отделение физиотерапии
,,,BAH168,Отделение патологии новорожденных и недоношенных детей,,,,НД 07 30 25,,,,Отделение патологии новорожденных и недоношенных детей
,,,BAH169,Отделение патологии беременности,,,,НД 07 30 26,,,,Отделение патологии беременности
,,,BAH170,Послеродовое отделение,,,,НД 07 30 27,,,,Послеродовое отделение
,,,BAH171,Отделение ортопедии,,,,НД 07 30 28,,,,Отделение ортопедии
,,,BAH172,Отделение хирургии,,,,НД 07 30 32,,,,Отделение хирургии
,,,BAH173,Отделение нейрохирургии,,,,НД 07 30 33,,,,Отделение нейрохирургии
,,,BAH174,Отделение челюстно-лицевой хирургии,,,,НД 07 30 34,,,,Отделение челюстно-лицевой хирургии
,,,BAH175,Отделение рентгенэндоваскулярных методов,,,,НД 07 30 40,,,,Отделение рентгенэндоваскулярных методов
,,,BAH176,Отделение травматологии,,,,НД 07 30 44,,,,Отделение травматологии
,,,BAH177,Отделение детской травматологии,,,,НД 07 30 45,,,,Отделение детской травматологии
,,,BAH178,Отделение сосудистой хирургии,,,,НД 07 30 46,,,,Отделение сосудистой хирургии
,,,BAH179,Отделение онкологии,,,,НД 07 30 48,,,,Отделение онкологии
,,,BAH180,Отделение пульмонологии,,,,НД 07 30 49,,,,Отделение пульмонологии
,,BAJ,,Пространство для обследования и диагностики,Пространство для проведения обследований и диагностики заболеваний,IEC 81346-2:2019,,НД 07 30 07,,,Определение синтезировано,Отделение поликлинического приема
,,,BAJ001,Помещение для карантина плазмы,,СП 2.1.3678-20,,,,,,
,,,BAJ002,Помещение для хранения неапробированных компонентов крови,,СП 2.1.3678-20,,,,,,
,,,BAJ003,Помещение для хранения кровезаменителей,,СП 2.1.3678-20,,,,,,
,,,BAJ004,Помещение для временного хранения и выдачи крови и ее заменителей,,СП 2.1.3678-20,,,,,,
,,,BAJ010,Приемное отделение,"Помещение, предназначенное для приема больных ","СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 27 02
НД 07 30 54",,Приемное отделение,Определение синтезировано,Приемное отделение
,,,BAJ020,Помещение медпункта,"Помещение, в котором располагается пункт первой медицинской помощи (обычно при учреждениях или в общественных местах)","СП 158.13330.2014
ОСН 3.02.01-97
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 32 12 04,32,Медицинский кабинет,Определение синтезировано,
,,,BAJ030,Пост медицинского осмотра,"Зона, рядом с обслуживаемыми палатами, в котором располагается рабочее место постовой медицинской сестры","СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 32 12 06
ПЗ 33 27 38
ПЗ 33 32 10",,"Помещение медсестры
Смотровая палата
Кабинет медицинского (наркологического) освидетельствования",Определение синтезировано,
,,,BAJ031,Кабинет магнитно-резонансной томографии,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 33 01
ПЗ 33 33 02",,"Кабинет компьютерной томографии
Кабинет магнитно-резонансной томографии",,
,,,BAJ040,Диагностический кабинет,Помещение для проведения медицинской диагностики,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,"ПЗ 33 25 36
ПЗ 33 25 37
ПЗ 33 25 38
ПЗ 33 27 01
ПЗ 33 27 11
ПЗ 33 27 24
ПЗ 33 27 25
ПЗ 33 27 45
ПЗ 33 27 46
ПЗ 33 32 07
ПЗ 33 32 09",,"Кабинеты лучевой диагностики и терапии
Помещения для магнитно-резонансной томографии
Помещения для проведения ЭКГ, ЭЭГ, ЭГГ
Помещения для проведения эндоскопии
Кабинет компьютерной томографии
Кабина люминесцентной диагностики
Кабинет диабетической ретинопатии",Определение синтезировано,
,,,BAJ050,Кабинет врача с оборудованным рабочим местом,"Помещение, в котором осуществляет прием врач-специалист","СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 32 12 08
ПЗ 33 24 01
ПЗ 33 24 02
ПЗ 33 24 03
ПЗ 33 24 04
ПЗ 33 27 07
ПЗ 33 27 08
ПЗ 33 27 09
ПЗ 33 27 12
ПЗ 33 27 13
ПЗ 33 27 14
ПЗ 33 27 16
ПЗ 33 27 17
ПЗ 33 27 19
ПЗ 33 27 20
ПЗ 33 27 22
ПЗ 32 12 01
ПЗ 32 12 02
ПЗ 32 12 03
ПЗ 33 24 05
НД 07 30 57",,"Кабинет гинеколога
Кабинет отоларинголога
Кабинет офтальмолога
Кабинет стоматолога
Кабинет терапевта
Кабинет хирурга
Кабинет ортодонта
Кабинет детского стоматолога
Кабинет врача-педиатра
Кабинет генетика
Кабинет ортопеда
Кабинет проктолога
Кабинет психолога
Кабинет уролога
Кабинет логопеда
Кабинет психолога
Кабинет сурдолога
Кабинет гигиены полости рта",Определение синтезировано,Офис врача общей практики
,,,BAJ051,"Кабинет врача (фельдшера) для приема детей (без специализированных кресел, аппаратных методов диагностики, лечения и парентеральных вмешательств)",,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 27 21,,Кабинет фельдшера,,
,,,BAJ052,"Кабинет врача (фельдшера) для приема взрослых пациентов (без специализированных кресел, аппаратных методов диагностики, лечения и парентеральных вмешательств), кабинет предрейсовых или послерейсовых осмотров",,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 27 15
ПЗ 33 27 21",,"Кабинет предрейсовых осмотров
Кабинет фельдшера",,
,,,BAJ061,Предродовая,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 26 02,,Предродовая палата,,
,,,BAJ060,Бокс родовой,"Комплекс помещений, предназначенный для приема родов у пациенток при необходимости их изоляции и состоящий из наружного тамбура при входе с улицы, помещения для санитарной обработки роженицы, уборной или санузла, индивидуальной родовой палаты и шлюза или подготовительной персонала при входе из коридора отделения","СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 13
ПЗ 33 13 02
ПЗ 33 13 05
ПЗ 33 26",,"Помещения родового бокса
Помещение санитарной обработки рожениц
Подготовительная с душем для персонала
Помещения родильные",,
,,,BAJ070,Бокс приемно-смотровой,"Комплекс помещений, предназначенный для приема пациентов в инфекционные и детские больницы, состоящий из тамбура для входа с улицы, смотрового помещения, шлюза между коридором приемного отдаления и смотровым помещением.","СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 27 03
ПЗ 33 27 04",,"Бокс приемно-смотровой
Фильтр-бокс",,
,,,BAJ080,Предоперационная,,"СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 17 02
ПЗ 33 17 10
ПЗ 33 17 11
ПЗ 33 17 12",,"Предоперационная для одной общепрофильной операционной
Предоперационная для двух общепрофильных (одной специализированной) операционных
Помещение подготовки больного, наркозная",,
,,,BAJ090,Травматологический кабинет,Помещение для оказания первой помощи при травмах,СП 158.13330.2014,,,,,Определение синтезировано,
,,,BAJ100,Пост дозиметрического контроля,"Зона, в которой осуществляется  комплекс организационных и технических мероприятий по определению доз облучения людей, проводимых с целью количественной оценки эффекта воздействия на них ионизирующих излучений",Словарь-справочник терминов нормативно-технической документации. 2015,,,,,Определение синтезировано,
,,,BAJ110,Инфекционное отделение,,,,НД 07 30 18,,,,
,,,BAJ120,Отделение гинекологии,,,,НД 07 30 29,,,,
,,,BAJ130,Отделение урологии,,,,НД 07 30 30,,,,
,,,BAJ140,Отделение педиатрии,,,,НД 07 30 35,,,,
,,,BAJ150,Отделение кардиологии,,,,НД 07 30 36,,,,
,,,BAJ160,Отделение неврологии,,,,НД 07 30 37,,,,
,,,BAJ170,Отделение офтальмологии,,,,НД 07 30 38,,,,
,,,BAJ180,Отделение отоларингологии,,,,НД 07 30 39,,,,
,,,BAJ190,Отделение платных услуг,,,,НД 07 30 42,,,,
,,,BAJ200,Терапевтическое отделение,,,,НД 07 30 43,,,,
,,,BAJ210,Отделение функциональной диагностики,,,,НД 07 30 50,,,,
,,,BAJ220,Консультационно-диагностическое отделение,,,,НД 07 30 55,,,,
,,,BAJ230,Отделение эндоскопии,,,,НД 07 30 56,,,,
,,,BAJ240,Фельдшерско-акушерский пункт,,,,НД 07 30 58,,,,
,,BAK,,Пространство для врачебного наблюдения,"Пространство, в котором осуществляется непосредственное наблюдение врача за пациентами",,,,,,Определение синтезировано,
,,,BAK001,Палата интенсивной терапии,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 20 01,,Палата интенсивной терапии,,
,,,BAK002,"Палата интенсивной терапии, для ожоговых больных",,СП 2.1.3678-20,,,,,,
,,,BAK003,Палата интенсивной терапии для новорожденных,,СП 2.1.3678-20,,,,,,
,,,BAK004,Помещение для отдыха доноров,,СП 2.1.3678-20,,,,,,
,,,BAK005,Эмбриологическая лаборантская с кабинетом генетика,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 16 02,,Эмбриологическая лаборантская,,
,,,BAK010,Отделение интенсивной терапии,"Помещение для оказания неотложной медицинской помощи, проведения реанимации и интенсивной терапии больных","СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 20 02
ПЗ 33 20 03
ПЗ 33 20 04
НД 07 30 16
НД 07 30 04",,"Палата реанимации
Предреанимационная
Реанимационный зал",Определение синтезировано,"Отделение реанимации и интенсивной терапии
Блок интенсивной терапии"
,,,BAK020,Родильное отделение,"Помещение, в котором пребывает беременная женщина и в котором происходят роды","СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 26 01
НД 07 30 23
НД 07 30 01
НД 07 30 03
НД 07 30 31",,Индивидуальная родовая,Определение синтезировано,"Родильное отделение
Акушерское отделение
Акушерское физиологическое отделение
Отделение акушерства и гинекологии"
,,,BAK030,Палата с кувезом,,СП 2.1.3678-20,,,,,,
,,,BAK031,Боксированная палата (изолятор),"Комплекс помещений, предназначенный для изоляции больного, состоящий из палаты, санузла (или слива), шлюза между палатой и коридором. В инфекционных отделениях вход в санузел предусматривается из палаты.","СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 27 05,,Изолятор,,
,,,BAK050,Послеоперационная палата,"Помещение, в которое переводят пациента после больших операций","СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 17 04
ПЗ 33 17 13
ПЗ 33 27 41",,"Протокольная
Помещение (с туалетом) временного пребывания пациента после амбулаторных оперативных вмешательств",Определение синтезировано,
,,,BAK060,Палата санатория,"Помещение, предназначенное для осуществления диагностики, лечения, наблюдения и уход за больными в санатории",СП 158.13330.2014,,,,,,
,,,BAK070,Кабинет реабилитации,"Помещение, в котором пациенты проходят реабилитацию",СП 158.13330.2014,,,,,Определение синтезировано,
,,,BAK080,Отделение новорожденных,,,,НД 07 30 24,,,,
,,,BAK090,Отделение паллиативной медицинской помощи,,,,НД 07 30 47,,,,
,,BAL,,Рабочее пространство для наблюдения за процессами и людьми,"Пространство, предназначенное для наблюдения за процессами и людьми",,,,,,Определение синтезировано,
,,,BAL010,Ложа,"Группа мест в зрительном зале (вокруг партера и на ярусах), отделенная перегородками или барьерами",Большой Энциклопедический словарь. 2000,,,,"Ложа зрительская
Ложа техническая",,
,,,BAL020,Единый центр управления безопасностью,"Помещение с максимальным визуальным обзором спортивной зоны и зрительских трибун спортивного сооружения, в котором сосредоточены системы контроля и принятия решения при возникновении правонарушений и чрезвычайных ситуаций (ситуационный центр)",СП 332.1325800.2017,,,,,,
,,,BAL030,Отдел по изучению рынка,"Помещение, в котором осуществляется изучение информации относительно наличия, объемов, характеристик и жизнеспособности одного или нескольких рынков",ГОСТ Р 55348-2012,,,,,,
,,,BAL040,"Зона систем обработки, сортировки и досмотра багажа","Зона систем обработки, сортировки и досмотра багажа",СП 417.1325800.2020,,,,,,
,,,BAL050,Кабина дежурного у эскалаторов,Обособленное помещение дежурного у эскалаторов,СП 120.13330.2012,,,,,,
,,,BAL060,Комната для экспериментальных исследований,"Помещение, в котором происходит процесс изучения объекта (явления), основанный на целенаправленном воздействии на него искусственно созданных условий, позволяющий наблюдать, сравнивать и измерять его свойства",СТО ВНИИСТ 7.1-3100-0.039-2011,,,,,,
,,,BAL070,Комната допроса,"Помещение, где проводится получение от допрашиваемого известной ему информации",СП 152.13330.2018,,,,,,
,,BAM,,Помещение для работы с медиа,"Помещение, предназначенное для обработки средств и приёмов коммуникации в виде музыки, изображения или видео",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,BAM010,Кинопроекционная,"Помещение, предназначенное для размещения стационарных кинопроекторов",СП 309.1325800.2017,,,,,,
,,,BAM020,Помещение телестудии,Помещение для подготовки телевизионных программ и их передачи по телевидению,СП 278.1325800.2016,,,,,Определение синтезировано,
,,,BAM030,Операторская для работы с видеозаписями ,"Помещение, для производства видеофильмов, видеороликов",СП 228.1325800.2014,,,,,Определение синтезировано,
,,,BAM040,Телемонтажная,"Помещение, в котором производится монтаж телевизионных видеоматериалов",СП 228.1325800.2014,,,,,Определение синтезировано,
,,,BAM050,Дикторская,"Помещение, в котором производится запись голоса",СП 309.1325800.2017,,,,,Определение синтезировано,
,,,BAM060,Студия звукозаписи,"Помещение, созданное для записи и обработки звука",СП 309.1325800.2017,,,,,Определение синтезировано,
,,,BAM070,Помещение фотостудии,Помещение для проведения процесса фотосъемки,СП 309.1325800.2017,,,,,Определение синтезировано,
,,,BAM080,Отдел мультипликации,"Помещение, в котором осуществляется производство мультипликационных фильмов",СП 309.1325800.2017,,,,,Определение синтезировано,
,,,BAM090,Цех подготовки к съёмке,"Помещение, в котором проводится подготовка к сьемкам фильмов или видеоматериалов",СП 309.1325800.2017,,,,,Определение синтезировано,
,,,BAM100,Помещение радиостанции,"Помещение, из которого ведется радиотрансляция",СП 247.1325800.2016,,,,,Определение синтезировано,
,,BAN,,Пространство для работы с животными,"Пространство, предназначенное для работы с животными",,,,,,Определение синтезировано,
,,,BAN010,Помещение ветеринара,"Помещение, состоящее из одного рабочего места ветеринарного специалиста",РД-АПК 1.10.07.03-14,,,,,,
,,,BAN020,Доильный зал,"Помещение, предназначенное для доения, а также для первичной обработки молока",СТО НОСТРОЙ 2.23.137-2013,,,,,,
,,,BAN030,Изолятор для животных,"Специально оборудованное помещение для изоляции животных, больных и подозреваемых в заболевании заразными болезнями",РД-АПК 1.10.07.03-14,,,,,,
,,,BAN040,Помещение для искусственного осеменения животных,"Помещение, предназначенное для искусственного осеменения",СП 106.13330.2012,,,,,Определение синтезировано,
,,,BAN050,Помещение для приготовления кормов,"Помещение, предназначенное для приготовления кормов",СП 106.13330.2012,,,,,Определение синтезировано,
,,,BAN060,Ковочная,Помещение для ковки лошадей,СП 397.1325800.2018,,,,,,
,,,BAN070,Кинодром,"Специально оборудованная территория, предназначенная для обучения специалистов-кинологов основам дрессировки и тренировки служебных собак для их практического применения в служебной деятельности",СП 308.1325800.2017,,,,,,
,,,BAN080,Площадка для выгула собак,Огороженная площадка для прогулки животных на свежем воздухе,РД-АПК 1.10.01.01-18,,,,,,
,BB,,,Производственное пространство,"Замкнутое пространство в специально предназначенных зданиях и сооружениях, в котором постоянно (по сменам) или периодически (в течение рабочего дня) осуществляется трудовая деятельность людей",ГОСТ 12.1.005-88,По функциональному назначению,,B,Помещение производственное,,
,,BBA,,Кухонное помещение,,,,,BEA,,,
,,,BBA010,Пекарня,Помещение по производству выпечки и реализации хлебобулочных и кондитерских изделий,"ВНТП 02-92
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 13 11,,Помещение ШРТ,,
,,,BBA020,Пищеблок,"Комплекс помещений, предназначенный для приготовления пищи пациентам и персоналу","СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 15,,Пищеблок,,
,,,BBA030,Раздаточная,Помещение или выделенная часть помещения для раздачи пищи,"СП 35-112-2005
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 15 04,,Раздаточная,Определение синтезировано,
,,,BBA040,Цех кухонный,"Помещение, в котором устанавливают профессиональное кухонное оборудование и мебель, необходимые для приготовления пищи","СП 145.13330.2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 31 15 02
ПЗ 31 15 15
ПЗ 31 15 14
ПЗ 31 15 18
ПЗ 31 15 19
ПЗ 31 15 03
ПЗ 31 15 05
ПЗ 31 15 09",,"Горячий цех
Мясо-рыбный цех
Овощной цех
Холодный цех
Мучной цех
Доготовочная
Загрузочная
Помещение первичной обработки овощей",Определение синтезировано,
,,,BBA050,Моечные кухонной и столовой посуды,"Помещение, предназначенное для мытья посуды, оснащенное моечным оборудованием","СанПиН 2.3/2.4.3590-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 31 10 14
ПЗ 31 15 12
ПЗ 31 15 13",,"Моечная
Моечная посуды
Моечная тары",,
,,,BBA060,Кухня,"Помещение, предназначенное для приготовления пищи","Краткая энциклопедия домашнего хозяйства. — М.: Большая Советская Энциклопедия. Под ред. А. Ф. Ахабадзе, А. Л. Грекулова . 1976
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 30 20 07
ПЗ 30 20 08
ПЗ 30 20 09",,"Кухня
Кухня-ниша
Кухня-столовая",,
,,BBB,,Помещение для работы с материалами,"Помещение, используемое для работы с материалами",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,BBB010,Мастерская,"Здание или пространство внутри здания, предназначенное для ручного и/или механизированного труда","ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 34 10 01
ПЗ 34 10 04
НД 05 01 18
НД 05 01 20
НД 05 01 22
НД 05 01 26","AAM.02
BB","Электротехническая мастерская
Слесарно-механическая мастерская
Токарная мастерская
Оружейная мастерская
Мастерская по ремонту трансформаторов
Ремонтная мастерская",,"Ремонт бытовой техники
Ремонт компьютеров
Ремонт обуви
Ремонт часов"
,,,BBB020,Цех столярный,"Здание или пространство внутри здания, предназначенное для производства столярных изделий",ГОСТ Р ИСО 6707-1-2020,,,"BHB.11
BHA.18",,,
