Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,,BCD,,Медицинская лаборатория,"Помещение, предназначенное для проведения медицинских исследований",,,,Определение синтезировано
,,,BCD010,Клинико-диагностическая лаборатория,"Помещение, предназначенное для организации и проведения клинических лабораторных исследований",СП 158.13330.2014,,Лаборатория радионуклидной диагностики,Определение синтезировано
,,,BCD020,Лаборатория цитологических исследований,"Помещение, предназначенное для организации и проведения цитологических лабораторных исследований",СП 158.13330.2014,,Лаборатория экстракорпорального оплодотворения,Определение синтезировано
,,,BCD030,Микробиологическая лаборатория,"Помещение, предназначенное для организации и проведения микробиологических лабораторных исследований",СП 158.13330.2014,,,Определение синтезировано
,,,BCD040,Зуботехническая лаборатория,"Помещение, предназначенное для лаборатории по изготовлению зубных конструкций",СП 158.13330.2014,,,Определение синтезировано
,,,BCD050,Лаборатория предварительного обследования доноров,"Помещение, предназначенное для лаборатория предварительного обследования доноров",СП 158.13330.2014,,,Определение синтезировано
,,,BCD060,Радиохимическая медицинская лаборатория,"Помещение, предназначенное для организации и проведения радиохимических лабораторных исследований",СП 158.13330.2014,,,Определение синтезировано
,,,BCD070,Лаборатория экспресс-диагностики,"Помещение, предназначенное для проведения лабораторного мониторинга у пациентов во время проведения оперативного вмешательства и для другой экспресс-диагностики неотложных состояний",СП 158.13330.2014,,Лаборатория срочных анализов,Определение синтезировано
,BD,,,Тренировочное пространство,"Пространство для систематического повторения определенных действий, предназначенных для формирования надлежащих навыков работы в соответствующем виде деятельности",СТО 17330282.27.010.001-2008,По функциональному назначению,,
,,BDA,,Спортивный зал,"Специально оборудованное помещение, в котором проводятся спортивные мероприятия по одному или нескольким видам спорта",СП 332.1325800.2017 ,,,
,,,BDA010,Зал ледовой арены,"Составная часть (помещение) ледовой арены, включающая в себя спортивную зону и места для зрителей или только спортивную зону, в случае если зал ледовой арены предназначен только для проведения тренировочных занятий и не оборудован местами для зрителей",СП 332.1325800.2017 ,,,
,,,BDA020,Специализированный спортивный зал,"Специально оборудованное помещение, в котором проводятся спортивные мероприятия по одному виду спорта",СП 279.1325800.2016,,"Зал для игр с мячом
Зал единоборств
Зал борьбы",
,,,BDA030,Плавательный бассейн,"Помещение, предназначенное для занятий плаванием, для обучения плаванию, а также для игр и развлечений на воде",ГОСТ Р 53491.1-2009,,,
,,,BDA040,Помещение/пространство для конного спорта,Открытая или закрытая площадка для верховой езды,СП 397.1325800.2018,,"Манеж
Открытое конкурное поле
Ипподромное поле
Турнирная площадка",
,,BDB,,Помещение для физкультурно-оздоровительных занятий,Помещение для физкультурно-оздоровительных занятий,СП 143.13330.2012,,,Определение синтезировано
,,,BDB010,Гимнастический зал,"Помещение со спортивными снарядами для физических упражнений, необязательно под наблюдением тренера",ГОСТ Р 53423-2009 (отменен без замены),,,
,,,BDB020,Физкультурно-спортивный зал,"Помещение площадью более 150 м для проведения физкультурно-спортивных занятий (без мест для зрителей), а также для соревнований (с местами для зрителей)",СП 118.13330.2012,,"Зал для физкультурно-оздоровительных занятий
зал для женской оздоровительной гимнастики
Зал для занятий с детьми, отнесенными по состоянию здоровья к специальной медицинской группе
Зал или площадка для подготовительных занятий
Зал ЛФК",
,,,BDB030,Фитнес-зал,"Помещение со спортивными снарядами для физических упражнений, необязательно под наблюдением тренера",ГОСТ Р 53423-2009 (отменен без замены),,Тренажерный зал,
,,,BDB040,Физкультурно-оздоровительный бассейн,Физкультурно-оздоровительный бассейн,СП 310.1325800.2017,,,
,,,BDB050,Помещение для физкультурных занятий и тренировок,"Помещение площадью 150 м2 и менее, предназначенное для размещения тренажеров, занятий гимнастикой, единоборствами, хореографией и т.п.",СП 118.13330.2012,,,
,,,BDB060,Помещение тира,"Помещение для стрельбы в цель из боевого, служебного и гражданского оружия, обеспечивающее физическую и экологическую безопасность людей, находящихся как внутри, так и снаружи тира",ГОСТ Р 52212-2004,,,
,,,BDB070,Стрелковая галерея,"Основное помещение тира спортивного, предназначенное для тренировок и соревнований по стрельбе из пневматического или огнестрельного оружия",СП 332.1325800.2017,,,
,,,BDB080,Помещение для игр в настольный теннис,Помещение для игр в настольный теннис,СП 309.1325800.2017,,,
,,,BDB090,Помещение лечебной физкультуры,Помещения лечебной физкультуры,СП 138.13330.2012,,,
,,BDC,,Репетиционный зал,"Помещение, предназначенное для репетиций",IEC 81346-2:2019,,,Определение синтезировано
,,,BDC010,Музыкальный зал,"Помещение, предназначенное для занятий музыкой",СП 309.1325800.2017,,,Определение синтезировано
,,,BDC020,Балетный репетиционный зал,"Помещение, предназначенное для репетиций балетной труппы",СП 309.1325800.2017,,,Определение синтезировано
,,,BDC030,Репетиционная сцена,"Пространство, на котором происходит репетиционный процесс",СП 309.1325800.2017,,,Определение синтезировано
,,BDD,,Сцена,Часть зрительного зала для проведения театральных мероприятий ,СП 59.13330.2016,,,
,,,BDD010,Театральная сцена,Часть зрительного зала для проведения театральных мероприятий ,СП 59.13330.2016,,,
,,,BDD020,Эстрада,Возвышение в торцевой части зрительного зала для проведения концертных и эстрадных представлений,СП 59.13330.2016,,,
,,,BDD030,Цирковая арена,"Помещение в цирке в виде круга стандартного размера со специальным или сменным покрытием, обнесенная невысоким барьером",Терминологический словарь по строительству,,,
,,,BDD040,Оркестровая яма,"Открытое сверху углубленное помещение перед авансценой, предназначенное для размещения оркестра и дирижера, сопровождающего спектакль",СП 309.1325800.2017,,,
,,BDE,,Игровое пространство,"Пространство, в котором ребенок может свободно играть, устанавливая свои правила использования этой территории и обустраивая ее по своему вкусу и удобству, при этом, не слишком мешая другим детям",,,,Определение синтезировано
,,,BDE010,Детская игровая комната,"Помещение с игрушками и оборудованием, предназначенными для детских игр и развлечений",ГОСТ Р 53423-2009 (отменен без замены),,Мягкая игровая зона,
,,,BDE020,Бильярдный зал,Зад для игры с бильярд,СП 143.13330.2012,,,Определение синтезировано
,,,BDE030,Зал игровых автоматов,Зал игровых автоматов,СП 143.13330.2012,,,
,,,BDE040,Детская игровая площадка,"Пространство, предназначенное для игры детей, включающее в себя соответствующие оборудование и покрытие",СП 476.1325800.2020,,,
,,,BDE050,Площадка для настольных игр,"Пространство, предназначенное для игры ",СП 403.1325800.2018,,,
,,BDF,,Физкультурно-спортивная зона,"Пространство, предназначенное для проведения физкультурных занятий на улице",,,,Определение синтезировано
,,,BDF010,Площадка для физкультурных занятий,Площадка для физкультурных занятий,СП 140.13330.2012,,,
,,,BDF020,Площадка для физкультурных занятий инвалидов,Площадка для физкультурных занятий инвалидов,СП 140.13330.2012,,,
,,,BDF030,Ледовый каток,"Ровная поверхность из натурального или искусственного льда установленных размеров для физкультурно-оздоровительных 
занятий по ледовым видам спорта.",СП 383.1325800.2018,,,
,,,BDF040,Спортивная зона для баскетбола на колясках,Спортивная зона для баскетбола на колясках,СП 332.1325800.2017,,,
,,,BDF050,Спортивная зона для залов специальной физической подготовки,Спортивная зона для залов специальной физической подготовки,СП 332.1325800.2017,,,
,,,BDF060,Спортивная зона для спортивной гимнастики,Спортивная зона для спортивной гимнастики,СП 332.1325800.2017,,,
,,,BDF070,Спортивная зона для тенниса,Спортивная зона для тенниса,СП 332.1325800.2017,,,
,,,BDF080,Спортивная зона для фехтования,Спортивная зона для фехтования,СП 332.1325800.2017,,,
,,,BDF090,Спортивная зона для бадминтона,Спортивная зона для бадминтона,СП 332.1325800.2017,,,
,,,BDF100,Спортивная зона для бокса,Спортивная зона для бокса,СП 332.1325800.2017,,,
,,,BDF110,Спортивная зона для бочча,Спортивная зона для бочча,СП 332.1325800.2017,,,
,,,BDF120,Спортивная зона для волейбола сидя,Спортивная зона для волейбола сидя,СП 332.1325800.2017,,,
,,,BDF130,Спортивная зона для голбола,Спортивная зона для голбола,СП 332.1325800.2017,,,
,,,BDF140,Спортивная зона для дзюдо,Спортивная зона для дзюдо,СП 332.1325800.2017,,,
,,,BDF150,Спортивная зона для залов общефизической подготовки,Спортивная зона для залов общефизической подготовки,СП 332.1325800.2017,,,
,,,BDF160,Спортивная зона для настольного тенниса,Спортивная зона для настольного тенниса,СП 332.1325800.2017,,,
,,,BDF170,Спортивная зона для пауэрлифтинга,Спортивная зона для пауэрлифтинга,СП 332.1325800.2017,,,
,,,BDF180,Спортивная зона для пляжного волейбола,Спортивная зона для пляжного волейбола,СП 332.1325800.2017,,,
,,,BDF190,Спортивная зона для пляжного футбола,Спортивная зона для пляжного футбола,СП 332.1325800.2017,,,
,,,BDF200,Спортивная зона для прыжков на батуте,Спортивная зона для прыжков на батуте,СП 332.1325800.2017,,,
,,,BDF210,Спортивная зона для регби на колясках,Спортивная зона для регби на колясках,СП 332.1325800.2017,,,
,,,BDF220,Спортивная зона для самбо,Спортивная зона для самбо,СП 332.1325800.2017,,,
,,,BDF230,Спортивная зона для спортивной борьбы,Спортивная зона для спортивной борьбы,СП 332.1325800.2017,,,
,,,BDF240,Спортивная зона для тенниса на колясках,Спортивная зона для тенниса на колясках,СП 332.1325800.2017,,,
,,,BDF250,Спортивная зона для тяжелой атлетики,Спортивная зона для тяжелой атлетики,СП 332.1325800.2017,,,
,,,BDF260,Спортивная зона для фехтования на колясках,Спортивная зона для фехтования на колясках,СП 332.1325800.2017,,,
,,,BDF270,Спортивная зона для футбола 5x5,Спортивная зона для футбола 5x5,СП 332.1325800.2017,,,
,,,BDF280,Спортивная зона для хоккея на траве,Спортивная зона для хоккея на траве,СП 332.1325800.2017,,,
,,,BDF290,Спортивная зона для хоккея с мячом,Спортивная зона для хоккея с мячом,СП 332.1325800.2017,,,
,,,BDF300,Спортивная зона для художественной гимнастики,Спортивная зона для художественной гимнастики,СП 332.1325800.2017,,,
,,,BDF310,Спортивная зона по спортивной акробатике,Спортивная зона по спортивной акробатике,СП 332.1325800.2017,,,
,,,BDF320,Спортивная зона для баскетбола,Спортивная зона для баскетбола,СП 332.1325800.2017,,,
,,,BDF330,Спортивная зона для волейбола,Спортивная зона для волейбола,СП 332.1325800.2017,,,
,,,BDF340,Спортивная зона для гандбола,Спортивная зона для гандбола,СП 332.1325800.2017,,,
,,,BDF350,Спортивная зона для кёрлинга,Спортивная зона для кёрлинга,СП 332.1325800.2017,,,
,,,BDF360,Спортивная зона для кёрлинга на колясках,Спортивная зона для кёрлинга на колясках,СП 332.1325800.2017,,,
,,,BDF370,Спортивная зона для конькобежного спорта,Спортивная зона для конькобежного спорта,СП 332.1325800.2017,,,
,,,BDF380,спортивная зона для мини-футбола,спортивная зона для мини-футбола,СП 332.1325800.2017,,,
,,,BDF390,Спортивная зона для следж-хоккея,Спортивная зона для следж-хоккея,СП 332.1325800.2017,,,
,,,BDF400,Спортивная зона для фигурного катания на коньках,Спортивная зона для фигурного катания на коньках,СП 332.1325800.2017,,,
,,,BDF410,Спортивная зона для хоккея,Спортивная зона для хоккея,СП 332.1325800.2017,,,
,BE,,,Пространство для массовых мероприятий,"Пространство для массовых культурно-просветительских, театрально-зрелищных, спортивных и массовых спортивно-зрелищных мероприятий",ОДМ 218.6.028-2017,По функциональному назначению,,
,,BEA,,Обеденная зона,"Пространство, предназначенное для приема пищи",IEC 81346-2:2019,,,Определение синтезировано
,,,BEA010,Обеденный зал,"Торговое помещение предприятия общественного питания, оборудованное обеденными столами для приема пищи посетителями",Терминологический словарь по строительству,,"Зал ресторана
Зал кафе
Клуб-столовая",
,,,BEA020,Столовая,"Помещение, осуществляющее приготовление и реализацию с потреблением на месте разнообразных блюд в соответствии с меню, различающимся по дням недели",ГОСТ 30389-2013,,,
,,,BEA030,Буфетная,"Помещение, реализующее с потреблением на месте ограниченный ассортимент продукции общественного питания из полуфабрикатов высокой степени готовности",ГОСТ 30389-2013,,"Буфетная палатного отделения
Буфет-пост",
,,,BEA040,Зона общественного питания,"Пространство, предназначенное для производства, реализации и (или) организации потребления продукции общественного питания, включая кулинарную продукцию, мучные кондитерские и булочные изделия",ГОСТ 30389-2013,,,
,,,BEA050,Комната приема пищи ,"Помещение, предназначенное для приема пищи",СП 228.1325800.2014,,,Определение синтезировано
,,,BEA060,Трапезная,Столовая палата в монастыре или помещение для трапезы в церковно-причтовом доме,СП 391.1325800.2017,,,
,,BEB,,Зал для общественных мероприятий,"Помещение, предназначенное для проведения общественных мероприятий",,,,Определение синтезировано
,,,BEB010,Актовый зал,Помещение для проведения массовых мероприятий. ,СП 118.13330.2012,,,
,,,BEB020,Концертный зал,"Зрительный зал для проведения концертов и музыкальных представлений, характеризуемый высокими акустическими свойствами",Терминологический словарь по строительству,,Мюзик-холл,
,,,BEB030,Зрительный зал,"Зальное помещение с выделенным местом для проведения мероприятий (сценой, эстрадой) с оборудованными местами для зрителей",СП 251.1325800.2016,,,
,,,BEB040,Танцевальный зал,Танцевальный зал,СП 143.13330.2012,,,
,,,BEB050,Зал для пресс-конференций,Зал для пресс-конференций,СП 332.1325800.2017,,,
,,,BEB060,Помещение для семинаров и дискуссий,Помещение для семинаров и дискуссий,СП 278.1325800.2016,,,
,,,BEB070,Партер,"Основная зона зрительного зала, расположенная на плоском или слегка наклонном полу.",СП 309.1325800.2017,,,
,,,BEB080,Траурный зал,Зал для траурных церемоний,СП 158.13330.2014,,,Определение синтезировано
,,,BEB090,Трибуна,Обособленная часть зрительного зала или трибуны спортивного сооружения в виде небольшого внутреннего балкона,Терминологический словарь по строительству,,,
,,,BEB100,VIP-зона,"Выделенная зона зрительских мест и дополнительных помещений повышенной комфортности и безопасности с дополнительным
 набором услуг.",СП 310.1325800.2017,,,
,,,BEB110,VVIP-зона,"Полностью автономная территория (пространство), имеющая ограниченный доступ, отдельное обслуживание и эксклюзивный 
набор услуг, выделенную зону зрительских мест в наиболее комфортной части трибуны, обеспечивающей наилучший обзор
 спортивного мероприятия, предназначенная для специальных гостей, с местами и дополнительными помещениями 
повышенной комфортности и безопасности.",СП 310.1325800.2017,,,
,,,BEB120,Зона гостевого обслуживания,"Выделенная зона привилегированного обслуживания высокого качества определенной категории зрителей на трибунах и ложах (скайбоксах), как правило, от 2 до 4 рядов с местами повышенной комфортности, вместимостью от 10 до 40 человек, с видом на поле и площадями для возможности организации обслуживания напитками, закусками.",СП 285.1325800.2016,,,
,,,BEB130,Зона для проведения массовых мероприятий,"Зона для проведения массовых культурно-просветительских, театрально-зрелищных, спортивных и массовых спортивно-зрелищных мероприятий",СП 398.1325800.2018,,,
,,,BEB140,Зона зрителей,"Пространство в непосредственной близости от зрительских мест, предназначенное для зрителей мероприятий, проводимых на спортивном сооружении.",СП 285.1325800.2016,,,
,,,BEB150,Зона зрителей (зона трибун) стрелковой галереи,"Помещение с трибунами или без, отделенное от зоны огневого рубежа пуленепробиваемой перегородкой в соответствии с предельным классом применяемого оружия.",СП 332.1325800.2017,,,
,,,BEB160,Зона награждения,Зона награждения,СП 310.1325800.2017,,,
,,BEC,,Пространство для выставок,"Пространство, предназначенное для публичного показа предметов, в том числе художественных произведений",ГОСТ Р 58814-2020,,,
,,,BEC010,Выставочный зал,"Помещение для демонстрации предметов, которые имеют общественный интерес",СП 257.1325800.2016,,,Определение синтезировано
,,,BEC020,Демонстрационный зал с экспозициями,Помещение для демонстрации предметов искусства,СП 257.1325800.2016,,Художественная галерея,Определение синтезировано
,,BED,,Пространство для религиозной деятельности,"Помещение, предназначенное для проведения религиозных мероприятий",,,,Определение синтезировано
,,,BED010,Помещение для совершения богослужений и иных религиозных обрядов и церемоний,Помещение для совершения богослужений и иных религиозных обрядов и церемоний,СП 258.1311500.2016,,"Молитвенная
Алтарь
Крещальня
Клирос",
,,,BED020,Пономарка,"Подсобное помещение в алтарной части храма, предназначенное для хранения богослужебных предметов",СП 391.1325800.2017,,,
,,,BED030,Ризница,"Помещение, предназначенное для хранения облачений священнослужителей, богослужебных принадлежностей и церковной утвари",СП 391.1325800.2017,,,
,,,BED040,Паперть,"Широкое открытое крыльцо или галерея, устроенная перед входом в храм",СП 391.1325800.2017,,,
C,,,,Пространство для хранения,"Пространство, предназначенное для хранения различных предметов в заданном состоянии с обеспечением сохранности в течение заданного срока",ГОСТ Р 51288-99,По функциональному назначению,,
,CA,,,Пространство для хранения материалов,"Пространство, предназначенное для хранения материалов ",IEC 81346-2:2019,По функциональному назначению,,Определение синтезировано
,,CAA,,Пространство для хранения отходов,"Пространство, предназначенное для складирования и хранения отходов",IEC 81346-2:2019,,,Определение синтезировано
,,,CAA010,"Зона хранения, обеззараживания и переработки отходов производства","Зона хранения, обеззараживания и переработки отходов производства",СП 19.13330.2019,,,
,,,CAA020,Помещение для утилизации отходов,Помещение для утилизации отходов,ГОСТ Р 57701-2017,,,
,,,CAA030,Склад хранения контейнеров,Склад хранения контейнеров,СП 350.1326000.2018,,,
,,,CAA040,Охлаждаемая камера для отходов,Охлаждаемая камера для отходов,СП 247.1325800.2016,,,
,,,CAA050,Помещение временного хранения медицинских отходов,Помещение временного хранения медицинских отходов,СП 309.1325800.2017,,,
,,,CAA060,Помещение для хранения запасных и вышедших из строя ртутных и люминесцентных ламп,Помещение для хранения запасных и вышедших из строя ртутных и люминесцентных ламп,СП 417.1325800.2018,,,
,,,CAA070,Площадка для мусороконтейнеров и мусоросборников,Площадка для мусороконтейнеров и мусоросборников,СП 42.13330.2016,,,
,,CAB,,Пространство для хранения химических веществ,"Пространство, предназначенное для хранения реактивов",IEC 81346-2:2019,,,Определение синтезировано
,,,CAB010,Помещение для хранения горючих материалов,Помещение для хранения горючих материалов,СП 5.13330.2009,,,
,,,CAB020,"Помещение для хранения агрохимикатов, пестицидов и консервантов","Помещение для хранения агрохимикатов, пестицидов и консервантов",СП 92.13330.2012,,,
,,,CAB030,Помещение для аммиачной селитры,Помещение для аммиачной селитры,СП 92.13330.2012,,,
,,,CAB040,Помещение для хранения сухих минеральных удобрений и химических средств защиты растений,Помещение для хранения сухих минеральных удобрений и химических средств защиты растений,СП 57.13330.2010,,,
,,,CAB050,Отсек склада для хранения химикатов," Минимальная обособленная часть склада, отделенная стационарными перегородками и предназначенная для хранения 
определенных пестицидов, агрохимикатов, консервантов",СП 92.13330.2012,,,
,,,CAB060,Полигон по обезвреживанию и захоронению токсичных отходов,Полигон по обезвреживанию и захоронению токсичных отходов,СП 127.13330.2017,,,
,,,CAB070,Помещение для хранения нефти и нефтепродуктов,Помещение для хранения нефти и нефтепродуктов,СП 57.13330.2010,,,
,,,CAB080,Помещение для хранения каучука,Помещение для хранения каучука,СП 57.13330.2010,,,
,,,CAB090,Помещение для хранения целлулоида,Помещение для хранения целлулоида,СП 57.13330.2010,,,
,,,CAB100,Помещение для хранения горючих пластмасс и кинопленки,Помещение для хранения горючих пластмасс и кинопленки,СП 57.13330.2010,,,
,,CAC,,Пространство для хранения медикаментов,"Пространство, предназначенное для хранения лекарственных препаратов",,,,Определение синтезировано
,,,CAC010,Помещение аптечного склада,Помещение аптечного склада,,,"Больничная аптека
Ветеринарная аптека",Определение синтезировано
,,,CAC020,Кладовая лекарственных форм и медицинского оборудования,Кладовая лекарственных форм и медицинского оборудования,,,,Определение синтезировано
,,,CAC030,Депозит крови,Депозит крови,,,,Определение синтезировано
,,CAD,,Пространство для хранения архивов,"Пространство, предназначенное для рационального размещения и обеспечение сохранности документов",ГОСТ Р 7.0.8-2013,,,Определение синтезировано
,,,CAD010,Книгохранилище,Изолированное помещение библиотеки для хранения и технической обработки библиотечных фондов,Терминологический словарь по строительству,,,
,,,CAD020,Помещение архива,Помещение архива,СП 417.1325800.2018,,Архив деканата,
,,,CAD030,Помещение секретного архива и библиотеки ,Помещение секретного архива и библиотеки ,СП 228.1325800.2014,,,
,,,CAD040,Технический архив,Технический архив,СП 278.1325800.2016,,,
,,,CAD050,Архив медицинский,Архив медицинский,СП 145.13330.2012,,,
,,,CAD060,Помещение для хранения библиотечного фонда,Помещение для хранения библиотечного фонда ,СП 247.1325800.2016,,,
,,,CAD070,Хранилище аудио- и видеоинформации,Хранилище аудио- и видеоинформации,,,,Определение синтезировано
,,CAE,,Пространство для хранения жидкостей,"Пространство, предназначенное для хранения воды и неагрессивных жидкостей",IEC 81346-2:2019,,,Определение синтезировано
,,CAF,,Пространство для хранения сырья,"Пространство, предназначенное для хранения твердых веществ, используемых в качестве сырья",IEC 81346-2:2019,,,Определение синтезировано
,,,CAF010,Хранилище грунта,Хранилище грунта,ГОСТ 12071-2014,,,
,,,CAF020,Хранилище соли,Хранилище соли,СП 123.13330.2012,,,
,,,CAF030,Склад сырья и готовой продукции ,Склад сырья и готовой продукции ,СП 149.13330.2012,,,
,,,CAF040,Зона хранения и подготовки сырья (кормов),Зона хранения и подготовки сырья (кормов),СП 19.13330.2019,,,
,,,CAF050,Площадка для подготовки компостов,Площадка для подготовки компостов,СП 289.1325800.2017,,,
,,CAG,,Пространство для хранения продуктов питания,"Пространство с определенными температурными параметрами, предназначенное для хранения пищевой продукции",IEC 81346-2:2019,,,Определение синтезировано
,,,CAG010,Кладовая продуктов,Небольшое помещение для хранения различных предметов при отсутствии в нем постоянных рабочих мест,СП 364.1311500.2018,,,
,,,CAG020,Холодная кладовая,"Кладовая площадью до 2 м, размещаемая в неотапливаемом объеме квартиры",ВСП 13-02-04,,,
,,,CAG030,Холодильная камера,Камера с искусственным охлаждением,ГОСТ 24393-80,,,
,,,CAG040,Помещение горячего хранения,Помещение горячего хранения,IEC 81346-2:2019,,,Определение синтезировано
,,,CAG050,Хранилище сыпучих продуктов,Хранилище сыпучих продуктов,СП 359.1325800.2017,,,
,,,CAG060,Зерносклад,Зерносклад,СП 108.13330.2012,,,Определение синтезировано
,,,CAG070,Овощехранилище,Овощехранилище,СП 308.1325800.2017,,,Определение синтезировано
,,,CAG080,"Охлаждаемые камеры для хранения мяса, рыбы","Герметизированное складское помещение с тамбуром, оборудованное холодильными установками для кратковременного хранения скоропортящихся продуктов",Терминологический словарь по строительству,,,
,,,CAG090,"Охлаждаемые камеры для хранения молочных продуктов, фруктов и зелени, консервов и квашений ","Герметизированное складское помещение с тамбуром, оборудованное холодильными установками для кратковременного хранения скоропортящихся продуктов",Терминологический словарь по строительству,,,
,,,CAG100,Продовольственный склад,Продовольственный склад,СП 308.1325800.2017,,,Определение синтезировано
,,CAH,,Пространство для безопасного хранения,"Пространство, обладающее регламентированными защитными свойствами взломостойкости и/или огнестойкости, предназначенное для безопасного хранения ценностей",ГОСТ Р 58005-2017,,,Определение синтезировано
,,,CAH010,Помещение для хранения ценностей,Помещение для хранения ценностей,ВНП 001-01,,,
,,,CAH020,Зона установки сейфа,Зона установки сейфа,ВНП 001-01,,,
,,,CAH030,Кладовая ценностей,Кладовая ценностей,ВНП 001-01,,"Для постоянного хранения, для временного хранения",
,,,CAH040,Помещение для экспертизы денежных знаков,Помещение для экспертизы денежных знаков,ВНП 001-01,,,
,,,CAH050,Помещение кассы для выдачи наличных денег,Помещение кассы для выдачи наличных денег,ВНП 001-01,,,
,,,CAH060,Помещение для передачи ценностей,Помещение для передачи ценностей,ВНП 001-01,,,
,,,CAH070,Помещение касс пересчета банкнот и металлической монеты,Помещение касс пересчета банкнот и металлической монеты,ВНП 001-01,,,
,,,CAH080,Зона хранения личных вещей занимающихся,Зона хранения личных вещей занимающихся,СП 383.1325800.2018,,,
,,,CAH090,Камера хранения вещественных доказательств,Камера хранения вещественных доказательств,СП 228.1325800.2014,,,
,,,CAH100,Предкладовая,Предкладовая,ВНП 001-01,,,
,,,CAH110,Пространство витрины,Пространство витрины,ВНП 001-01,,,
,,,CAH120,Зона охраняемая,"Пространство, в котором не допускается появление нежелательных людей или объектов",ГОСТ Р 58033-2017,,,
,,CAJ,,Пространство для хранения упаковочных материалов,"Пространство, использующееся для хранения упаковочных материалов",IEC 81346-2:2019,,,Определение синтезировано
,,,CAJ010,Кладовая упаковочных материалов,Кладовая упаковочных материалов,СП 158.13330.2014,,,
,,CAK,,Пространство для хранения одежды,"Пространство, предназначенное для хранения одежды",IEC 81346-2:2019,,,Определение синтезировано
,,,CAK010,Гардероб,Помещение для хранения одежды и переодевания,СП 136.13330.2012,,,
,,,CAK020,Гардеробная,"Помещения на предприятии, оборудованные индивидуальными шкафами, закрепляемыми за работающими и предназначенными для хранения уличной, домашней и рабочей одежды",Терминологический словарь по строительству,,"Гардеробные спецодежды
Гардероб для верхней одежды
Гардероб рабочей одежды загрязненных производств
Театральная гардеробная",
,,,CAK030,Пространство встроенного шкафа,"Шкаф, полностью или частично не имеющий несущего корпуса, в котором роль его верхней и нижней, задней и боковых стенок выполняют соответственно пол, потолок и стены помещения, являющиеся неотъемлемыми частями конструкции",СП 139.13330.2012,,"Зона бельевого шкафа, зона шкафа-купе",
