Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,,,ACAA,,,Свод правил (СП),"Документ по стандартизации, утвержденный федеральным органом исполнительной власти или Государственной корпорацией по атомной энергии ""Росатом"" и содержащий правила и общие принципы в отношении процессов в целях обеспечения соблюдения требований технических регламентов",Федеральный закон от 29.06.2015 N 162-ФЗ,,,Сформулировано на основании результата анализа источников
,,,ACAB,,,Национальный стандарт (ГОСТ Р),"Нормативно-технический документ, действующий на территории РФ, принятый Государственным комитетом РФ по стандартизации, метрологии и сертификации (Госстандарт России) или Государственным комитетом РФ по жилищной и строительной политике (Госстрой России)",Постановление Госстандарта России от 30.01.2004 N 4,,,Сформулировано на основании результата анализа источников
,,,ACAC,,,Стандарт системы проектной документации для строительства (СПДС),"Нормативно-технический документ, входящий в комплекс взаимосвязанных национальных стандартов, содержащих общие требования и правила по разработке, оформлению и обращению проектной и рабочей документации на здания и сооружения всех видов",ГОСТ Р 21.1101-2013,,,Сформулировано на основании результата анализа источников
,,,ACAD,,,Технические условия (ТУ),"Нормативно-технический документ, устанавливающий технические требования, которым должна удовлетворять продукция или услуга, а также процедуры, с помощью которых можно установить, соблюдены ли данные требования",ГОСТ 1.1-2002 ,,,Сформулировано на основании результата анализа источников
,,,ACAE,,,Общероссийский классификатор (ОК),"Документ по стандартизации, распределяющий технико-экономическую и социальную информацию в соответствии с ее классификацией (классами, группами, видами и другим) и являющийся обязательным для применения в государственных информационных системах и при межведомственном обмене информацией в порядке, установленном федеральными законами и иными нормативными правовыми актами Российской Федерации",Федеральный закон от 29.06.2015 N 162-ФЗ,,,Сформулировано на основании результата анализа источников
,,,ACAF,,,"Стандарт организации (СТО, СТП)","Нормативно-технический документ, утвержденный и применяемый организацией для целей стандартизации, а также для совершенствования производства и обеспечения качества продукции, выполнения работ, оказания услуг, а также для распространения и использования полученных в различных областях знаний результатов исследований (испытаний), измерений и разработок","Федеральный закон от 27.12.2002 N 184-ФЗ
ГОСТ Р 1.12-2020
Федеральный закон от 29.06.2015 N 162-ФЗ",,,Сформулировано на основании результата анализа источников
,,ACB,,,,Федеральный/межотраслевой НТД,"Нормативно-технический документ, утвержденный федеральными органами исполнительной власти и имеющий межотраслевой характер. Такие документы могут содержать обязательные требования или носить рекомендательный или методический характер, или содержать требования, обязательные только для подведомственных организаций",,По видам регламентирующей и регулирующей информации,,Сформулировано на основании результата анализа источников
,,,ACBA,,,Природоохранные нормативные документы (ПНД),"Природоохранный документ федерального уровня, предназначенный для количественного химического анализа и оценки состояния объектов окружающей среды, с целью государственного экологического контроля и мониторинга",Р 50.2.060-2008,,,Сформулировано на основании результата анализа источников
,,,ACBB,,,Рекомендации по метрологии (МИ и Р),"Документ в области метрологии, содержащий добровольные для применения организационно-технические и (или) общетехнические положения, порядки (правила процедуры), методы (способы, приемы) выполнения работ соответствующих направлений, а также рекомендуемые правила оформления результатов этих работ","
 ГОСТ Р 1.10-2004  
ГОСТ Р 8.563-2009",,,Сформулировано на основании результата анализа источников
,,,ACBC,,,Методические указания (МУ),"Документы, определяющие совокупность и последовательность (порядок) действий или устанавливающие методы (способы, приемы) проведения работ, и которые носят обязательный характер только в указанной в документе сфере применения и только в подведомственных утвердившему органу организациях",,,,Сформулировано на основании результата анализа источников
,,,ACBD,,,Методические рекомендации (МР),"Документы, определяющие совокупность и последовательность (порядок) действий или устанавливающие методы (способы, приемы) проведения работ, и которые носят необязательный характер",,,,Сформулировано на основании результата анализа источников
,,,ACBE,,,Методические указания на методы контроля (МУК),"Документы, содержащие обязательные для исполнения требования к методам контроля и методикам качественного и количественного определения химических, биологических и физических факторов среды обитания человека, оказывающих или которые могут оказать опасное и вредное влияние на здоровье населения",Р 1.1.001-96,,,Сформулировано на основании результата анализа источников
,,,ACBF,,,Руководства (Р) Роспотребнадзора,"Свод обязательных к исполнению руководящих, распорядительных и методических документов по вопросам организации государственного санитарно-эпидемиологического надзора, санитарно-эпидемиологического нормирования, выполнения требований санитарного законодательства",Р 1.1.001-96,,,Сформулировано на основании результата анализа источников
,,,ACBG,,,Правила по охране труда РФ (ПОТ Р),"Нормативный акт, устанавливающий требования по охране труда, обязательные для исполнения при проектировании, организации и осуществлении производственных процессов, отдельных видов работ, эксплуатации производственного оборудования, установок, агрегатов, машин, аппаратов, а также при транспортировании, хранении, применении исходных материалов, готовой продукции, веществ, отходов производств и т.д.",Постановление Правительства РФ от 27.12.2010 N 1160,,,Сформулировано на основании результата анализа источников
,,,ACBH,,,Типовая инструкция по охране труда РФ (ТИ Р),"Нормативный акт, устанавливающий требования по охране труда при выполнении работ в производственных помещениях, на территории предприятия, на строительных площадках и в иных местах, где производятся эти работы или выполняются служебные обязанности",Постановление Министерства труда и социального развития РФ от 17.12.2002 N 80,,,Сформулировано на основании результата анализа источников
,,,ACBJ,,,Типовая отраслевая инструкция по охране труда РФ (ТОИ Р),"Нормативный акт, разрабатывающийся на основе документов, действующих в отрасли и устанавливающий требования по охране труда, в том числе, с учетом требований отраслевых правил по охране труда, при выполнении работ в производственных помещениях, на территории предприятия, на строительных площадках и в иных местах, где производятся эти работы или выполняются служебные обязанности",Постановление Министерства труда и социального развития РФ от 17.12.2002 N 80,,,Сформулировано на основании результата анализа источников
,,,ACBK,,,Руководство по безопасности (РБ),"Документ системы нормативных документов Госатомнадзора России, содержащий приемлемые для Госатомнадзора России способы и методы выполнения требований федеральных норм и правил и определяющий необходимую последовательность действий и условий выполнения этих действий","
Постановление Правительства РФ от 01.12.1007 №1511",,,Сформулировано на основании результата анализа источников
,,,ACBL,,,Санитарные правила (СП),"Нормативные правовые акты, устанавливающие санитарно-эпидемиологические требования и являющиеся государственными санитарно-эпидемиологическими правилами","Р 1.1.002-96
Федеральный закон от 30.03.1999 N 52-ФЗ",,,Сформулировано на основании результата анализа источников
,,,ACBM,,,Санитарные правила и нормы (СанПиН),"Нормативные правовые акты, устанавливающие санитарно-эпидемиологические требования и являющиеся государственными санитарно-эпидемиологическими правилами, а также объединяющие требования отдельных санитарных правил, норм и гигиенических нормативов","Р 1.1.002-96
Федеральный закон от 30.03.1999 N 52-ФЗ",,,Сформулировано на основании результата анализа источников
,,,ACBN,,,Федеральные нормы и правила в области использования атомной энергии (НП),"Нормативные правовые акты, устанавливающие требования к безопасному использованию атомной энергии, включая требования безопасности объектов использования атомной энергии, требования безопасности деятельности в области использования атомной энергии, в том числе цели, принципы и критерии безопасности, соблюдение которых обязательно при осуществлении деятельности в области использования атомной энергии",Федеральный закон от 30.11.2011 N 347-ФЗ,,,Сформулировано на основании результата анализа источников
,,,ACBP,,,Документ Федеральной сметно-нормативной базы,"Нормативные документы, определяющие потребности в ресурсах, расценки при выполнении строительных и специальных строительных работ",Постановление Госстроя России от 08.04.2002 N 16,,,Сформулировано на основании результата анализа источников
,,,,,ACBP010,Государственные элементные сметные нормы,"Нормативные документы, определяющие потребности в ресурсах (затрат труда рабочих-строителей, машинистов, времени эксплуатации строительных машин и механизмов, материальных ресурсов) при выполнении строительных и специальных строительных работ и для составления на их основе сметных расчётов (смет) на производство указанных работ ресурсным методом",Постановление Госстроя России от 08.04.2002 N 16,,,Сформулировано на основании результата анализа источников
,,,,,ACBP020,Федеральные единичные расценки,"Сметные нормативы, содержащие расценки на выполнение единичных строительных работ и предназначенные для составления на их основе сметных расчётов (смет) на производство указанных работ базисно-индексным методом",Постановление Госстроя России от 08.04.2002 N 16,,,Сформулировано на основании результата анализа источников
,,,,,ACBP030,Территориальные единичные расценки,"Сметные нормативы, содержащие расценки на выполнение единичных строительных работ на территории субъектов Российской Федерации и регламентирующие общественно необходимые, выраженные в натуральной форме размеры отдельных элементов прямых затрат, приходящихся на единицу объема строительных работ и конструктивных элементов.",Постановление Госстроя России от 08.04.2002 N 16,,,Сформулировано на основании результата анализа источников
,,,,,ACBP040,"Сборники Федеральных сметных цен на материалы, изделия и конструкции, применяемые в строительстве","Сборник сметных цен на материалы, изделия и конструкции, предназначенный для определения сметной стоимости строительно-монтажных (ремонтно-строительных) работ, а также для определения стоимостных показателей сборников ФЕР на строительные, монтажные и ремонтно-строительные работы",Постановление Госстроя России от 08.04.2002 N 16,,,Сформулировано на основании результата анализа источников
,,,,,ACBP050,Сборники сметных норм и расценок на эксплуатацию строительных машин и автотранспортных средств,"Сборник сметных расценок на эксплуатацию строительных машин и автотранспортных средств, предназначенный для определения сметной стоимости строительно-монтажных (ремонтно-строительных) работ, а также при разработке ФЕР на строительные, монтажные и ремонтно-строительные работы",Постановление Госстроя России от 08.04.2002 N 16,,,Сформулировано на основании результата анализа источников
,,ACC,,,,Региональные и территориальные НТД,"Совокупность материалов и документов регионального и территориального значения, обеспечивающих качество производимой продукции, а также ее соответствие всем утвержденным требованиям безопасности, условиям эксплуатации, хранения и транспортировки",Кодекс РФ от 29.12.2004 N 190-ФЗ,По видам регламентирующей и регулирующей информации,,Сформулировано на основании результата анализа источников
,,,ACCA,,,Территориальные строительные нормы,"Нормативный документ, устанавливающий обязательные для применения на соответствующей территории нормы и правила в области строительства",Кодекс РФ от 29.12.2004 N 190-ФЗ,,,Сформулировано на основании результата анализа источников
,,,ACCB,,,Региональные (территориальные) нормативы градостроительного проектирования,"
Совокупность стандартов по разработке документов территориального планирования, градостроительного зонирования и документации по планировке территории, включая стандарты обеспечения безопасности и благоприятных условий жизнедеятельности человека, предусматривающих качественные и количественные требования к размещению объектов капитального строительства",Кодекс РФ от 29.12.2004 N 190-ФЗ,,,Сформулировано на основании результата анализа источников
,,,ACCC,,,Региональные (территориальные) методические документы,"Методические документы, разрабатываемые в качестве рекомендательных документов по инициативе местных органов власти при строительстве",Кодекс РФ от 29.12.2004 N 190-ФЗ,,,Сформулировано на основании результата анализа источников
,,ACD,,,,Документы нормативно-правовой базы,"Официальные письменные (изданные) документы, которые принимаются общеобязательным государственным предписанием постоянного или временного характера",,По видам регламентирующей и регулирующей информации,,Сформулировано на основании результата анализа источников
,,,ACDA,,,Отраслевые стандарты (ОСТ),"Документ, устанавливающий нормы, правила, требования, параметры, термины, понятия и обозначения на виды продукции, необходимые для обеспечения качества продукции в конкретной отрасли","ОСТ 45.185-2001
ОСТ 45.10-98
ОСТ 45.59-98",,,Сформулировано на основании результата анализа источников
,,,ACDB,,,Руководящие документы отрасли (РД),"Организационно-технический или организационно-методический нормативный документ, который устанавливает ведомственные процедуры и правила, не предусмотренные Государственной системой стандартизации РФ",РД 153-00.0-003-99,,,Сформулировано на основании результата анализа источников
,,,ACDC,,,Ведомственные строительные нормы (ВСН),"Ведомственный документ, содержащий основные технические, технико-экономические и другие расчетные величины и нормативные требования, которыми необходимо руководствоваться при проектировании и строительстве",Ведомственные строительные нормы от 01.01.1991 N 34-91,,,Сформулировано на основании результата анализа источников
,,,ACDD,,,Нормы технологического проектирования (НТП),"Нормативные документы по проектированию технологических процессов промышленных предприятий и сооружений, утверждаемые в установленном порядке министерствами и ведомствами",НТП от 01.01.1996 N М788-1088,,,Сформулировано на основании результата анализа источников
,,,ACDE,,,Общесоюзные нормы технологического проектирования (ОНТП),"Общесоюзные нормативные документы по проектированию технологических процессов промышленных предприятий и сооружений, утверждаемые в установленном порядке министерствами и ведомствами",ОНТП от 28.03.1986 N 01-86,,,Сформулировано на основании результата анализа источников
,,,ACDF,,,Ведомственные нормы технологического проектирования (ВНТП),"Нормативные документы, которые разрабатываются отдельным министерством в случае, если не существует общегосударственных норм подобного характера",ВНТП от 19.11.1984 N 125-84,,,Сформулировано на основании результата анализа источников
,,,ACDG,,,Отраслевые нормы технологического проектирования (ОНТП),"Отраслевые документы по проектированию технологических процессов промышленных предприятий и сооружений, утверждаемые в установленном порядке министерствами и ведомствами",ОНТП от 13.04.1995 N 11-94,,,Сформулировано на основании результата анализа источников
,,,ACDH,,,Правила устройства электроустановок (ПУЭ),"Комплекс отраслевых документов, регламентирующих установку и безопасное использование электроустановок","Приказ Минэнерго России от 05.11.1995 N 233
Приказ Минэнерго России от 08.07.2002 N 204",,,Сформулировано на основании результата анализа источников
,,,ACDJ,,,Правила технической эксплуатации (ПТЭ),"Комплекс отраслевых документов, устанавливающих основные положения по технической эксплуатации ОКС и порядок действий работников при их эксплуатации",Приказ Минэнерго России от 24.03.2003 N 115,,,Сформулировано на основании результата анализа источников
,,,ACDK,,,Нормы пожарной безопасности (НПБ),"Нормативный документ по пожарной безопасности, устанавливающий общие принципы, количественные и качественные критерии обеспечения пожарной безопасности, требования пожарной безопасности к группам однородных объектов защиты на стадиях их проектирования, строительства, реконструкции и изготовления, а также к пожарно-технической продукции, системам и средствам обеспечения пожарной безопасности, видам деятельности (работам, услугам) и методам испытаний в этой области","Федеральный закон от 22.07.2008 N 123-ФЗ
Нормы пожарной безопасности от 29.04.1997 N 236-97",,,Сформулировано на основании результата анализа источников
,,,ACDL,,,Правила пожарной безопасности (ППБ и ППБО),"Комплекс положений, устанавливающих порядок соблюдения требований и норм пожарной безопасности при строительстве и эксплуатации объекта","Федеральный закон от 22.07.2008 N 123-ФЗ
Нормы пожарной безопасности от 29.04.1997 N 236-97",,,Сформулировано на основании результата анализа источников
,,,ACDM,,,Строительные нормы и правила (СНиП),"Свод основных нормативных требований и положений, регламентирующих выполнение работ по изысканию, проектированию и строительству зданий и сооружений",Федеральный закон от 30.12.2009 N 384-ФЗ,,,Сформулировано на основании результата анализа источников
,,,ACDN,,,Правила безопасности Госгортехнадзора,"Нормативный документ, в котором изложены требования безопасности к устройству и эксплуатации оборудования, используемого в промышленных производствах",ПБ от 05.06.2003 N 03-582-03,,,Сформулировано на основании результата анализа источников
,,,ACDP,,,Руководящие документы Госгортехнадзора России,"Организационно-методические и нормативные документы по надзору регламентирующего характера, кроме правил (технических регламентов), утвержденные Госгортехнадзором РФ",РД-03-12-2005,,,Сформулировано на основании результата анализа источников
,,,ACDQ,,,Правила и нормы в атомной энергетике (ПНАЭ Г),"Нормативный документ Госатомэнергонадзора СССР, а позднее - Госатомнадзора России, которым устанавливались обязательные требования для всех министерств, ведомств, организаций и предприятий, осуществляющих проектирование, конструирование, изготовление, монтаж и эксплуатацию атомных станций",ПНАЭ Г-7-003-87 ,,,Сформулировано на основании результата анализа источников
,,,ACDR,,,Строительные нормы,"Общесоюзный нормативный документ, содержащий основные технические, технико-экономические и другие расчетные величины и нормативные требования, которыми необходимо руководствоваться при проектировании и строительстве",Строительные нормы от 22.04.1982 N 550-82,,,Сформулировано на основании результата анализа источников
,,,ACDS,,,Санитарные нормы,"Нормативные правовые акты, устанавливающие санитарно-эпидемиологические требования и являющиеся государственными санитарно-эпидемиологическими правилами",Постановление Главного государственного врача РФ от 27.10.2020 №32,,,Сформулировано на основании результата анализа источников
,,,ACDT,,,Общесоюзные стандарты,"Форма стандартов, применявшаяся в период с 1925 по 1940 год",ОСТ 36-100.3.13-85 ССБТ,,,Сформулировано на основании результата анализа источников
,,ACE,,,,Зарубежные и международные стандарты,"Стандарт, принятый национальным (компетентным) органом (организацией) по стандартизации иностранного государства",Федеральный закон от 27.12.2002 N 184-ФЗ,По видам регламентирующей и регулирующей информации,,Сформулировано на основании результата анализа источников
,,,ACEA,,,Стандарты Международной организации по стандартизации (ISO),"Стандарт, принятый Международной организацией по стандартизации",ГОСТ Р ИСО 9001:2015,,,Сформулировано на основании результата анализа источников
,,,ACEB,,,Стандарты Международной электротехнической комиссии (IEC),"Стандарт, принятый Международной электротехнической комиссией",МЭК 60411,,,Сформулировано на основании результата анализа источников
,,,ACEC,,,Стандарты Международного агентства по атомной энергии (IAEA),"Стандарт, принятый Международным агентством по атомной энергии","МАГАТЭ Общие требования безопасности, часть 3    
No GSR Part 3",,,Сформулировано на основании результата анализа источников
,,,ACED,,,Стандарты Международного союза электросвязи (ITU),"Стандарт, принятый Международным союзом электросвязи", МСЭ-Т Q.9,,,Сформулировано на основании результата анализа источников
,,,ACEE,,,Стандарты Института инженеров по электротехнике и радиоэлектронике (IEEE),"Стандарт, принятый Институтом инженеров по электротехнике и радиоэлектронике",IEEE 802.1,,,Сформулировано на основании результата анализа источников
,,,ACEF,,,Стандарты Финской ассоциации по стандартизации (SFS),"Стандарт, принятый Финской ассоциацией по стандартизации",SFS-EN 13670:2010,,,Сформулировано на основании результата анализа источников
,,,ACEG,,,Стандарты Британского института по стандартизации (BSI),"Стандарт, принятый Британским институтом по стандартизации",BS EN ISO 19650-1:2018,,,Сформулировано на основании результата анализа источников
,,,ACEH,,,Стандарты Немецкого института по стандартизации (DIN),"Стандарт, принятый Немецким институтом по стандартизации",DIN 2445-2-2000,,,Сформулировано на основании результата анализа источников
,,,ACEJ,,,Стандарты Европейского комитета по стандартизации (CEN),"Стандарт, принятый Европейским комитетом по стандартизации",CEN/TR 17005:2016,,,Сформулировано на основании результата анализа источников
,,,ACEK,,,Стандарты Европейского комитета по стандартизации в области электротехники (CENELEC),"Стандарт, принятый Европейским комитетом по стандартизации в области электротехники",CENELEC-EN 50173-1,,,Сформулировано на основании результата анализа источников
,,ACF,,,,Типовая проектная документация (ТПД),"Проектная документация, получившая положительное заключение государственной экспертизы проектной документации и применяемая повторно","Реестр типовой проектной документации, Минстрой России",,,Сформулировано на основании результата анализа источников
,AD,,,,,Нормативно-справочная информация,"Инструкции, указания, руководства, положения обязательного или рекомендательного характера, отражающие специфику отдельных видов строительства",Кодекс РФ от 29.12.2004 N 190-ФЗ,По видам регламентирующей и регулирующей информации,,Сформулировано на основании результата анализа источников
,,ADA,,,,Методический документ,"Документ, устанавливающий способы достижения какой-либо цели и/или пути решения конкретной задачи",,,,Сформулировано на основании результата анализа источников
,,ADB,,,,Нормативно-техническая литература,"Техническая литература, обеспечивающая качество производимой продукции, а также ее соответствие всем утвержденным требованиям безопасности, условиям эксплуатации, хранения и транспортировки",,,,Сформулировано на основании результата анализа источников
,,ADC,,,,Разъясняющий документ,"Документ, содержащий разъяснение нормативного акта, в том числе в виде рекомендаций, пособий, образцов и форм документов",,,,Сформулировано на основании результата анализа источников
,,,,,ADC010,Разъяснение нормативных актов,"Документ, содержащий разъяснение нормативного акта, исходящее от того же самого органа, который издал толкуемый акт или исходящее от компетентных правотворческих органов в отношении нормативных актов, изданных иными органами",,,,Сформулировано на основании результата анализа источников
,,ADD,,,,Справочные и рекомендательные документы,"Документы, содержащие разъяснения положений существующих нормативных документов в случае, когда требуется освещение вопросов, которые не затрагиваются нормативными документами, и когда требуются примеры составления тех или иных образцов и форм, которые лишь обозначаются в нормативных документах",,По видам регламентирующей и регулирующей информации,,Сформулировано на основании результата анализа источников
,,,ADDA,,,Пособие,"Издание, предназначенное в помощь практической деятельности или овладению специальностью",,По видам регламентирующей и регулирующей информации,,Сформулировано на основании результата анализа источников
,,,,ADDAA,,Пособие к НТД,"Документ справочного и рекомендательного характера, развивающий положения/требования нормативных документов",,,,Сформулировано на основании результата анализа источников
,,,,,ADDAA010,Пособие к ГОСТ,"Документ справочного и рекомендательного характера, который детализирует отдельные положения национальных стандартов (ГОСТ)",,,,Сформулировано на основании результата анализа источников
,,,,,ADDAA020,Пособие к СНиП,"Документ справочного и рекомендательного характера, который детализирует отдельные положения строительных норм и правил (СНиП)",,,,Сформулировано на основании результата анализа источников
,,,,,ADDAA030,Пособие к СП,"Документ справочного и рекомендательного характера, который детализирует отдельные положения свода правил (СП)",,,,Сформулировано на основании результата анализа источников
,,,,,ADDAA040,Пособие к ТСН,"Документ справочного и рекомендательного характера, который детализирует отдельные положения территориальных строительных норм (ТСН)",,,,Сформулировано на основании результата анализа источников
