Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания,Код по классификатору МССК,Синонимы
,,BAG,,,,Паспорт безопасности ОКС,"Документ, содержащий основные характеристики ОКС, возможные последствия в результате совершения акта незаконного вмешательства, категория объекта, состояние системы его инженерно-технической, физической защиты, пожарной безопасности, а также содержатся соответствующие выводы и рекомендации",Федеральный закон от 21.07.2011 г. N 256-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,BAH,,,,Паспорт антитеррористической защищенности ОКС,"Документ, в котором представлены технические и эксплуатационные характеристики ОКС, а также проведен развернутый анализ с моделированием вероятных кризисных ситуаций",Федеральный закон от 06.03.2006 N 35-ФЗ,,,Сформулировано на основании результата анализа источников,,
,BB,,,,,Сертификат ОКС,"Документ, подтверждающий соответствие ОКС требованиям технических регламентов, положениям стандартов, сводов правил или условиям договоров",Федеральный закон от 27.12.2002 N 184-ФЗ,По предметным группам деятельности в строительстве,,Сформулировано на основании результата анализа источников,,
,,BBA,,,,Сертификат энергетической эффективности ОКС,"Документ об энергетической эффективности объекта недвижимости, фиксирующий уровень потребления электроэнергии и уровень выброса углекислого газа",Федеральный закон от 23.11.2009 N 261-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,BBB,,,,Сертификат экологической эффективности ОКС,"Документ, выдаваемый в соответствии с правилами системы экологической сертификации, удостоверяющий соответствие определенным экологическим стандартам и требованиям готовой продукции, технологии ее производства и жизненного цикла в целом",ГОСТ Р 54964-2012,,,Сформулировано на основании результата анализа источников,,
,,BBC,,,,Сертификат пожарной безопасности ОКС,"Документ, который подтверждает соответствие продукции установленным требованиям технического регламента о пожарной безопасности",Федеральный закон от 22.07.2008 N 123-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,BBD,,,,Сертификат сейсмостойкости ОКС,"Документ, который выдается на основании результатов испытаний и подтверждает, что работы по строительству или использование тестируемого оборудования может проводиться в определенных условиях","Федеральный закон от 27.12.2002 N 184-ФЗ
Постановление Госатомнадзора РФ от 19.10.2001 N 9",,,Сформулировано на основании результата анализа источников,,
,BC,,,,,Модель ОКС,"Совокупность взаимосвязанных сведений, документов и материалов об объекте капитального строительств",Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,По предметным группам деятельности в строительстве,,Сформулировано на основании результата анализа источников,,
,,BCA,,,,Модель жизненного цикла ОКС,"Совокупность взаимосвязанных сведений, документов и материалов о жизненном цикле объекта капитального строительств",Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,BCB,,,,Информационная модель ОКС,"Совокупность взаимосвязанных сведений, документов и материалов об объекте капитального строительства, формируемых в электронном виде на этапах выполнения инженерных изысканий, осуществления архитектурно-строительного проектирования, строительства, реконструкции, капитального ремонта, эксплуатации и (или) сноса объекта капитального строительства","Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ
ГОСТ Р 54147-2010",,,Сформулировано на основании результата анализа источников,,
,,,,,BCB010,Цифровая модель рельефа (ЦМР),,BIM-стандарт для заказчиков,,,,,
,,,,,BCB020,Цифровая модель ситуации (ЦМС),,BIM-стандарт для заказчиков,,,,,
,,,,,BCB030,Цифровая модель землепользования (ЦМЗ),,BIM-стандарт для заказчиков,,,,,
,,,,,BCB040,Цифровая модель инженерных коммуникаций (ЦМК),,BIM-стандарт для заказчиков,,,,,
,,,,,BCB050,Цифровая модель геологического строения (ЦМГ),,BIM-стандарт для заказчиков,,,,,
,,,,,BCB060,Цифровая модель гидрометеорологического строения (ЦМНМ),,BIM-стандарт для заказчиков,,,,,
,,,,,BCB070,Цифровая модель инженерно-экологических изысканий (ЦМЭ),,BIM-стандарт для заказчиков,,,,,
,,,,,BCB080,Инженерная цифровая модель местности (ИЦММ),,"Приказ ФАУ ""Главгосэкспертиза России"" от 23.08.2021 N 200 ""Об утверждении Методических рекомендаций ""Наполнение цифровых информационных моделей объектов обустройства месторождений данными в части наличия элементов и атрибутов""",,,,,
,,,,,BCB090,Цифровая информационная модель (ЦИМ),,"Приказ ФАУ ""Главгосэкспертиза России"" от 23.08.2021 N 200 ""Об утверждении Методических рекомендаций ""Наполнение цифровых информационных моделей объектов обустройства месторождений данными в части наличия элементов и атрибутов""",,,,,
C,,,,,,Информация об этапах жизненного цикла ОКС,Информация о деятельности в строительстве на этапах жизненного цикла ОКС,Федеральный закон от 30.12.2009 N 384-ФЗ,По предметным группам деятельности в строительстве,,Сформулировано на основании результата анализа источников,,
,CA,,,,,Информация об инженерных изысканиях ОКС,Информация о результатах выполнения инженерных изысканий ОКС,"СП 47.13330.2016
ГОСТ 21.301-2014
СП 446.1325800.2019
СП 48.13330.2019
""Перечень видов инженерных изысканий"", ""Положение о выполнении инженерных изысканий для подготовки проектной документации, строительства, реконструкции объектов капитального строительства"" Утверждены
Постановлением Правительства
Российской Федерации
от 19 января 2006 г. N 20.
Постановление Правительства
Российской Федерации
от 31 марта 2017 г. N 402


",По предметным группам деятельности в строительстве,,Сформулировано на основании результата анализа источников,,
,,CAA,,,,Программа инженерных изысканий,"Организационно-методический документ, обязательный для выполнения, устанавливающий объект и цели работ по инженерным изысканиям, виды, последовательность, объем и критерии успешности проводимых работ по инженерным изысканиям, порядок, условия, место и сроки проведения работ по инженерным изысканиям, обеспечение и отчётность по ним, меры безопасности при выполнении работ по инженерным изысканиям, а также ответственность за обеспечение и проведение работ по инженерным изысканиям","СП 47.13330.2016
ГОСТ 21.301-2014",По предметным группам деятельности в строительстве,,Сформулировано на основании результата анализа источников,,
,,CAB,,,,Технический отчет по результатам инженерных изысканий,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерных изысканий","СП 47.13330.2016
ГОСТ 21.301-2014",По предметным группам деятельности в строительстве,,Сформулировано на основании результата анализа источников,,
,,,CABA,,,Комплексный технический отчет по результатам инженерных изысканий,"Совокупность текстовой и графической документированной информации, разрабатываемой по сводным результатам инженерных изысканий","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABA010,Комплексный технический отчет по результатам инженерных изысканий для подготовки документов территориального планирования,"Совокупность текстовой и графической документированной информации, разрабатываемой по сводным результатам инженерных изысканий, для подготовки документов территориального планирования","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABA020,Комплексный технический отчет по результатам инженерных изысканий для капитального ремонта автомобильных дорог общего пользования,"Совокупность текстовой и графической документированной информации, разрабатываемой по сводным результатам инженерных изысканий, для капитального ремонта автомобильных дорог общего пользования","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABA030,Комплексный технический отчет по результатам инженерных изысканий для подготовки документации по планировке территории,"Совокупность текстовой и графической документированной информации, разрабатываемой по сводным результатам инженерных изысканий, для подготовки документации по планировке территории","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABA040,Комплексный технический отчет по результатам инженерных изысканий для строительства и реконструкции объектов капитального строительства,"Совокупность текстовой и графической документированной информации, разрабатываемой по сводным результатам инженерных изысканий, для строительства и реконструкции объектов капитального строительства","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABA050,Комплексный технический отчет по результатам инженерных изысканий для выбора площадок (трасс) строительства,"Совокупность текстовой и графической документированной информации, разрабатываемой по сводным результатам инженерных изысканий, для выбора площадок (трасс) строительства","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABA060,Комплексный технический отчет по результатам инженерных изысканий для архитектурно-строительного проектирования,"Совокупность текстовой и графической документированной информации, разрабатываемой по сводным результатам инженерных изысканий, для архитектурно-строительного проектирования","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,CABB,,,Технический отчет по результатам инженерно-геодезических изысканий,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геодезических изысканий","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABB010,Технический отчет по результатам инженерно-геодезических изысканий для подготовки документов территориального планирования,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геодезических изысканий, для подготовки документов территориального планирования","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABB020,Технический отчет по результатам инженерно-геодезических изысканий для капитального ремонта автомобильных дорог общего пользования,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геодезических изысканий, для капитального ремонта автомобильных дорог общего пользования","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABB030,Технический отчет по результатам инженерно-геодезических изысканий для подготовки документации по планировке территории,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геодезических изысканий, для подготовки документации по планировке территории","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABB040,Технический отчет по результатам инженерно-геодезических изысканий для строительства и реконструкции объектов капитального строительства,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геодезических изысканий, для строительства и реконструкции объектов капитального строительства","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABB050,Технический отчет по результатам инженерно-геодезических изысканий для выбора площадок (трасс) строительства,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геодезических изысканий, для выбора площадок (трасс) строительства","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABB060,Технический отчет по результатам инженерно-геодезических изысканий для архитектурно-строительного проектирования,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геодезических изысканий, для архитектурно-строительного проектирования","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,CABC,,,Технический отчет по результатам инженерно-геологических изысканий,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геологических изысканий","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABC010,Технический отчет по результатам инженерно-геологических изысканий для подготовки документов территориального планирования,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геологических изысканий, для подготовки документов территориального планирования","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABC020,Технический отчет по результатам инженерно-геологических изысканий для капитального ремонта автомобильных дорог общего пользования,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геологических изысканий, для капитального ремонта автомобильных дорог общего пользования","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABC030,Технический отчет по результатам инженерно-геологических изысканий для подготовки документации по планировке территории,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геологических изысканий, для подготовки документации по планировке территории","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABC040,Технический отчет по результатам инженерно-геологических изысканий для строительства и реконструкции объектов капитального строительства,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геологических изысканий, для строительства и реконструкции объектов капитального строительства","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABC050,Технический отчет по результатам инженерно-геологических изысканий для выбора площадок (трасс) строительства,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геологических изысканий, для выбора площадок (трасс) строительства","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABC060,Технический отчет по результатам инженерно-геологических изысканий для архитектурно-строительного проектирования,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геологических изысканий, для архитектурно-строительного проектирования","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,CABD,,,Технический отчет по результатам инженерно-экологических изысканий,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-экологических изысканий","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABD010,Технический отчет по результатам инженерно-экологических изысканий для подготовки документов территориального планирования,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-экологических изысканий, для подготовки документов территориального планирования","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABD020,Технический отчет по результатам инженерно-экологических изысканий для капитального ремонта автомобильных дорог общего пользования,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-экологических изысканий, для капитального ремонта автомобильных дорог общего пользования","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABD030,Технический отчет по результатам инженерно-экологических изысканий для подготовки документации по планировке территории,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-экологических изысканий, для подготовки документации по планировке территории","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABD040,Технический отчет по результатам инженерно-экологических изысканий для строительства и реконструкции объектов капитального строительства,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-экологических изысканий, для строительства и реконструкции объектов капитального строительства","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABD050,Технический отчет по результатам инженерно-экологических изысканий для выбора площадок (трасс) строительства,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-экологических изысканий, для выбора площадок (трасс) строительства","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABD060,Технический отчет по результатам инженерно-экологических изысканий для архитектурно-строительного проектирования,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-экологических изысканий, для архитектурно-строительного проектирования","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,CABE,,,Технический отчет по результатам инженерно-геотехнических изысканий,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геотехнических изысканий","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABE010,Технический отчет по результатам инженерно-геотехнических изысканий для подготовки документов территориального планирования,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геотехнических изысканий, для подготовки документов территориального планирования","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABE020,Технический отчет по результатам инженерно-геотехнических изысканий для капитального ремонта автомобильных дорог общего пользования,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геотехнических изысканий, для капитального ремонта автомобильных дорог общего пользования","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABE030,Технический отчет по результатам инженерно-геотехнических изысканий для подготовки документации по планировке территории,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геотехнических изысканий, для подготовки документации по планировке территории","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABE040,Технический отчет по результатам инженерно-геотехнических изысканий для строительства и реконструкции объектов капитального строительства,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геотехнических изысканий, для строительства и реконструкции объектов капитального строительства","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABE050,Технический отчет по результатам инженерно-геотехнических изысканий для выбора площадок (трасс) строительства,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геотехнических изысканий, для выбора площадок (трасс) строительства","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABE060,Технический отчет по результатам инженерно-геотехнических изысканий для архитектурно-строительного проектирования,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам инженерно-геотехнических изысканий, для архитектурно-строительного проектирования","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,CABF,,,Технический отчет по результатам геотехнических исследований,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам геотехнических исследований","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABF010,Технический отчет по результатам геотехнических исследований для подготовки документов территориального планирования,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам геотехнических исследований, для подготовки документов территориального планирования","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABF020,Технический отчет по результатам геотехнических исследований для капитального ремонта автомобильных дорог общего пользования,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам геотехнических исследований, для капитального ремонта автомобильных дорог общего пользования","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABF030,Технический отчет по результатам геотехнических исследований для подготовки документации по планировке территории,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам геотехнических исследований, для подготовки документации по планировке территории","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABF040,Технический отчет по результатам геотехнических исследований для строительства и реконструкции объектов капитального строительства,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам геотехнических исследований, для строительства и реконструкции объектов капитального строительства","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABF050,Технический отчет по результатам геотехнических исследований для выбора площадок (трасс) строительства,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам геотехнических исследований, для выбора площадок (трасс) строительства","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABF060,Технический отчет по результатам геотехнических исследований для архитектурно-строительного проектирования,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам геотехнических исследований, для архитектурно-строительного проектирования","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,CABG,,,Технический отчет по результатам обследования состояния грунтов оснований зданий и сооружений,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам обследования состояния грунтов оснований зданий и сооружений","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABG010,Технический отчет по результатам обследования состояния грунтов оснований зданий и сооружений для подготовки документов территориального планирования,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам обследования состояния грунтов оснований зданий и сооружений, для подготовки документов территориального планирования","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABG020,Технический отчет по результатам обследования состояния грунтов оснований зданий и сооружений для капитального ремонта автомобильных дорог общего пользования,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам обследования состояния грунтов оснований зданий и сооружений, для капитального ремонта автомобильных дорог общего пользования","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
,,,,,CABG030,Технический отчет по результатам обследования состояния грунтов оснований зданий и сооружений для подготовки документации по планировке территории,"Совокупность текстовой и графической документированной информации, разрабатываемой по результатам обследования состояния грунтов оснований зданий и сооружений, для подготовки документации по планировке территории","СП 47.13330.2016
ГОСТ 21.301-2014",,,Сформулировано на основании результата анализа источников,,
